Step,Value
20480,132.0
40960,130.0
60416,168.0
80896,180.0
100352,140.0
120832,210.0
140288,226.0
160768,200.0
180224,226.0
200704,194.0
220160,226.0
240640,236.0
260096,208.0
280576,224.0
300032,228.0
320512,228.0
340992,240.0
360448,240.0
380928,224.0
400384,246.0
420864,256.0
440320,246.0
460800,262.0
480256,260.0
500736,260.0
520192,266.0
540672,240.0
560128,260.0
580608,234.0
600064,254.0
620544,268.0
640000,256.0
660480,270.0
680960,260.0
700416,262.0
720896,254.0
740352,246.0
760832,264.0
780288,262.0
800768,238.0
820224,264.0
840704,260.0
860160,258.0
880640,266.0
900096,284.0
920576,262.0
940032,248.0
960512,254.0
980992,266.0
1000448,254.0
1020928,264.0
1040384,268.0
1060864,268.0
1080320,270.0
1100800,268.0
1120256,268.0
1140736,268.0
1160192,268.0
1180672,270.0
1200128,286.0
1220608,266.0
1240064,266.0
1260544,264.0
1280000,270.0
1300480,268.0
1320960,268.0
1340416,256.0
1360896,270.0
1380352,260.0
1400832,266.0
1420288,270.0
1440768,264.0
1460224,270.0
1480704,264.0
1500160,266.0
1520640,264.0
1540096,270.0
1560576,262.0
1580032,262.0
1600512,262.0
1620992,268.0
1640448,270.0
1660928,270.0
1680384,264.0
1700864,268.0
1720320,270.0
1740800,264.0
1760256,270.0
1780736,272.0
1800192,272.0
1820672,272.0
1840128,270.0
1860608,272.0
1880064,266.0
1900544,268.0
1920000,270.0
1940480,270.0
1960960,270.0
1980416,270.0
2000896,268.0
2020352,272.0
2040832,270.0
2060288,270.0
2080768,266.0
2100224,262.0
2120704,270.0
2140160,266.0
2160640,268.0
2180096,270.0
2200576,258.0
2220032,270.0
2240512,268.0
2260992,274.0
2280448,268.0
2300928,264.0
2320384,270.0
2340864,264.0
2360320,270.0
2380800,272.0
2400256,276.0
2420736,272.0
2440192,272.0
2460672,272.0
2480128,270.0
2500608,266.0
2520064,268.0
2540544,270.0
2560000,270.0
2580480,278.0
2600960,274.0
2620416,272.0
2640896,270.0
2660352,274.0
2680832,266.0
2700288,272.0
2720768,278.0
2740224,272.0
2760704,276.0
2780160,274.0
2800640,274.0
2820096,276.0
2840576,274.0
2860032,278.0
2880512,276.0
2900992,276.0
2920448,274.0
2940928,282.0
2960384,280.0
2980864,278.0
3000320,282.0
3020800,272.0
3040256,284.0
3060736,268.0
3080192,272.0
3100672,284.0
3120128,272.0
3140608,278.0
3160064,280.0
3180544,278.0
3200000,278.0
3220480,288.0
3240960,280.0
3260416,272.0
3280896,278.0
3300352,280.0
3320832,280.0
3340288,278.0
3360768,282.0
3380224,280.0
3400704,278.0
3420160,282.0
3440640,280.0
3460096,280.0
3480576,284.0
3500032,282.0
3520512,280.0
3540992,278.0
3560448,274.0
3580928,278.0
3600384,276.0
3620864,274.0
3640320,280.0
3660800,280.0
3680256,274.0
3700736,280.0
3720192,280.0
3740672,278.0
3760128,270.0
3780608,276.0
3800064,282.0
3820544,280.0
3840000,278.0
3860480,280.0
3880960,278.0
3900416,284.0
3920896,278.0
3940352,278.0
3960832,274.0
3980288,284.0
4000768,280.0
4020224,272.0
4040704,280.0
4060160,278.0
4080640,286.0
4100096,280.0
4120576,282.0
4140032,280.0
4160512,276.0
4180992,284.0
4200448,274.0
4220928,290.0
4240384,280.0
4260864,280.0
4280320,278.0
4300800,274.0
4320256,284.0
4340736,280.0
4360192,274.0
4380672,276.0
4400128,276.0
4420608,270.0
4440064,280.0
4460544,280.0
4480000,284.0
4500480,288.0
4520960,274.0
4540416,282.0
4560896,284.0
4580352,280.0
4600832,284.0
4620288,278.0
4640768,280.0
4660224,282.0
4680704,278.0
4700160,282.0
4720640,280.0
4740096,282.0
4760576,280.0
4780032,278.0
4800512,282.0
4820992,282.0
4840448,280.0
4860928,282.0
4880384,274.0
4900864,278.0
4920320,278.0
4940800,284.0
4960256,282.0
4980736,282.0
5000192,268.0
