Step,Value
20480,364.0
40960,264.0
60416,332.0
80896,696.0
100352,340.0
120832,420.0
140288,380.0
160768,312.0
180224,740.0
200704,596.0
220160,688.0
240640,656.0
260096,540.0
280576,684.0
300032,568.0
320512,636.0
340992,764.0
360448,472.0
380928,684.0
400384,548.0
420864,732.0
440320,784.0
460800,724.0
480256,548.0
500736,640.0
520192,740.0
540672,512.0
560128,756.0
580608,572.0
600064,920.0
620544,668.0
640000,1168.0
660480,620.0
680960,580.0
700416,536.0
720896,840.0
740352,1140.0
760832,608.0
780288,512.0
800768,1408.0
820224,540.0
840704,956.0
860160,632.0
880640,616.0
900096,520.0
920576,576.0
940032,760.0
960512,844.0
980992,988.0
1000448,772.0
1020928,768.0
1040384,860.0
1060864,1004.0
1080320,908.0
1100800,720.0
1120256,772.0
1140736,676.0
1160192,424.0
1180672,1596.0
1200128,1624.0
1220608,804.0
1240064,1172.0
1260544,1148.0
1280000,1156.0
1300480,564.0
1320960,984.0
1340416,856.0
1360896,780.0
1380352,652.0
1400832,720.0
1420288,592.0
1440768,828.0
1460224,996.0
1480704,964.0
1500160,944.0
1520640,1500.0
1540096,552.0
1560576,572.0
1580032,704.0
1600512,1112.0
1620992,1188.0
1640448,716.0
1660928,308.0
1680384,1160.0
1700864,600.0
1720320,592.0
1740800,952.0
1760256,908.0
1780736,688.0
1800192,876.0
1820672,1052.0
1840128,1080.0
1860608,468.0
1880064,544.0
1900544,692.0
1920000,800.0
1940480,1060.0
1960960,1028.0
1980416,928.0
2000896,904.0
2020352,824.0
2040832,840.0
2060288,1032.0
2080768,828.0
2100224,1584.0
2120704,904.0
2140160,1048.0
2160640,472.0
2180096,1364.0
2200576,700.0
2220032,1448.0
2240512,832.0
2260992,916.0
2280448,840.0
2300928,992.0
2320384,940.0
2340864,1148.0
2360320,912.0
2380800,1048.0
2400256,1432.0
2420736,976.0
2440192,1036.0
2460672,608.0
2480128,1280.0
2500608,652.0
2520064,736.0
2540544,652.0
2560000,760.0
2580480,732.0
2600960,1064.0
2620416,1388.0
2640896,1068.0
2660352,1484.0
2680832,1020.0
2700288,1108.0
2720768,888.0
2740224,1120.0
2760704,1320.0
2780160,968.0
2800640,1020.0
2820096,380.0
2840576,824.0
2860032,940.0
2880512,740.0
2900992,732.0
2920448,892.0
2940928,1080.0
2960384,1208.0
2980864,1016.0
3000320,892.0
3020800,724.0
3040256,808.0
3060736,968.0
3080192,1424.0
3100672,1136.0
3120128,888.0
3140608,624.0
3160064,844.0
3180544,1152.0
3200000,1204.0
3220480,428.0
3240960,1164.0
3260416,1000.0
3280896,880.0
3300352,884.0
3320832,1164.0
3340288,636.0
3360768,696.0
3380224,980.0
3400704,904.0
3420160,1308.0
3440640,1272.0
3460096,864.0
3480576,668.0
3500032,668.0
3520512,1236.0
3540992,964.0
3560448,556.0
3580928,916.0
3600384,840.0
3620864,1028.0
3640320,1092.0
3660800,596.0
3680256,1324.0
3700736,724.0
3720192,1152.0
3740672,976.0
3760128,1032.0
3780608,1164.0
3800064,612.0
3820544,1540.0
3840000,1004.0
3860480,752.0
3880960,596.0
3900416,1084.0
3920896,1236.0
3940352,724.0
3960832,640.0
3980288,992.0
4000768,812.0
4020224,1292.0
4040704,1000.0
4060160,804.0
4080640,1096.0
4100096,860.0
4120576,884.0
4140032,716.0
4160512,860.0
4180992,544.0
4200448,804.0
4220928,808.0
4240384,1004.0
4260864,844.0
4280320,840.0
4300800,1048.0
4320256,792.0
4340736,1088.0
4360192,676.0
4380672,980.0
4400128,1052.0
4420608,1240.0
4440064,1164.0
4460544,1140.0
4480000,1012.0
4500480,1060.0
4520960,752.0
4540416,856.0
4560896,740.0
4580352,612.0
4600832,892.0
4620288,828.0
4640768,1144.0
4660224,752.0
4680704,812.0
4700160,1104.0
4720640,984.0
4740096,912.0
4760576,1244.0
4780032,1028.0
4800512,1108.0
4820992,480.0
4840448,824.0
4860928,916.0
4880384,1080.0
4900864,1044.0
4920320,760.0
4940800,868.0
4960256,1148.0
4980736,1272.0
5000192,1064.0
