Step,Value
20480,210.0
40960,190.0
60416,180.0
80896,200.0
100352,130.0
120832,190.0
140288,320.0
160768,170.0
180224,70.0
200704,280.0
220160,320.0
240640,330.0
260096,140.0
280576,220.0
300032,280.0
320512,120.0
340992,210.0
360448,120.0
380928,270.0
400384,260.0
420864,300.0
440320,380.0
460800,320.0
480256,220.0
500736,250.0
520192,280.0
540672,240.0
560128,310.0
580608,220.0
600064,90.0
620544,260.0
640000,280.0
660480,110.0
680960,150.0
700416,240.0
720896,400.0
740352,240.0
760832,200.0
780288,110.0
800768,170.0
820224,100.0
840704,230.0
860160,280.0
880640,710.0
900096,270.0
920576,160.0
940032,360.0
960512,320.0
980992,150.0
1000448,220.0
1020928,140.0
1040384,470.0
1060864,170.0
1080320,380.0
1100800,340.0
1120256,280.0
1140736,250.0
1160192,260.0
1180672,290.0
1200128,410.0
1220608,280.0
1240064,180.0
1260544,340.0
1280000,300.0
1300480,400.0
1320960,400.0
1340416,420.0
1360896,270.0
1380352,180.0
1400832,200.0
1420288,220.0
1440768,430.0
1460224,400.0
1480704,370.0
1500160,260.0
1520640,500.0
1540096,240.0
1560576,200.0
1580032,200.0
1600512,220.0
1620992,460.0
1640448,340.0
1660928,500.0
1680384,350.0
1700864,170.0
1720320,450.0
1740800,340.0
1760256,330.0
1780736,130.0
1800192,400.0
1820672,380.0
1840128,590.0
1860608,350.0
1880064,410.0
1900544,120.0
1920000,250.0
1940480,190.0
1960960,420.0
1980416,300.0
2000896,350.0
2020352,380.0
2040832,570.0
2060288,490.0
2080768,540.0
2100224,330.0
2120704,580.0
2140160,380.0
2160640,460.0
2180096,300.0
2200576,250.0
2220032,310.0
2240512,410.0
2260992,190.0
2280448,380.0
2300928,330.0
2320384,330.0
2340864,200.0
2360320,420.0
2380800,180.0
2400256,330.0
2420736,360.0
2440192,120.0
2460672,520.0
2480128,370.0
2500608,600.0
2520064,330.0
2540544,450.0
2560000,350.0
2580480,540.0
2600960,590.0
2620416,330.0
2640896,420.0
2660352,450.0
2680832,190.0
2700288,510.0
2720768,280.0
2740224,340.0
2760704,590.0
2780160,310.0
2800640,520.0
2820096,350.0
2840576,610.0
2860032,350.0
2880512,510.0
2900992,430.0
2920448,430.0
2940928,360.0
2960384,340.0
2980864,480.0
3000320,480.0
3020800,440.0
3040256,360.0
3060736,240.0
3080192,320.0
3100672,300.0
3120128,160.0
3140608,440.0
3160064,630.0
3180544,540.0
3200000,400.0
3220480,260.0
3240960,330.0
3260416,490.0
3280896,300.0
3300352,290.0
3320832,330.0
3340288,610.0
3360768,270.0
3380224,660.0
3400704,470.0
3420160,430.0
3440640,430.0
3460096,500.0
3480576,320.0
3500032,330.0
3520512,480.0
3540992,560.0
3560448,410.0
3580928,380.0
3600384,510.0
3620864,610.0
3640320,260.0
3660800,330.0
3680256,390.0
3700736,520.0
3720192,560.0
3740672,470.0
3760128,410.0
3780608,450.0
3800064,700.0
3820544,570.0
3840000,400.0
3860480,570.0
3880960,560.0
3900416,230.0
3920896,540.0
3940352,380.0
3960832,610.0
3980288,500.0
4000768,430.0
4020224,470.0
4040704,610.0
4060160,340.0
4080640,490.0
4100096,410.0
4120576,440.0
4140032,490.0
4160512,510.0
4180992,590.0
4200448,470.0
4220928,630.0
4240384,570.0
4260864,550.0
4280320,560.0
4300800,680.0
4320256,420.0
4340736,410.0
4360192,500.0
4380672,620.0
4400128,280.0
4420608,560.0
4440064,510.0
4460544,510.0
4480000,590.0
4500480,490.0
4520960,540.0
4540416,530.0
4560896,590.0
4580352,510.0
4600832,500.0
4620288,600.0
4640768,500.0
4660224,670.0
4680704,660.0
4700160,570.0
4720640,480.0
4740096,470.0
4760576,280.0
4780032,540.0
4800512,420.0
4820992,670.0
4840448,570.0
4860928,510.0
4880384,590.0
4900864,500.0
4920320,520.0
4940800,630.0
4960256,600.0
4980736,470.0
5000192,660.0
