Step,Value
20480,-6.800000190734863
40960,-8.199999809265137
60416,-9.0
80896,-8.0
100352,-8.0
120832,-8.0
140288,-5.800000190734863
160768,-9.399999618530273
180224,-7.199999809265137
200704,-9.0
220160,-5.800000190734863
240640,-6.199999809265137
260096,-7.400000095367432
280576,-7.199999809265137
300032,-6.0
320512,-7.400000095367432
340992,-7.199999809265137
360448,-5.599999904632568
380928,-6.400000095367432
400384,-3.4000000953674316
420864,-6.0
440320,-6.0
460800,-7.599999904632568
480256,-7.0
500736,-6.199999809265137
520192,-7.400000095367432
540672,-5.800000190734863
560128,-6.400000095367432
580608,-3.5999999046325684
600064,-5.400000095367432
620544,-5.199999809265137
640000,-6.800000190734863
660480,-5.800000190734863
680960,-6.199999809265137
700416,-6.599999904632568
720896,-6.0
740352,-4.599999904632568
760832,-6.800000190734863
780288,-8.399999618530273
800768,-5.400000095367432
820224,-6.0
840704,-8.0
860160,-7.400000095367432
880640,-6.0
900096,-6.199999809265137
920576,-7.400000095367432
940032,-6.400000095367432
960512,-4.400000095367432
980992,-8.399999618530273
1000448,-8.600000381469727
1020928,-4.0
1040384,-7.199999809265137
1060864,-7.0
1080320,-6.0
1100800,-7.599999904632568
1120256,-5.199999809265137
1140736,-7.400000095367432
1160192,-7.199999809265137
1180672,-7.800000190734863
1200128,-6.199999809265137
1220608,-8.600000381469727
1240064,-7.0
1260544,-5.199999809265137
1280000,-4.400000095367432
1300480,-5.599999904632568
1320960,-3.799999952316284
1340416,-5.199999809265137
1360896,-3.799999952316284
1380352,-7.199999809265137
1400832,-6.599999904632568
1420288,-6.800000190734863
1440768,-4.199999809265137
1460224,-6.400000095367432
1480704,-4.0
1500160,-6.199999809265137
1520640,-3.5999999046325684
1540096,-4.800000190734863
1560576,-5.400000095367432
1580032,-4.199999809265137
1600512,-6.599999904632568
1620992,-5.599999904632568
1640448,-6.400000095367432
1660928,-6.400000095367432
1680384,-6.199999809265137
1700864,-8.199999809265137
1720320,-5.800000190734863
1740800,-7.199999809265137
1760256,-5.800000190734863
1780736,-5.599999904632568
1800192,-6.400000095367432
1820672,-5.400000095367432
1840128,-6.400000095367432
1860608,-4.800000190734863
1880064,-6.0
1900544,-8.0
1920000,-6.400000095367432
1940480,-6.0
1960960,-2.5999999046325684
1980416,-5.800000190734863
2000896,-4.599999904632568
