Step,Value
24576,60.0
40960,20.0
65536,70.0
81920,20.0
106496,30.0
122880,40.0
147456,40.0
163840,40.0
180224,60.0
204800,10.0
221184,60.0
245760,70.0
262144,60.0
286720,30.0
303104,60.0
319488,60.0
344064,80.0
360448,60.0
385024,120.0
401408,70.0
425984,120.0
442368,130.0
466944,120.0
483328,150.0
499712,170.0
524288,140.0
540672,180.0
565248,140.0
581632,230.0
606208,200.0
622592,220.0
638976,220.0
663552,210.0
679936,190.0
704512,200.0
720896,200.0
745472,250.0
761856,270.0
786432,200.0
802816,280.0
819200,220.0
843776,240.0
860160,240.0
884736,230.0
901120,260.0
925696,280.0
942080,270.0
958464,280.0
983040,220.0
999424,310.0
1024000,280.0
1040384,310.0
1064960,300.0
1081344,360.0
1105920,360.0
1122304,320.0
1138688,300.0
1163264,260.0
1179648,330.0
1204224,410.0
1220608,240.0
1245184,350.0
1261568,420.0
1277952,390.0
1302528,360.0
1318912,390.0
1343488,360.0
1359872,340.0
1384448,370.0
1400832,360.0
1425408,310.0
1441792,300.0
1458176,370.0
1482752,380.0
1499136,410.0
1523712,360.0
1540096,390.0
1564672,380.0
1581056,360.0
1597440,460.0
1622016,420.0
1638400,400.0
1662976,350.0
1679360,380.0
1703936,360.0
1720320,380.0
1744896,430.0
1761280,390.0
1777664,490.0
1802240,380.0
1818624,340.0
1843200,440.0
1859584,430.0
1884160,460.0
1900544,490.0
1916928,420.0
1941504,420.0
1957888,440.0
1982464,370.0
1998848,490.0
2023424,460.0
2039808,400.0
2064384,490.0
2080768,430.0
2097152,380.0
2121728,470.0
2138112,440.0
2162688,420.0
2179072,400.0
2203648,560.0
2220032,520.0
2236416,420.0
2260992,410.0
2277376,450.0
2301952,500.0
2318336,370.0
2342912,490.0
2359296,560.0
2383872,470.0
2400256,390.0
2416640,450.0
2441216,520.0
2457600,550.0
2482176,430.0
2498560,430.0
2523136,500.0
2539520,390.0
2555904,370.0
2580480,490.0
2596864,450.0
2621440,520.0
2637824,420.0
2662400,500.0
2678784,520.0
2703360,480.0
2719744,490.0
2736128,460.0
2760704,440.0
2777088,430.0
2801664,500.0
2818048,470.0
2842624,520.0
2859008,580.0
2875392,460.0
2899968,460.0
2916352,430.0
2940928,460.0
2957312,490.0
2981888,540.0
2998272,530.0
3022848,480.0
3039232,420.0
3055616,490.0
3080192,460.0
3096576,510.0
3121152,500.0
3137536,470.0
3162112,530.0
3178496,400.0
3194880,530.0
3219456,450.0
3235840,530.0
3260416,500.0
3276800,420.0
3301376,490.0
3317760,510.0
3342336,570.0
3358720,390.0
3375104,430.0
3399680,450.0
3416064,480.0
3440640,400.0
3457024,460.0
3481600,480.0
3497984,410.0
3514368,500.0
3538944,480.0
3555328,430.0
3579904,440.0
3596288,500.0
3620864,560.0
3637248,450.0
3661824,530.0
3678208,550.0
3694592,520.0
3719168,450.0
3735552,430.0
3760128,520.0
3776512,560.0
3801088,530.0
3817472,440.0
3833856,420.0
3858432,480.0
3874816,470.0
3899392,490.0
3915776,480.0
3940352,510.0
3956736,470.0
3981312,420.0
3997696,370.0
4014080,540.0
4038656,520.0
4055040,520.0
4079616,470.0
4096000,490.0
4120576,490.0
4136960,480.0
4153344,450.0
4177920,410.0
4194304,500.0
4218880,460.0
4235264,500.0
4259840,530.0
4276224,420.0
4300800,460.0
4317184,510.0
4333568,490.0
4358144,500.0
4374528,410.0
4399104,530.0
4415488,430.0
4440064,510.0
4456448,490.0
4472832,520.0
4497408,470.0
4513792,470.0
4538368,510.0
4554752,460.0
4579328,500.0
4595712,510.0
4620288,470.0
4636672,540.0
4653056,440.0
4677632,490.0
4694016,550.0
4718592,530.0
4734976,480.0
4759552,510.0
4775936,450.0
4792320,550.0
4816896,480.0
4833280,440.0
4857856,460.0
4874240,510.0
4898816,420.0
4915200,570.0
4939776,510.0
4956160,520.0
4972544,510.0
4997120,520.0
