Step,Value
20480,50.0
40960,30.0
60416,90.0
80896,80.0
100352,110.0
120832,80.0
140288,30.0
160768,30.0
180224,40.0
200704,60.0
220160,20.0
240640,40.0
260096,60.0
280576,50.0
300032,30.0
320512,30.0
340992,20.0
360448,20.0
380928,10.0
400384,20.0
420864,70.0
440320,30.0
460800,0.0
480256,10.0
500736,40.0
520192,20.0
540672,70.0
560128,50.0
580608,10.0
600064,10.0
620544,10.0
640000,0.0
660480,50.0
680960,30.0
700416,20.0
720896,50.0
740352,90.0
760832,50.0
780288,40.0
800768,0.0
820224,30.0
840704,70.0
860160,50.0
880640,70.0
900096,70.0
920576,50.0
940032,80.0
960512,140.0
980992,70.0
1000448,220.0
1020928,150.0
1040384,160.0
1060864,160.0
1080320,200.0
1100800,220.0
1120256,170.0
1140736,220.0
1160192,300.0
1180672,280.0
1200128,320.0
1220608,260.0
1240064,340.0
1260544,450.0
1280000,470.0
1300480,490.0
1320960,450.0
1340416,400.0
1360896,490.0
1380352,400.0
1400832,440.0
1420288,390.0
1440768,440.0
1460224,470.0
1480704,530.0
1500160,520.0
1520640,460.0
1540096,430.0
1560576,520.0
1580032,410.0
1600512,430.0
1620992,440.0
1640448,470.0
1660928,440.0
1680384,420.0
1700864,470.0
1720320,480.0
1740800,530.0
1760256,520.0
1780736,520.0
1800192,450.0
1820672,490.0
1840128,500.0
1860608,450.0
1880064,580.0
1900544,420.0
1920000,500.0
1940480,490.0
1960960,500.0
1980416,470.0
2000896,520.0
2020352,490.0
2040832,540.0
2060288,500.0
2080768,380.0
2100224,550.0
2120704,500.0
2140160,580.0
2160640,450.0
2180096,440.0
2200576,460.0
2220032,550.0
2240512,550.0
2260992,480.0
2280448,620.0
2300928,410.0
2320384,490.0
2340864,480.0
2360320,540.0
2380800,520.0
2400256,480.0
2420736,500.0
2440192,490.0
2460672,500.0
2480128,470.0
2500608,470.0
2520064,470.0
2540544,480.0
2560000,510.0
2580480,460.0
2600960,480.0
2620416,470.0
2640896,410.0
2660352,420.0
2680832,480.0
2700288,440.0
2720768,550.0
2740224,410.0
2760704,500.0
2780160,540.0
2800640,420.0
2820096,510.0
2840576,490.0
2860032,510.0
2880512,540.0
2900992,520.0
2920448,500.0
2940928,470.0
2960384,390.0
2980864,540.0
3000320,410.0
3020800,460.0
3040256,440.0
3060736,420.0
3080192,530.0
3100672,500.0
3120128,450.0
3140608,540.0
3160064,460.0
3180544,470.0
3200000,470.0
3220480,470.0
3240960,530.0
3260416,540.0
3280896,610.0
3300352,520.0
3320832,570.0
3340288,520.0
3360768,530.0
3380224,380.0
3400704,360.0
3420160,420.0
3440640,390.0
3460096,530.0
3480576,490.0
3500032,510.0
3520512,460.0
3540992,470.0
3560448,440.0
3580928,540.0
3600384,470.0
3620864,560.0
3640320,480.0
3660800,520.0
3680256,460.0
3700736,530.0
3720192,550.0
3740672,470.0
3760128,650.0
3780608,510.0
3800064,490.0
3820544,530.0
3840000,560.0
3860480,420.0
3880960,540.0
3900416,520.0
3920896,590.0
3940352,530.0
3960832,440.0
3980288,500.0
4000768,500.0
4020224,520.0
4040704,470.0
4060160,480.0
4080640,560.0
4100096,490.0
4120576,540.0
4140032,530.0
4160512,460.0
4180992,460.0
4200448,500.0
4220928,580.0
4240384,480.0
4260864,480.0
4280320,500.0
4300800,480.0
4320256,520.0
4340736,570.0
4360192,520.0
4380672,530.0
4400128,460.0
4420608,520.0
4440064,480.0
4460544,520.0
4480000,440.0
4500480,480.0
4520960,510.0
4540416,470.0
4560896,430.0
4580352,540.0
4600832,410.0
4620288,470.0
4640768,480.0
4660224,520.0
4680704,520.0
4700160,510.0
4720640,550.0
4740096,430.0
4760576,550.0
4780032,530.0
4800512,500.0
4820992,580.0
4840448,540.0
4860928,480.0
4880384,650.0
4900864,470.0
4920320,560.0
4940800,560.0
4960256,430.0
4980736,460.0
5000192,580.0
