Step,Value
20480,1200.0
40960,3320.0
60416,3820.0
80896,2220.0
100352,2720.0
120832,2980.0
140288,4360.0
160768,3840.0
180224,4420.0
200704,3420.0
220160,4500.0
240640,4120.0
260096,3680.0
280576,5280.0
300032,5460.0
320512,4920.0
340992,4320.0
360448,4960.0
380928,5840.0
400384,5660.0
420864,6700.0
440320,8140.0
460800,12360.0
480256,14700.0
500736,14800.0
520192,11760.0
540672,14960.0
560128,12800.0
580608,12880.0
600064,13960.0
620544,12580.0
640000,17960.0
660480,18280.0
680960,23160.0
700416,17120.0
720896,16120.0
740352,15940.0
760832,19200.0
780288,11920.0
800768,13560.0
820224,15000.0
840704,15600.0
860160,16520.0
880640,17760.0
900096,11220.0
920576,14080.0
940032,14220.0
960512,17120.0
980992,15940.0
1000448,19800.0
1020928,14800.0
1040384,14760.0
1060864,17660.0
1080320,18640.0
1100800,17200.0
1120256,12400.0
1140736,12720.0
1160192,15080.0
1180672,14720.0
1200128,16920.0
1220608,15000.0
1240064,13320.0
1260544,17240.0
1280000,14920.0
1300480,14840.0
1320960,19960.0
1340416,18280.0
1360896,11360.0
1380352,17480.0
1400832,19580.0
1420288,13300.0
1440768,18800.0
1460224,21100.0
1480704,21740.0
1500160,21820.0
1520640,16300.0
1540096,15880.0
1560576,17820.0
1580032,22080.0
1600512,18380.0
1620992,17420.0
1640448,21000.0
1660928,19800.0
1680384,16440.0
1700864,25160.0
1720320,19000.0
1740800,19480.0
1760256,21540.0
1780736,17860.0
1800192,19440.0
1820672,21240.0
1840128,23680.0
1860608,17880.0
1880064,17280.0
1900544,15620.0
1920000,20420.0
1940480,19740.0
1960960,20560.0
1980416,22700.0
2000896,21280.0
2020352,21600.0
2040832,20100.0
2060288,19000.0
2080768,22260.0
2100224,18540.0
2120704,17600.0
2140160,19620.0
2160640,21000.0
2180096,20180.0
2200576,18960.0
2220032,21440.0
2240512,20100.0
2260992,23020.0
2280448,21020.0
2300928,20140.0
2320384,21200.0
2340864,21940.0
2360320,21980.0
2380800,24480.0
2400256,21580.0
2420736,25240.0
2440192,21360.0
2460672,19560.0
2480128,25980.0
2500608,22580.0
2520064,19840.0
2540544,21440.0
2560000,19780.0
2580480,22600.0
2600960,20840.0
2620416,21420.0
2640896,24520.0
2660352,22680.0
2680832,29300.0
2700288,23900.0
2720768,24960.0
2740224,26080.0
2760704,24840.0
2780160,23140.0
2800640,24260.0
2820096,19460.0
2840576,22980.0
2860032,26500.0
2880512,29900.0
2900992,22740.0
2920448,19620.0
2940928,23800.0
2960384,19400.0
2980864,25340.0
3000320,15620.0
3020800,18380.0
3040256,24040.0
3060736,24480.0
3080192,22980.0
3100672,21460.0
3120128,19800.0
3140608,16020.0
3160064,20020.0
3180544,19180.0
3200000,22020.0
3220480,20560.0
3240960,20040.0
3260416,20480.0
3280896,24340.0
3300352,29040.0
3320832,23440.0
3340288,22640.0
3360768,25240.0
3380224,23580.0
3400704,17960.0
3420160,24960.0
3440640,25660.0
3460096,18920.0
3480576,27340.0
3500032,18580.0
3520512,23400.0
3540992,20120.0
3560448,20840.0
3580928,21680.0
3600384,19200.0
3620864,15120.0
3640320,19020.0
3660800,20800.0
3680256,19420.0
3700736,24720.0
3720192,18160.0
3740672,21660.0
3760128,22740.0
3780608,19140.0
3800064,14940.0
3820544,20240.0
3840000,25000.0
3860480,22620.0
3880960,20060.0
3900416,18600.0
3920896,20120.0
3940352,27860.0
3960832,21200.0
3980288,24800.0
4000768,24500.0
4020224,20560.0
4040704,19140.0
4060160,25200.0
4080640,23740.0
4100096,25920.0
4120576,29060.0
4140032,24080.0
4160512,26800.0
4180992,21580.0
4200448,21040.0
4220928,16420.0
4240384,19220.0
4260864,27700.0
4280320,20360.0
4300800,20340.0
4320256,20420.0
4340736,20620.0
4360192,25280.0
4380672,24600.0
4400128,26440.0
4420608,27420.0
4440064,20320.0
4460544,19880.0
4480000,27020.0
4500480,26160.0
4520960,22380.0
4540416,29540.0
4560896,20760.0
4580352,23560.0
4600832,21400.0
4620288,25700.0
4640768,24640.0
4660224,23620.0
4680704,27340.0
4700160,25520.0
4720640,25280.0
4740096,18680.0
4760576,23580.0
4780032,22900.0
4800512,24100.0
4820992,19820.0
4840448,31740.0
4860928,30540.0
4880384,36120.0
4900864,22820.0
4920320,25940.0
4940800,27500.0
4960256,21380.0
4980736,21880.0
5000192,21600.0
