Step,Value
20480,446.0
40960,498.0
60416,744.0
80896,346.0
100352,530.0
120832,576.0
140288,520.0
160768,546.0
180224,482.0
200704,614.0
220160,516.0
240640,518.0
260096,518.0
280576,500.0
300032,508.0
320512,634.0
340992,378.0
360448,608.0
380928,706.0
400384,1188.0
420864,492.0
440320,654.0
460800,670.0
480256,568.0
500736,946.0
520192,830.0
540672,938.0
560128,656.0
580608,450.0
600064,920.0
620544,752.0
640000,796.0
660480,494.0
680960,758.0
700416,544.0
720896,612.0
740352,756.0
760832,742.0
780288,610.0
800768,664.0
820224,880.0
840704,494.0
860160,746.0
880640,812.0
900096,550.0
920576,610.0
940032,472.0
960512,490.0
980992,466.0
1000448,442.0
1020928,878.0
1040384,686.0
1060864,628.0
1080320,522.0
1100800,682.0
1120256,1152.0
1140736,782.0
1160192,766.0
1180672,704.0
1200128,530.0
1220608,468.0
1240064,744.0
1260544,454.0
1280000,552.0
1300480,550.0
1320960,530.0
1340416,726.0
1360896,922.0
1380352,622.0
1400832,772.0
1420288,602.0
1440768,594.0
1460224,558.0
1480704,712.0
1500160,452.0
1520640,950.0
1540096,1008.0
1560576,726.0
1580032,522.0
1600512,868.0
1620992,576.0
1640448,770.0
1660928,728.0
1680384,492.0
1700864,770.0
1720320,506.0
1740800,638.0
1760256,988.0
1780736,854.0
1800192,756.0
1820672,746.0
1840128,812.0
1860608,622.0
1880064,952.0
1900544,578.0
1920000,770.0
1940480,590.0
1960960,552.0
1980416,614.0
2000896,500.0
2020352,498.0
2040832,714.0
2060288,806.0
2080768,552.0
2100224,438.0
2120704,646.0
2140160,572.0
2160640,634.0
2180096,712.0
2200576,470.0
2220032,600.0
2240512,584.0
2260992,786.0
2280448,612.0
2300928,430.0
2320384,478.0
2340864,646.0
2360320,440.0
2380800,270.0
2400256,508.0
2420736,416.0
2440192,360.0
2460672,454.0
2480128,730.0
2500608,652.0
2520064,584.0
2540544,714.0
2560000,696.0
2580480,990.0
2600960,928.0
2620416,1030.0
2640896,1060.0
2660352,644.0
2680832,534.0
2700288,782.0
2720768,714.0
2740224,832.0
2760704,794.0
2780160,604.0
2800640,542.0
2820096,742.0
2840576,674.0
2860032,464.0
2880512,956.0
2900992,812.0
2920448,1250.0
2940928,784.0
2960384,530.0
2980864,722.0
3000320,736.0
3020800,572.0
3040256,770.0
3060736,746.0
3080192,746.0
3100672,848.0
3120128,554.0
3140608,690.0
3160064,466.0
3180544,670.0
3200000,582.0
3220480,440.0
3240960,492.0
3260416,538.0
3280896,386.0
3300352,536.0
3320832,446.0
3340288,362.0
3360768,276.0
3380224,300.0
3400704,398.0
3420160,322.0
3440640,854.0
3460096,652.0
3480576,540.0
3500032,456.0
3520512,446.0
3540992,404.0
3560448,364.0
3580928,878.0
3600384,504.0
3620864,790.0
3640320,694.0
3660800,956.0
3680256,786.0
3700736,598.0
3720192,596.0
3740672,500.0
3760128,986.0
3780608,1198.0
3800064,604.0
3820544,598.0
3840000,726.0
3860480,766.0
3880960,894.0
3900416,654.0
3920896,1084.0
3940352,880.0
3960832,664.0
3980288,478.0
4000768,688.0
4020224,580.0
4040704,486.0
4060160,772.0
4080640,648.0
4100096,568.0
4120576,808.0
4140032,598.0
4160512,386.0
4180992,772.0
4200448,566.0
4220928,698.0
4240384,520.0
4260864,642.0
4280320,532.0
4300800,546.0
4320256,604.0
4340736,432.0
4360192,562.0
4380672,448.0
4400128,604.0
4420608,572.0
4440064,818.0
4460544,678.0
4480000,538.0
4500480,710.0
4520960,540.0
4540416,620.0
4560896,640.0
4580352,414.0
4600832,390.0
4620288,566.0
4640768,312.0
4660224,460.0
4680704,422.0
4700160,572.0
4720640,330.0
4740096,354.0
4760576,492.0
4780032,384.0
4800512,360.0
4820992,604.0
4840448,400.0
4860928,280.0
4880384,490.0
4900864,462.0
4920320,426.0
4940800,546.0
4960256,396.0
4980736,506.0
5000192,264.0
