Step,Value
20480,2190.0
40960,2290.0
60416,2382.0
80896,1718.0
100352,2432.0
120832,2212.0
140288,2426.0
160768,1802.0
180224,2260.0
200704,2324.0
220160,3318.0
240640,2210.0
260096,2294.0
280576,2138.0
300032,1954.0
320512,2148.0
340992,2038.0
360448,2118.0
380928,2752.0
400384,1980.0
420864,3300.0
440320,1662.0
460800,2304.0
480256,1962.0
500736,1858.0
520192,1684.0
540672,2016.0
560128,1962.0
580608,1654.0
600064,2616.0
620544,3310.0
640000,2972.0
660480,2468.0
680960,1956.0
700416,2382.0
720896,2952.0
740352,1930.0
760832,2186.0
780288,1816.0
800768,2958.0
820224,3158.0
840704,2660.0
860160,3182.0
880640,2542.0
900096,2834.0
920576,2414.0
940032,2976.0
960512,2308.0
980992,2338.0
1000448,2120.0
1020928,2578.0
1040384,2386.0
1060864,2300.0
1080320,2608.0
1100800,3014.0
1120256,2632.0
1140736,2876.0
1160192,3644.0
1180672,3660.0
1200128,3386.0
1220608,3718.0
1240064,3194.0
1260544,2982.0
1280000,3612.0
1300480,3010.0
1320960,4026.0
1340416,4012.0
1360896,3704.0
1380352,3704.0
1400832,4006.0
1420288,3674.0
1440768,2946.0
1460224,3904.0
1480704,3430.0
1500160,3826.0
1520640,3562.0
1540096,4296.0
1560576,4626.0
1580032,4132.0
1600512,3208.0
1620992,4178.0
1640448,5504.0
1660928,4506.0
1680384,4764.0
1700864,3264.0
1720320,4030.0
1740800,4048.0
1760256,4436.0
1780736,4590.0
1800192,4870.0
1820672,4758.0
1840128,4672.0
1860608,4578.0
1880064,4778.0
1900544,4456.0
1920000,4380.0
1940480,5046.0
1960960,5336.0
1980416,5544.0
2000896,5190.0
2020352,4702.0
2040832,5016.0
2060288,4264.0
2080768,4982.0
2100224,4528.0
2120704,4462.0
2140160,4830.0
2160640,4742.0
2180096,5370.0
2200576,5214.0
2220032,5718.0
2240512,5368.0
2260992,5590.0
2280448,5480.0
2300928,5208.0
2320384,4950.0
2340864,5168.0
2360320,5754.0
2380800,5822.0
2400256,5292.0
2420736,4750.0
2440192,5848.0
2460672,4518.0
2480128,5632.0
2500608,5384.0
2520064,5638.0
2540544,6168.0
2560000,5396.0
2580480,5480.0
2600960,4934.0
2620416,4910.0
2640896,4848.0
2660352,5126.0
2680832,4858.0
2700288,5846.0
2720768,5526.0
2740224,5616.0
2760704,5592.0
2780160,5732.0
2800640,4824.0
2820096,5308.0
2840576,4836.0
2860032,5322.0
2880512,5114.0
2900992,5110.0
2920448,5750.0
2940928,3926.0
2960384,5194.0
2980864,5048.0
3000320,5024.0
3020800,5224.0
3040256,5452.0
3060736,6042.0
3080192,4952.0
3100672,5352.0
3120128,5686.0
3140608,5666.0
3160064,5392.0
3180544,5208.0
3200000,5166.0
3220480,5984.0
3240960,5164.0
3260416,5474.0
3280896,5232.0
3300352,5136.0
3320832,5922.0
3340288,4226.0
3360768,5300.0
3380224,5378.0
3400704,5188.0
3420160,6000.0
3440640,5068.0
3460096,5514.0
3480576,5676.0
3500032,5768.0
3520512,4188.0
3540992,5418.0
3560448,5562.0
3580928,6030.0
3600384,5082.0
3620864,5392.0
3640320,5448.0
3660800,5080.0
3680256,5410.0
3700736,5322.0
3720192,5410.0
3740672,5304.0
3760128,5460.0
3780608,5702.0
3800064,5356.0
3820544,5586.0
3840000,4820.0
3860480,5292.0
3880960,5686.0
3900416,5270.0
3920896,5662.0
3940352,4596.0
3960832,5602.0
3980288,5396.0
4000768,5802.0
4020224,4868.0
4040704,5064.0
4060160,4298.0
4080640,5258.0
4100096,5512.0
4120576,4984.0
4140032,4464.0
4160512,5116.0
4180992,5550.0
4200448,5276.0
4220928,5592.0
4240384,6014.0
4260864,4978.0
4280320,5944.0
4300800,5404.0
4320256,3794.0
4340736,4112.0
4360192,5748.0
4380672,5384.0
4400128,5620.0
4420608,5230.0
4440064,4624.0
4460544,5476.0
4480000,4994.0
4500480,5798.0
4520960,5050.0
4540416,5146.0
4560896,4822.0
4580352,5202.0
4600832,5040.0
4620288,4472.0
4640768,5150.0
4660224,5064.0
4680704,5448.0
4700160,5088.0
4720640,5096.0
4740096,5664.0
4760576,4194.0
4780032,5044.0
4800512,5918.0
4820992,4652.0
4840448,5300.0
4860928,4078.0
4880384,5218.0
4900864,5412.0
4920320,4294.0
4940800,5440.0
4960256,4528.0
4980736,4340.0
5000192,4434.0
