Step,Value
20480,-39.400001525878906
40960,-13.199999809265137
60416,-15.800000190734863
80896,-6.199999809265137
100352,-61.0
120832,0.0
140288,-7.599999904632568
160768,-14.800000190734863
180224,-24.799999237060547
200704,-149.1999969482422
220160,-4.400000095367432
240640,-13.800000190734863
260096,-23.600000381469727
280576,-3.799999952316284
300032,-8.0
320512,-10.600000381469727
340992,-14.399999618530273
360448,-10.800000190734863
380928,-20.0
400384,-28.200000762939453
420864,0.0
440320,-25.0
460800,-14.399999618530273
480256,-62.79999923706055
500736,-100.0
520192,-103.19999694824219
540672,-285.3999938964844
560128,-31.799999237060547
580608,-28.200000762939453
600064,-20.0
620544,-4.800000190734863
640000,-7.199999809265137
660480,-0.6000000238418579
680960,0.0
700416,-105.5999984741211
720896,-5.199999809265137
740352,-10.0
760832,0.0
780288,-18.0
800768,-4.800000190734863
820224,-20.0
840704,-4.800000190734863
860160,-14.600000381469727
880640,0.0
900096,-26.799999237060547
920576,-140.39999389648438
940032,-7.199999809265137
960512,-7.800000190734863
980992,-14.600000381469727
1000448,0.0
1020928,-20.0
1040384,-404.3999938964844
1060864,-7.400000095367432
1080320,-4.0
1100800,-7.199999809265137
1120256,-4.800000190734863
1140736,-31.600000381469727
1160192,-9.399999618530273
1180672,-2.5999999046325684
1200128,0.0
1220608,-5.800000190734863
1240064,-40.0
1260544,-0.20000000298023224
1280000,-36.20000076293945
1300480,-23.399999618530273
1320960,-1.600000023841858
1340416,-3.5999999046325684
1360896,0.0
1380352,-7.599999904632568
1400832,-6.0
1420288,0.0
1440768,-60.0
1460224,0.0
1480704,0.0
1500160,-7.199999809265137
1520640,0.0
1540096,-4.599999904632568
1560576,0.0
1580032,0.0
1600512,-2.5999999046325684
1620992,-40.0
1640448,-4.800000190734863
1660928,-4.800000190734863
1680384,0.0
1700864,-20.0
1720320,0.0
1740800,-7.199999809265137
1760256,-9.399999618530273
1780736,-5.199999809265137
1800192,0.0
1820672,-4.400000095367432
1840128,0.0
1860608,0.0
1880064,-6.0
1900544,-10.0
1920000,-4.0
1940480,0.0
1960960,0.0
1980416,-5.599999904632568
2000896,-0.800000011920929
2020352,-24.799999237060547
2040832,0.0
2060288,-141.60000610351562
2080768,0.0
2100224,-3.4000000953674316
2120704,-1.7999999523162842
2140160,0.0
2160640,-174.60000610351562
2180096,-4.599999904632568
2200576,-24.600000381469727
2220032,0.0
2240512,0.0
2260992,0.0
2280448,-9.600000381469727
2300928,-5.199999809265137
2320384,-5.599999904632568
2340864,-3.5999999046325684
2360320,-7.599999904632568
2380800,-67.5999984741211
2400256,-80.0
2420736,-2.200000047683716
2440192,-20.0
2460672,-80.0
2480128,0.0
2500608,0.0
2520064,-10.399999618530273
2540544,0.0
2560000,-0.4000000059604645
2580480,-5.199999809265137
2600960,0.0
2620416,-60.20000076293945
2640896,-40.0
2660352,0.0
2680832,-6.199999809265137
2700288,0.0
2720768,-7.0
2740224,-1.0
2760704,0.0
2780160,-9.399999618530273
2800640,-4.800000190734863
2820096,0.0
2840576,-4.0
2860032,-15.600000381469727
2880512,0.0
2900992,-1.7999999523162842
2920448,-2.200000047683716
2940928,-84.0
2960384,-7.599999904632568
2980864,0.0
3000320,0.0
3020800,-4.599999904632568
3040256,-3.0
3060736,-3.0
3080192,-4.0
3100672,0.0
3120128,0.0
3140608,-4.800000190734863
3160064,0.0
3180544,0.0
3200000,-3.200000047683716
3220480,-4.800000190734863
3240960,0.0
3260416,-4.800000190734863
3280896,-28.200000762939453
3300352,0.0
3320832,0.0
3340288,0.0
3360768,0.0
3380224,-1.2000000476837158
3400704,0.0
3420160,0.0
3440640,0.0
3460096,0.0
3480576,0.0
3500032,-27.0
3520512,0.0
3540992,0.0
3560448,-6.199999809265137
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,0.0
3720192,-9.0
3740672,-5.199999809265137
3760128,-4.800000190734863
3780608,0.0
3800064,0.0
3820544,0.0
3840000,0.0
3860480,-4.800000190734863
3880960,-5.199999809265137
3900416,0.0
3920896,0.0
3940352,-5.800000190734863
3960832,-4.400000095367432
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,-4.800000190734863
4080640,0.0
4100096,0.0
4120576,0.0
4140032,0.0
4160512,0.0
4180992,0.0
4200448,0.0
4220928,-4.400000095367432
4240384,0.0
4260864,-20.0
4280320,0.0
4300800,0.0
4320256,0.0
4340736,-4.800000190734863
4360192,0.0
4380672,0.0
4400128,-5.199999809265137
4420608,0.0
4440064,0.0
4460544,0.0
4480000,0.0
4500480,0.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,-1.399999976158142
4960256,0.0
4980736,-5.199999809265137
5000192,0.0
