Step,Value
20480,240.0
40960,290.0
60416,230.0
80896,265.0
100352,250.0
120832,290.0
140288,340.0
160768,280.0
180224,325.0
200704,360.0
220160,300.0
240640,270.0
260096,335.0
280576,290.0
300032,240.0
320512,335.0
340992,315.0
360448,255.0
380928,295.0
400384,275.0
420864,380.0
440320,310.0
460800,355.0
480256,240.0
500736,355.0
520192,270.0
540672,470.0
560128,270.0
580608,300.0
600064,335.0
620544,350.0
640000,365.0
660480,240.0
680960,445.0
700416,370.0
720896,440.0
740352,470.0
760832,540.0
780288,340.0
800768,450.0
820224,545.0
840704,580.0
860160,555.0
880640,525.0
900096,415.0
920576,365.0
940032,535.0
960512,535.0
980992,535.0
1000448,510.0
1020928,430.0
1040384,465.0
1060864,550.0
1080320,480.0
1100800,570.0
1120256,590.0
1140736,485.0
1160192,460.0
1180672,380.0
1200128,435.0
1220608,490.0
1240064,420.0
1260544,455.0
1280000,410.0
1300480,420.0
1320960,385.0
1340416,545.0
1360896,570.0
1380352,515.0
1400832,355.0
1420288,665.0
1440768,520.0
1460224,390.0
1480704,535.0
1500160,655.0
1520640,425.0
1540096,445.0
1560576,435.0
1580032,580.0
1600512,560.0
1620992,525.0
1640448,485.0
1660928,515.0
1680384,680.0
1700864,580.0
1720320,705.0
1740800,685.0
1760256,470.0
1780736,490.0
1800192,590.0
1820672,655.0
1840128,745.0
1860608,690.0
1880064,595.0
1900544,540.0
1920000,595.0
1940480,650.0
1960960,560.0
1980416,505.0
2000896,595.0
2020352,615.0
2040832,725.0
2060288,435.0
2080768,490.0
2100224,565.0
2120704,525.0
2140160,505.0
2160640,605.0
2180096,475.0
2200576,765.0
2220032,785.0
2240512,685.0
2260992,820.0
2280448,620.0
2300928,555.0
2320384,710.0
2340864,550.0
2360320,815.0
2380800,765.0
2400256,545.0
2420736,680.0
2440192,495.0
2460672,545.0
2480128,735.0
2500608,605.0
2520064,725.0
2540544,730.0
2560000,720.0
2580480,800.0
2600960,665.0
2620416,1410.0
2640896,545.0
2660352,510.0
2680832,575.0
2700288,620.0
2720768,505.0
2740224,735.0
2760704,550.0
2780160,490.0
2800640,775.0
2820096,1380.0
2840576,610.0
2860032,620.0
2880512,870.0
2900992,620.0
2920448,850.0
2940928,1535.0
2960384,670.0
2980864,705.0
3000320,915.0
3020800,710.0
3040256,520.0
3060736,755.0
3080192,850.0
3100672,780.0
3120128,595.0
3140608,750.0
3160064,450.0
3180544,1270.0
3200000,620.0
3220480,420.0
3240960,720.0
3260416,615.0
3280896,830.0
3300352,700.0
3320832,615.0
3340288,795.0
3360768,520.0
3380224,640.0
3400704,800.0
3420160,680.0
3440640,605.0
3460096,495.0
3480576,2235.0
3500032,700.0
3520512,515.0
3540992,1255.0
3560448,685.0
3580928,645.0
3600384,600.0
3620864,420.0
3640320,585.0
3660800,1315.0
3680256,1395.0
3700736,660.0
3720192,680.0
3740672,535.0
3760128,485.0
3780608,680.0
3800064,620.0
3820544,715.0
3840000,855.0
3860480,570.0
3880960,785.0
3900416,800.0
3920896,915.0
3940352,1260.0
3960832,715.0
3980288,580.0
4000768,675.0
4020224,2050.0
4040704,705.0
4060160,825.0
4080640,790.0
4100096,1385.0
4120576,825.0
4140032,755.0
4160512,810.0
4180992,1295.0
4200448,760.0
4220928,830.0
4240384,755.0
4260864,535.0
4280320,760.0
4300800,1380.0
4320256,755.0
4340736,685.0
4360192,1435.0
4380672,750.0
4400128,645.0
4420608,815.0
4440064,820.0
4460544,640.0
4480000,1395.0
4500480,690.0
4520960,770.0
4540416,750.0
4560896,620.0
4580352,780.0
4600832,755.0
4620288,650.0
4640768,880.0
4660224,1390.0
4680704,765.0
4700160,695.0
4720640,2780.0
4740096,1450.0
4760576,1585.0
4780032,915.0
4800512,765.0
4820992,690.0
4840448,760.0
4860928,710.0
4880384,815.0
4900864,825.0
4920320,820.0
4940800,1505.0
4960256,1410.0
4980736,1315.0
5000192,1340.0
