Step,Value
20480,1572.0
40960,1442.0
60416,1674.0
80896,1472.0
100352,1824.0
120832,1896.0
140288,1850.0
160768,1798.0
180224,1974.0
200704,1840.0
220160,2044.0
240640,1908.0
260096,1888.0
280576,2070.0
300032,1800.0
320512,2296.0
340992,1688.0
360448,1890.0
380928,2354.0
400384,2278.0
420864,2446.0
440320,1896.0
460800,2052.0
480256,2026.0
500736,2086.0
520192,2086.0
540672,2254.0
560128,2002.0
580608,2218.0
600064,2216.0
620544,2390.0
640000,2164.0
660480,2126.0
680960,2220.0
700416,2184.0
720896,2218.0
740352,2192.0
760832,2312.0
780288,2172.0
800768,2102.0
820224,2370.0
840704,2234.0
860160,2266.0
880640,2102.0
900096,2184.0
920576,2408.0
940032,2256.0
960512,2288.0
980992,2226.0
1000448,2354.0
1020928,2238.0
1040384,2404.0
1060864,2496.0
1080320,2362.0
1100800,2322.0
1120256,2286.0
1140736,2324.0
1160192,2336.0
1180672,2264.0
1200128,2334.0
1220608,2368.0
1240064,2474.0
1260544,2280.0
1280000,2398.0
1300480,2316.0
1320960,2472.0
1340416,2384.0
1360896,2354.0
1380352,2426.0
1400832,2332.0
1420288,2376.0
1440768,2348.0
1460224,2372.0
1480704,2376.0
1500160,2468.0
1520640,2362.0
1540096,2450.0
1560576,2466.0
1580032,2524.0
1600512,2548.0
1620992,2676.0
1640448,2466.0
1660928,2418.0
1680384,2446.0
1700864,2446.0
1720320,2302.0
1740800,2496.0
1760256,2514.0
1780736,2512.0
1800192,2476.0
1820672,2394.0
1840128,2502.0
1860608,2516.0
1880064,2404.0
1900544,2466.0
1920000,2472.0
1940480,2476.0
1960960,2482.0
1980416,2410.0
2000896,2512.0
2020352,2432.0
2040832,2444.0
2060288,2550.0
2080768,2510.0
2100224,2508.0
2120704,2520.0
2140160,2526.0
2160640,2508.0
2180096,2536.0
2200576,2442.0
2220032,2510.0
2240512,2524.0
2260992,2504.0
2280448,2508.0
2300928,2590.0
2320384,2536.0
2340864,2544.0
2360320,2536.0
2380800,2576.0
2400256,2574.0
2420736,2570.0
2440192,2620.0
2460672,2632.0
2480128,2570.0
2500608,2568.0
2520064,2516.0
2540544,2652.0
2560000,2614.0
2580480,2726.0
2600960,2658.0
2620416,2744.0
2640896,2660.0
2660352,2686.0
2680832,2648.0
2700288,2632.0
2720768,2614.0
2740224,2646.0
2760704,2650.0
2780160,2512.0
2800640,2542.0
2820096,2606.0
2840576,2560.0
2860032,2550.0
2880512,2574.0
2900992,2704.0
2920448,2622.0
2940928,2580.0
2960384,2568.0
2980864,2596.0
3000320,2670.0
3020800,2672.0
3040256,2590.0
3060736,2718.0
3080192,2608.0
3100672,2574.0
3120128,2626.0
3140608,2614.0
3160064,2634.0
3180544,2644.0
3200000,2642.0
3220480,2680.0
3240960,2680.0
3260416,2736.0
3280896,2698.0
3300352,2716.0
3320832,2714.0
3340288,2778.0
3360768,2720.0
3380224,2786.0
3400704,2700.0
3420160,2676.0
3440640,2722.0
3460096,2776.0
3480576,2690.0
3500032,2704.0
3520512,2846.0
3540992,2904.0
3560448,2914.0
3580928,2738.0
3600384,2890.0
3620864,3036.0
3640320,2946.0
3660800,2800.0
3680256,3268.0
3700736,3178.0
3720192,2950.0
3740672,3206.0
3760128,3330.0
3780608,3192.0
3800064,3248.0
3820544,3060.0
3840000,2938.0
3860480,3660.0
3880960,3248.0
3900416,3262.0
3920896,3084.0
3940352,2978.0
3960832,4220.0
3980288,3222.0
4000768,3048.0
4020224,3396.0
4040704,3060.0
4060160,3894.0
4080640,4212.0
4100096,3694.0
4120576,3514.0
4140032,3118.0
4160512,3850.0
4180992,3520.0
4200448,3604.0
4220928,3430.0
4240384,4194.0
4260864,3946.0
4280320,3648.0
4300800,3994.0
4320256,4332.0
4340736,3402.0
4360192,4318.0
4380672,3680.0
4400128,3814.0
4420608,3638.0
4440064,3690.0
4460544,3700.0
4480000,4004.0
4500480,4070.0
4520960,3452.0
4540416,3914.0
4560896,3160.0
4580352,3760.0
4600832,3540.0
4620288,4608.0
4640768,3904.0
4660224,3754.0
4680704,3466.0
4700160,4688.0
4720640,3860.0
4740096,3610.0
4760576,3822.0
4780032,4314.0
4800512,3626.0
4820992,3002.0
4840448,3600.0
4860928,3676.0
4880384,3088.0
4900864,3634.0
4920320,3796.0
4940800,4284.0
4960256,3616.0
4980736,4416.0
5000192,3430.0
