Step,Value
20480,2040.0
40960,540.0
60416,1020.0
80896,1240.0
100352,1800.0
120832,1780.0
140288,640.0
160768,2200.0
180224,1980.0
200704,1820.0
220160,1540.0
240640,2280.0
260096,2140.0
280576,480.0
300032,1040.0
320512,2300.0
340992,2280.0
360448,1380.0
380928,3160.0
400384,1960.0
420864,3200.0
440320,2860.0
460800,2600.0
480256,2380.0
500736,1420.0
520192,2860.0
540672,3160.0
560128,2280.0
580608,2100.0
600064,2080.0
620544,3160.0
640000,2660.0
660480,2300.0
680960,2980.0
700416,2520.0
720896,1620.0
740352,3300.0
760832,1940.0
780288,2580.0
800768,3960.0
820224,2060.0
840704,2220.0
860160,2120.0
880640,3760.0
900096,2540.0
920576,3400.0
940032,3600.0
960512,4680.0
980992,5740.0
1000448,7240.0
1020928,4060.0
1040384,8260.0
1060864,6480.0
1080320,5540.0
1100800,8180.0
1120256,8140.0
1140736,6520.0
1160192,9100.0
1180672,9780.0
1200128,7000.0
1220608,6400.0
1240064,10060.0
1260544,7080.0
1280000,7420.0
1300480,7420.0
1320960,10320.0
1340416,10040.0
1360896,10640.0
1380352,8760.0
1400832,10040.0
1420288,8120.0
1440768,9500.0
1460224,10240.0
1480704,7260.0
1500160,10420.0
1520640,13560.0
1540096,11220.0
1560576,10560.0
1580032,10220.0
1600512,9800.0
1620992,9180.0
1640448,11440.0
1660928,12660.0
1680384,9160.0
1700864,9280.0
1720320,11320.0
1740800,13000.0
1760256,9600.0
1780736,9420.0
1800192,10200.0
1820672,11580.0
1840128,8680.0
1860608,13640.0
1880064,11380.0
1900544,13000.0
1920000,10160.0
1940480,15280.0
1960960,13060.0
1980416,12900.0
2000896,9960.0
2020352,14540.0
2040832,8720.0
2060288,13940.0
2080768,11200.0
2100224,15560.0
2120704,16280.0
2140160,13720.0
2160640,11340.0
2180096,9260.0
2200576,13560.0
2220032,14180.0
2240512,11340.0
2260992,14820.0
2280448,17300.0
2300928,15100.0
2320384,15360.0
2340864,13400.0
2360320,15580.0
2380800,13340.0
2400256,12620.0
2420736,14980.0
2440192,13380.0
2460672,14060.0
2480128,13800.0
2500608,16880.0
2520064,12740.0
2540544,14160.0
2560000,17960.0
2580480,12660.0
2600960,16300.0
2620416,17560.0
2640896,14700.0
2660352,15460.0
2680832,11920.0
2700288,11420.0
2720768,15860.0
2740224,16520.0
2760704,16700.0
2780160,14460.0
2800640,11660.0
2820096,13920.0
2840576,10420.0
2860032,16180.0
2880512,11780.0
2900992,14740.0
2920448,20360.0
2940928,17280.0
2960384,17760.0
2980864,16260.0
3000320,15640.0
3020800,14360.0
3040256,17260.0
3060736,18140.0
3080192,20680.0
3100672,18100.0
3120128,17660.0
3140608,15380.0
3160064,17540.0
3180544,14360.0
3200000,14760.0
3220480,16160.0
3240960,16640.0
3260416,17700.0
3280896,15400.0
3300352,17440.0
3320832,21080.0
3340288,12880.0
3360768,17660.0
3380224,20640.0
3400704,17380.0
3420160,18100.0
3440640,14580.0
3460096,17540.0
3480576,17260.0
3500032,20340.0
3520512,21560.0
3540992,16600.0
3560448,18100.0
3580928,15720.0
3600384,17960.0
3620864,17580.0
3640320,19040.0
3660800,17680.0
3680256,19740.0
3700736,18600.0
3720192,16820.0
3740672,19780.0
3760128,22820.0
3780608,18560.0
3800064,15680.0
3820544,16920.0
3840000,19700.0
3860480,19420.0
3880960,18760.0
3900416,18520.0
3920896,18400.0
3940352,15520.0
3960832,19340.0
3980288,16060.0
4000768,20140.0
4020224,22160.0
4040704,19380.0
4060160,19920.0
4080640,16940.0
4100096,18900.0
4120576,22380.0
4140032,20400.0
4160512,20060.0
4180992,20680.0
4200448,17420.0
4220928,24700.0
4240384,19520.0
4260864,14680.0
4280320,19480.0
4300800,19620.0
4320256,18140.0
4340736,19140.0
4360192,19640.0
4380672,20740.0
4400128,19400.0
4420608,17660.0
4440064,16240.0
4460544,22400.0
4480000,17940.0
4500480,19280.0
4520960,19420.0
4540416,23760.0
4560896,20060.0
4580352,19640.0
4600832,18260.0
4620288,21880.0
4640768,22860.0
4660224,20860.0
4680704,19480.0
4700160,21860.0
4720640,19500.0
4740096,19600.0
4760576,24900.0
4780032,20600.0
4800512,17360.0
4820992,20160.0
4840448,20320.0
4860928,24800.0
4880384,18520.0
4900864,18840.0
4920320,21380.0
4940800,24920.0
4960256,21340.0
4980736,21000.0
5000192,19900.0
