Step,Value
20480,216.0
40960,268.0
60416,404.0
80896,504.0
100352,356.0
120832,524.0
140288,312.0
160768,396.0
180224,372.0
200704,516.0
220160,472.0
240640,496.0
260096,392.0
280576,560.0
300032,588.0
320512,584.0
340992,716.0
360448,560.0
380928,668.0
400384,656.0
420864,604.0
440320,704.0
460800,660.0
480256,564.0
500736,628.0
520192,696.0
540672,620.0
560128,708.0
580608,712.0
600064,724.0
620544,632.0
640000,720.0
660480,744.0
680960,768.0
700416,604.0
720896,676.0
740352,788.0
760832,672.0
780288,576.0
800768,664.0
820224,756.0
840704,640.0
860160,776.0
880640,792.0
900096,736.0
920576,780.0
940032,732.0
960512,816.0
980992,784.0
1000448,764.0
1020928,788.0
1040384,828.0
1060864,812.0
1080320,816.0
1100800,840.0
1120256,772.0
1140736,864.0
1160192,876.0
1180672,740.0
1200128,868.0
1220608,864.0
1240064,864.0
1260544,864.0
1280000,872.0
1300480,832.0
1320960,852.0
1340416,856.0
1360896,856.0
1380352,868.0
1400832,884.0
1420288,880.0
1440768,860.0
1460224,832.0
1480704,864.0
1500160,872.0
1520640,824.0
1540096,864.0
1560576,876.0
1580032,876.0
1600512,880.0
1620992,844.0
1640448,876.0
1660928,880.0
1680384,884.0
1700864,872.0
1720320,884.0
1740800,816.0
1760256,832.0
1780736,888.0
1800192,872.0
1820672,868.0
1840128,876.0
1860608,876.0
1880064,840.0
1900544,868.0
1920000,856.0
1940480,868.0
1960960,880.0
1980416,884.0
2000896,824.0
2020352,884.0
2040832,876.0
2060288,876.0
2080768,884.0
2100224,880.0
2120704,884.0
2140160,880.0
2160640,884.0
2180096,892.0
2200576,884.0
2220032,884.0
2240512,888.0
2260992,896.0
2280448,900.0
2300928,884.0
2320384,876.0
2340864,860.0
2360320,864.0
2380800,884.0
2400256,888.0
2420736,872.0
2440192,856.0
2460672,868.0
2480128,880.0
2500608,888.0
2520064,884.0
2540544,880.0
2560000,884.0
2580480,876.0
2600960,892.0
2620416,884.0
2640896,888.0
2660352,896.0
2680832,884.0
2700288,880.0
2720768,888.0
2740224,888.0
2760704,884.0
2780160,884.0
2800640,888.0
2820096,884.0
2840576,888.0
2860032,900.0
2880512,900.0
2900992,900.0
2920448,904.0
2940928,888.0
2960384,892.0
2980864,896.0
3000320,892.0
3020800,916.0
3040256,892.0
3060736,892.0
3080192,900.0
3100672,912.0
3120128,860.0
3140608,908.0
3160064,904.0
3180544,892.0
3200000,912.0
3220480,896.0
3240960,892.0
3260416,892.0
3280896,888.0
3300352,900.0
3320832,900.0
3340288,880.0
3360768,920.0
3380224,896.0
3400704,892.0
3420160,880.0
3440640,912.0
3460096,900.0
3480576,904.0
3500032,916.0
3520512,924.0
3540992,912.0
3560448,892.0
3580928,908.0
3600384,916.0
3620864,892.0
3640320,924.0
3660800,888.0
3680256,868.0
3700736,892.0
3720192,920.0
3740672,904.0
3760128,916.0
3780608,904.0
3800064,916.0
3820544,916.0
3840000,908.0
3860480,908.0
3880960,936.0
3900416,884.0
3920896,892.0
3940352,928.0
3960832,912.0
3980288,944.0
4000768,920.0
4020224,900.0
4040704,920.0
4060160,908.0
4080640,920.0
4100096,896.0
4120576,908.0
4140032,912.0
4160512,900.0
4180992,908.0
4200448,916.0
4220928,892.0
4240384,908.0
4260864,920.0
4280320,896.0
4300800,888.0
4320256,892.0
4340736,924.0
4360192,908.0
4380672,920.0
4400128,912.0
4420608,908.0
4440064,912.0
4460544,892.0
4480000,888.0
4500480,900.0
4520960,912.0
4540416,908.0
4560896,920.0
4580352,920.0
4600832,912.0
4620288,936.0
4640768,908.0
4660224,908.0
4680704,912.0
4700160,904.0
4720640,912.0
4740096,912.0
4760576,928.0
4780032,920.0
4800512,916.0
4820992,908.0
4840448,916.0
4860928,916.0
4880384,916.0
4900864,912.0
4920320,916.0
4940800,928.0
4960256,924.0
4980736,896.0
5000192,908.0
