Step,Value
20480,156.0
40960,210.0
60416,252.0
80896,277.0
100352,313.0
120832,172.0
140288,203.0
160768,142.0
180224,181.0
200704,133.0
220160,217.0
240640,134.0
260096,238.0
280576,218.0
300032,267.0
320512,182.0
340992,145.0
360448,304.0
380928,120.0
400384,117.0
420864,239.0
440320,208.0
460800,230.0
480256,238.0
500736,244.0
520192,197.0
540672,311.0
560128,263.0
580608,264.0
600064,389.0
620544,381.0
640000,312.0
660480,295.0
680960,374.0
700416,426.0
720896,295.0
740352,356.0
760832,391.0
780288,332.0
800768,326.0
820224,357.0
840704,371.0
860160,274.0
880640,436.0
900096,284.0
920576,515.0
940032,447.0
960512,467.0
980992,388.0
1000448,418.0
1020928,456.0
1040384,478.0
1060864,425.0
1080320,746.0
1100800,509.0
1120256,537.0
1140736,577.0
1160192,383.0
1180672,473.0
1200128,366.0
1220608,516.0
1240064,530.0
1260544,733.0
1280000,453.0
1300480,628.0
1320960,565.0
1340416,593.0
1360896,658.0
1380352,800.0
1400832,510.0
1420288,759.0
1440768,652.0
1460224,721.0
1480704,693.0
1500160,724.0
1520640,739.0
1540096,731.0
1560576,624.0
1580032,539.0
1600512,574.0
1620992,631.0
1640448,561.0
1660928,580.0
1680384,643.0
1700864,566.0
1720320,704.0
1740800,690.0
1760256,727.0
1780736,788.0
1800192,639.0
1820672,677.0
1840128,874.0
1860608,765.0
1880064,553.0
1900544,727.0
1920000,693.0
1940480,752.0
1960960,580.0
1980416,688.0
2000896,640.0
2020352,658.0
2040832,637.0
2060288,691.0
2080768,624.0
2100224,655.0
2120704,661.0
2140160,858.0
2160640,636.0
2180096,765.0
2200576,813.0
2220032,1051.0
2240512,797.0
2260992,903.0
2280448,843.0
2300928,963.0
2320384,733.0
2340864,702.0
2360320,682.0
2380800,734.0
2400256,780.0
2420736,881.0
2440192,795.0
2460672,907.0
2480128,1033.0
2500608,748.0
2520064,985.0
2540544,682.0
2560000,570.0
2580480,769.0
2600960,901.0
2620416,815.0
2640896,965.0
2660352,793.0
2680832,569.0
2700288,755.0
2720768,675.0
2740224,660.0
2760704,730.0
2780160,602.0
2800640,879.0
2820096,858.0
2840576,944.0
2860032,665.0
2880512,790.0
2900992,577.0
2920448,719.0
2940928,729.0
2960384,808.0
2980864,723.0
3000320,688.0
3020800,729.0
3040256,692.0
3060736,608.0
3080192,590.0
3100672,740.0
3120128,905.0
3140608,804.0
3160064,605.0
3180544,620.0
3200000,742.0
3220480,613.0
3240960,837.0
3260416,878.0
3280896,864.0
3300352,665.0
3320832,826.0
3340288,1040.0
3360768,591.0
3380224,744.0
3400704,730.0
3420160,752.0
3440640,668.0
3460096,744.0
3480576,665.0
3500032,641.0
3520512,1170.0
3540992,712.0
3560448,644.0
3580928,733.0
3600384,919.0
3620864,602.0
3640320,550.0
3660800,581.0
3680256,864.0
3700736,591.0
3720192,967.0
3740672,577.0
3760128,1003.0
3780608,638.0
3800064,1017.0
3820544,939.0
3840000,1056.0
3860480,1001.0
3880960,605.0
3900416,860.0
3920896,751.0
3940352,624.0
3960832,664.0
3980288,681.0
4000768,843.0
4020224,947.0
4040704,1177.0
4060160,624.0
4080640,739.0
4100096,704.0
4120576,902.0
4140032,1068.0
4160512,650.0
4180992,885.0
4200448,870.0
4220928,739.0
4240384,698.0
4260864,746.0
4280320,1045.0
4300800,848.0
4320256,682.0
4340736,728.0
4360192,1048.0
4380672,832.0
4400128,650.0
4420608,693.0
4440064,847.0
4460544,804.0
4480000,1328.0
4500480,2089.0
4520960,756.0
4540416,1164.0
4560896,788.0
4580352,1162.0
4600832,718.0
4620288,757.0
4640768,872.0
4660224,700.0
4680704,735.0
4700160,866.0
4720640,783.0
4740096,618.0
4760576,907.0
4780032,1170.0
4800512,946.0
4820992,951.0
4840448,878.0
4860928,894.0
4880384,853.0
4900864,911.0
4920320,612.0
4940800,787.0
4960256,906.0
4980736,860.0
5000192,726.0
