Step,Value
20480,-24.0
40960,-23.799999237060547
60416,-23.799999237060547
80896,-24.0
100352,-23.799999237060547
120832,-23.799999237060547
140288,-24.0
160768,-23.600000381469727
180224,-24.0
200704,-23.799999237060547
220160,-23.399999618530273
240640,-23.600000381469727
260096,-23.399999618530273
280576,-23.399999618530273
300032,-24.0
320512,-24.0
340992,-24.0
360448,-23.799999237060547
380928,-23.799999237060547
400384,-23.799999237060547
420864,-23.600000381469727
440320,-24.0
460800,-24.0
480256,-24.0
500736,-23.799999237060547
520192,-23.799999237060547
540672,-23.600000381469727
560128,-24.0
580608,-24.0
600064,-24.0
620544,-24.0
640000,-24.0
660480,-24.0
680960,-24.0
700416,-23.399999618530273
720896,-24.0
740352,-23.600000381469727
760832,-24.0
780288,-23.600000381469727
800768,-24.0
820224,-23.799999237060547
840704,-23.799999237060547
860160,-23.600000381469727
880640,-23.399999618530273
900096,-23.799999237060547
920576,-23.799999237060547
940032,-24.0
960512,-24.0
980992,-23.600000381469727
1000448,-23.799999237060547
1020928,-23.799999237060547
1040384,-24.0
1060864,-24.0
1080320,-24.0
1100800,-20.799999237060547
1120256,-24.0
1140736,-23.799999237060547
1160192,-23.799999237060547
1180672,-24.0
1200128,-23.799999237060547
1220608,-24.0
1240064,-23.799999237060547
1260544,-24.0
1280000,-23.799999237060547
1300480,-24.0
1320960,-23.600000381469727
1340416,-23.799999237060547
1360896,-23.799999237060547
1380352,-24.0
1400832,-24.0
1420288,-24.0
1440768,-23.600000381469727
1460224,-23.799999237060547
1480704,-23.799999237060547
1500160,-23.799999237060547
1520640,-24.0
1540096,-23.600000381469727
1560576,-23.799999237060547
1580032,-20.799999237060547
1600512,-17.799999237060547
1620992,-21.0
1640448,-23.799999237060547
1660928,-21.399999618530273
1680384,-15.600000381469727
1700864,-17.200000762939453
1720320,-12.199999809265137
1740800,-20.399999618530273
1760256,-20.600000381469727
1780736,-14.399999618530273
1800192,-8.199999809265137
1820672,-11.600000381469727
1840128,-11.399999618530273
1860608,-12.399999618530273
1880064,-8.0
1900544,-12.399999618530273
1920000,-18.200000762939453
1940480,-18.0
1960960,-18.399999618530273
1980416,-14.199999809265137
2000896,-12.199999809265137
2020352,-20.600000381469727
2040832,-17.200000762939453
2060288,-20.799999237060547
2080768,-24.0
2100224,-24.0
2120704,-23.799999237060547
2140160,-23.799999237060547
2160640,-21.200000762939453
2180096,-18.200000762939453
2200576,-20.799999237060547
2220032,-15.800000190734863
2240512,-18.0
2260992,-18.799999237060547
2280448,-20.600000381469727
2300928,-20.799999237060547
2320384,-24.0
2340864,-24.0
2360320,-18.200000762939453
2380800,-23.799999237060547
2400256,-23.600000381469727
2420736,-21.0
2440192,-24.0
2460672,-23.399999618530273
2480128,-23.399999618530273
2500608,-24.0
2520064,-21.0
2540544,-23.799999237060547
2560000,-24.0
2580480,-24.0
2600960,-21.0
2620416,-24.0
2640896,-23.600000381469727
2660352,-22.399999618530273
2680832,-23.799999237060547
2700288,-23.799999237060547
2720768,-23.399999618530273
2740224,-23.799999237060547
2760704,-23.799999237060547
2780160,-23.799999237060547
2800640,-24.0
2820096,-23.399999618530273
