Step,Value
20480,2960.0
40960,4920.0
60416,4460.0
80896,2840.0
100352,2120.0
120832,3680.0
140288,2060.0
160768,2840.0
180224,2400.0
200704,3460.0
220160,2840.0
240640,3740.0
260096,2120.0
280576,2760.0
300032,3600.0
320512,3320.0
340992,2860.0
360448,3000.0
380928,2800.0
400384,4480.0
420864,2940.0
440320,2280.0
460800,2820.0
480256,3700.0
500736,4460.0
520192,2800.0
540672,2960.0
560128,3780.0
580608,1540.0
600064,2720.0
620544,2300.0
640000,4360.0
660480,4460.0
680960,2160.0
700416,3500.0
720896,4540.0
740352,2260.0
760832,3400.0
780288,3020.0
800768,4320.0
820224,2880.0
840704,4500.0
860160,3660.0
880640,4360.0
900096,2760.0
920576,2200.0
940032,3380.0
960512,4960.0
980992,4960.0
1000448,3500.0
1020928,1480.0
1040384,3660.0
1060864,3540.0
1080320,3000.0
1100800,3580.0
1120256,3080.0
1140736,4260.0
1160192,2780.0
1180672,2940.0
1200128,2820.0
1220608,2820.0
1240064,3620.0
1260544,3820.0
1280000,3160.0
1300480,3640.0
1320960,3720.0
1340416,3140.0
1360896,3640.0
1380352,4280.0
1400832,3500.0
1420288,4380.0
1440768,4360.0
1460224,3720.0
1480704,2900.0
1500160,2980.0
1520640,4320.0
1540096,2840.0
1560576,2800.0
1580032,2960.0
1600512,2800.0
1620992,4160.0
1640448,4240.0
1660928,1440.0
1680384,3500.0
1700864,3480.0
1720320,4060.0
1740800,1780.0
1760256,3700.0
1780736,3760.0
1800192,2860.0
1820672,4080.0
1840128,1480.0
1860608,2240.0
1880064,3380.0
1900544,3640.0
1920000,2860.0
1940480,3540.0
1960960,2240.0
1980416,2920.0
2000896,4360.0
2020352,4460.0
2040832,2900.0
2060288,4540.0
2080768,3560.0
2100224,4500.0
2120704,4140.0
2140160,1540.0
2160640,6000.0
2180096,2880.0
2200576,4400.0
2220032,3240.0
2240512,3500.0
2260992,3680.0
2280448,3760.0
2300928,4380.0
2320384,3060.0
2340864,2900.0
2360320,4320.0
2380800,2980.0
2400256,4380.0
2420736,2780.0
2440192,3640.0
2460672,2300.0
2480128,3600.0
2500608,4260.0
2520064,5560.0
2540544,3520.0
2560000,5220.0
2580480,2900.0
2600960,5160.0
2620416,3520.0
2640896,3740.0
2660352,4840.0
2680832,3920.0
2700288,4060.0
2720768,3680.0
2740224,2920.0
2760704,4140.0
2780160,4220.0
2800640,3460.0
2820096,2960.0
2840576,3620.0
2860032,3800.0
2880512,2960.0
2900992,2780.0
2920448,4160.0
2940928,5740.0
2960384,5100.0
2980864,4360.0
3000320,4220.0
3020800,4420.0
3040256,4380.0
3060736,4200.0
3080192,3440.0
3100672,4300.0
3120128,4240.0
3140608,4420.0
3160064,3480.0
3180544,2880.0
3200000,3080.0
3220480,3540.0
3240960,4940.0
3260416,4360.0
3280896,5140.0
3300352,3680.0
3320832,2300.0
3340288,2880.0
3360768,3620.0
3380224,5740.0
3400704,3440.0
3420160,3480.0
3440640,3780.0
3460096,3640.0
3480576,5980.0
3500032,3800.0
3520512,3640.0
3540992,2220.0
3560448,4280.0
3580928,4160.0
3600384,4400.0
3620864,4900.0
3640320,3980.0
3660800,5200.0
3680256,3660.0
3700736,860.0
3720192,4940.0
3740672,2200.0
3760128,5800.0
3780608,2240.0
3800064,4220.0
3820544,4200.0
3840000,4080.0
3860480,2900.0
3880960,3540.0
3900416,6080.0
3920896,4260.0
3940352,3640.0
3960832,4360.0
3980288,3640.0
4000768,4180.0
4020224,4920.0
4040704,5280.0
4060160,5140.0
4080640,3620.0
4100096,4460.0
4120576,4300.0
4140032,4420.0
4160512,5100.0
4180992,4340.0
4200448,4320.0
4220928,3740.0
4240384,5660.0
4260864,3380.0
4280320,3600.0
4300800,4620.0
4320256,3500.0
4340736,4280.0
4360192,1440.0
4380672,5120.0
4400128,4240.0
4420608,5120.0
4440064,3640.0
4460544,5400.0
4480000,3060.0
4500480,3720.0
4520960,3920.0
4540416,4480.0
4560896,5080.0
4580352,5860.0
4600832,5740.0
4620288,5080.0
4640768,4300.0
4660224,4840.0
4680704,4300.0
4700160,2880.0
4720640,4880.0
4740096,4400.0
4760576,4340.0
4780032,3800.0
4800512,5080.0
4820992,5060.0
4840448,5240.0
4860928,4220.0
4880384,6600.0
4900864,4620.0
4920320,3600.0
4940800,5020.0
4960256,3620.0
4980736,5020.0
5000192,4480.0
