Step,Value
20480,23262.400390625
40960,24316.400390625
60416,43351.6015625
80896,15033.599609375
100352,45519.6015625
120832,36256.80078125
140288,46683.0
160768,35993.3984375
180224,20256.19921875
200704,12363.400390625
220160,46713.0
240640,78157.203125
260096,48495.3984375
280576,69901.3984375
300032,32470.80078125
320512,74955.0
340992,125500.203125
360448,25904.19921875
380928,40104.19921875
400384,67663.6015625
420864,25434.0
440320,33843.80078125
460800,54086.0
480256,29165.19921875
500736,16912.400390625
520192,46172.3984375
540672,41032.6015625
560128,38286.19921875
580608,33792.0
600064,50329.19921875
620544,14301.0
640000,25077.400390625
660480,19350.400390625
680960,29624.0
700416,42988.3984375
720896,36656.3984375
740352,13387.400390625
760832,27814.599609375
780288,15703.2001953125
800768,22259.19921875
820224,15550.0
840704,49140.19921875
860160,35521.19921875
880640,21054.400390625
900096,41464.3984375
920576,22681.400390625
940032,37329.80078125
960512,118237.3984375
980992,39928.19921875
1000448,48822.19921875
1020928,11449.400390625
1040384,28099.80078125
1060864,25978.599609375
1080320,46818.6015625
1100800,28537.19921875
1120256,23834.80078125
1140736,13487.599609375
1160192,19965.19921875
1180672,39139.80078125
1200128,16478.400390625
1220608,27240.19921875
1240064,25227.0
1260544,23591.599609375
1280000,19120.0
1300480,29961.19921875
1320960,30919.400390625
1340416,20833.400390625
1360896,15375.2001953125
1380352,20089.19921875
1400832,52408.6015625
1420288,23383.400390625
1440768,16034.400390625
1460224,14346.7998046875
1480704,19817.599609375
1500160,20974.19921875
1520640,14310.7998046875
1540096,25200.599609375
1560576,16546.400390625
1580032,27857.80078125
1600512,61396.6015625
1620992,26138.599609375
1640448,16146.2001953125
1660928,21626.0
1680384,31065.19921875
1700864,11664.400390625
1720320,32019.599609375
1740800,39218.3984375
1760256,26251.19921875
1780736,14942.0
1800192,24498.80078125
1820672,12966.599609375
1840128,62499.19921875
1860608,32201.0
1880064,21212.80078125
1900544,69999.203125
1920000,24414.0
1940480,47334.80078125
1960960,22134.0
1980416,23320.80078125
2000896,19335.80078125
2020352,28402.400390625
2040832,42807.80078125
2060288,19158.19921875
2080768,25350.80078125
2100224,38956.6015625
2120704,33016.0
2140160,15813.2001953125
2160640,42698.19921875
2180096,30683.599609375
2200576,16794.400390625
2220032,30638.19921875
2240512,31842.599609375
2260992,18728.0
2280448,39817.19921875
2300928,44713.3984375
2320384,31367.0
2340864,22572.599609375
2360320,42861.0
2380800,36085.0
2400256,59196.0
2420736,48344.3984375
2440192,63820.19921875
2460672,12865.2001953125
2480128,44898.80078125
2500608,18766.599609375
2520064,54404.80078125
2540544,20654.599609375
2560000,36740.6015625
2580480,56132.6015625
2600960,20292.0
2620416,17811.400390625
2640896,25186.400390625
2660352,12204.7998046875
2680832,32244.19921875
2700288,24894.0
2720768,43775.80078125
2740224,30597.80078125
2760704,26879.80078125
2780160,16147.599609375
2800640,36883.0
2820096,28023.19921875
2840576,13603.599609375
2860032,27736.80078125
2880512,26615.599609375
2900992,18451.400390625
2920448,23957.0
2940928,32861.19921875
2960384,25476.19921875
2980864,49095.3984375
3000320,11591.0
3020800,49527.3984375
3040256,77894.0
3060736,35303.3984375
3080192,27925.19921875
3100672,24444.400390625
3120128,22260.80078125
3140608,50934.3984375
3160064,24203.0
3180544,27567.19921875
3200000,27038.599609375
3220480,28859.19921875
3240960,44534.0
3260416,11384.599609375
3280896,29701.0
3300352,27252.80078125
3320832,19219.0
3340288,25077.19921875
3360768,28090.0
3380224,25217.599609375
3400704,19762.19921875
3420160,40844.3984375
3440640,10829.2001953125
3460096,27945.0
3480576,35354.80078125
3500032,27799.400390625
3520512,9986.400390625
3540992,22435.19921875
3560448,19818.19921875
3580928,16544.400390625
3600384,21953.0
3620864,45995.19921875
3640320,18774.19921875
3660800,34966.80078125
3680256,41185.0
3700736,19849.599609375
3720192,16008.2001953125
3740672,19748.599609375
3760128,61770.3984375
3780608,21875.80078125
3800064,62108.80078125
3820544,21747.0
3840000,26839.0
3860480,25452.19921875
3880960,33255.80078125
3900416,17565.19921875
3920896,14480.599609375
3940352,29438.19921875
3960832,32682.599609375
3980288,53366.3984375
4000768,37847.3984375
4020224,20900.19921875
4040704,22358.0
4060160,31338.599609375
4080640,36005.6015625
4100096,41885.80078125
4120576,41563.3984375
4140032,29918.0
4160512,36174.3984375
4180992,33250.80078125
4200448,26838.80078125
4220928,37402.0
4240384,42896.80078125
4260864,29389.599609375
4280320,27173.19921875
4300800,27532.80078125
4320256,31863.400390625
4340736,23068.599609375
4360192,28499.400390625
4380672,31982.80078125
4400128,27142.19921875
4420608,18703.19921875
4440064,33081.3984375
4460544,12864.2001953125
4480000,20949.80078125
4500480,20905.0
4520960,42018.0
4540416,50383.6015625
4560896,17367.0
4580352,18295.400390625
4600832,29912.19921875
4620288,21972.400390625
4640768,14510.0
4660224,14684.7998046875
4680704,24249.80078125
4700160,21270.400390625
4720640,13009.7998046875
4740096,44034.80078125
4760576,30954.19921875
4780032,23433.80078125
4800512,21115.599609375
4820992,22154.0
4840448,45273.0
4860928,26072.19921875
4880384,17907.0
4900864,19950.0
4920320,27006.400390625
4940800,12600.2001953125
4960256,36205.3984375
4980736,8701.400390625
5000192,61238.3984375
