Step,Value
20480,600.0
40960,1160.0
60416,260.0
80896,940.0
100352,860.0
120832,1100.0
140288,1100.0
160768,1040.0
180224,660.0
200704,700.0
220160,380.0
240640,780.0
260096,1320.0
280576,1000.0
300032,440.0
320512,460.0
340992,1100.0
360448,1260.0
380928,1040.0
400384,600.0
420864,560.0
440320,740.0
460800,240.0
480256,2300.0
500736,940.0
520192,560.0
540672,1100.0
560128,1340.0
580608,580.0
600064,1100.0
620544,780.0
640000,900.0
660480,820.0
680960,720.0
700416,580.0
720896,680.0
740352,680.0
760832,1140.0
780288,720.0
800768,920.0
820224,1460.0
840704,820.0
860160,1580.0
880640,840.0
900096,960.0
920576,880.0
940032,1040.0
960512,1380.0
980992,560.0
1000448,1580.0
1020928,1120.0
1040384,1060.0
1060864,1240.0
1080320,920.0
1100800,1240.0
1120256,1240.0
1140736,1340.0
1160192,1520.0
1180672,1300.0
1200128,1480.0
1220608,1760.0
1240064,1480.0
1260544,1100.0
1280000,1640.0
1300480,1940.0
1320960,1220.0
1340416,1040.0
1360896,1480.0
1380352,1400.0
1400832,1080.0
1420288,960.0
1440768,1500.0
1460224,1420.0
1480704,1860.0
1500160,840.0
1520640,1060.0
1540096,1840.0
1560576,1100.0
1580032,1800.0
1600512,1200.0
1620992,1620.0
1640448,1740.0
1660928,1160.0
1680384,2860.0
1700864,1100.0
1720320,1520.0
1740800,1560.0
1760256,1060.0
1780736,1540.0
1800192,2000.0
1820672,1300.0
1840128,1220.0
1860608,1520.0
1880064,1380.0
1900544,1880.0
1920000,1660.0
1940480,1480.0
1960960,1980.0
1980416,1820.0
2000896,1380.0
2020352,1920.0
2040832,1540.0
2060288,1560.0
2080768,2520.0
2100224,1480.0
2120704,3140.0
2140160,1500.0
2160640,1620.0
2180096,1740.0
2200576,1220.0
2220032,2140.0
2240512,1200.0
2260992,3260.0
2280448,1740.0
2300928,1960.0
2320384,2360.0
2340864,2620.0
2360320,1880.0
2380800,1780.0
2400256,2080.0
2420736,2120.0
2440192,2680.0
2460672,1900.0
2480128,3160.0
2500608,1480.0
2520064,2220.0
2540544,1880.0
2560000,2900.0
2580480,1520.0
2600960,1820.0
2620416,1600.0
2640896,2500.0
2660352,1580.0
2680832,1760.0
2700288,1600.0
2720768,2060.0
2740224,3660.0
2760704,1460.0
2780160,3200.0
2800640,2020.0
2820096,2000.0
2840576,2300.0
2860032,1260.0
2880512,1240.0
2900992,2200.0
2920448,2800.0
2940928,3420.0
2960384,2260.0
2980864,2120.0
3000320,1960.0
3020800,1820.0
3040256,1900.0
3060736,2060.0
3080192,1600.0
3100672,2120.0
3120128,1440.0
3140608,1940.0
3160064,2200.0
3180544,2020.0
3200000,1660.0
3220480,2080.0
3240960,1500.0
3260416,2620.0
3280896,2080.0
3300352,1800.0
3320832,2760.0
3340288,2100.0
3360768,1840.0
3380224,2340.0
3400704,2020.0
3420160,2140.0
3440640,1660.0
3460096,2040.0
3480576,1860.0
3500032,2720.0
3520512,2680.0
3540992,2880.0
3560448,2620.0
3580928,2340.0
3600384,2260.0
3620864,1780.0
3640320,1920.0
3660800,1940.0
3680256,2600.0
3700736,1820.0
3720192,1820.0
3740672,3380.0
3760128,2180.0
3780608,2420.0
3800064,1900.0
3820544,2120.0
3840000,1920.0
3860480,2320.0
3880960,3140.0
3900416,3180.0
3920896,2980.0
3940352,3700.0
3960832,2580.0
3980288,3660.0
4000768,2140.0
4020224,2420.0
4040704,3700.0
4060160,2520.0
4080640,1920.0
4100096,2140.0
4120576,1820.0
4140032,3060.0
4160512,2760.0
4180992,1580.0
4200448,2460.0
4220928,2640.0
4240384,3900.0
4260864,2040.0
4280320,2880.0
4300800,2720.0
4320256,2400.0
4340736,6100.0
4360192,3140.0
4380672,1460.0
4400128,2160.0
4420608,3780.0
4440064,3060.0
4460544,2260.0
4480000,2440.0
4500480,1520.0
4520960,1780.0
4540416,2900.0
4560896,2820.0
4580352,3040.0
4600832,2900.0
4620288,2900.0
4640768,2320.0
4660224,2900.0
4680704,2140.0
4700160,3340.0
4720640,2880.0
4740096,1820.0
4760576,3120.0
4780032,1840.0
4800512,4340.0
4820992,2520.0
4840448,3240.0
4860928,1620.0
4880384,4580.0
4900864,3200.0
4920320,3100.0
4940800,2700.0
4960256,3060.0
4980736,2580.0
5000192,2740.0
