Step,Value
20480,0.0
40960,580.0
60416,160.0
80896,40.0
100352,80.0
120832,600.0
140288,340.0
160768,740.0
180224,440.0
200704,640.0
220160,320.0
240640,940.0
260096,740.0
280576,40.0
300032,640.0
320512,840.0
340992,640.0
360448,820.0
380928,280.0
400384,360.0
420864,480.0
440320,560.0
460800,160.0
480256,160.0
500736,360.0
520192,960.0
540672,200.0
560128,1160.0
580608,680.0
600064,380.0
620544,160.0
640000,800.0
660480,760.0
680960,1280.0
700416,680.0
720896,1000.0
740352,880.0
760832,1640.0
780288,1520.0
800768,640.0
820224,1060.0
840704,1220.0
860160,2560.0
880640,1340.0
900096,1180.0
920576,920.0
940032,2380.0
960512,420.0
980992,1340.0
1000448,1780.0
1020928,1900.0
1040384,3060.0
1060864,1320.0
1080320,2060.0
1100800,2560.0
1120256,2920.0
1140736,2240.0
1160192,2620.0
1180672,3260.0
1200128,3120.0
1220608,1840.0
1240064,1080.0
1260544,0.0
1280000,0.0
1300480,0.0
1320960,0.0
1340416,0.0
1360896,0.0
1380352,0.0
1400832,0.0
1420288,0.0
1440768,0.0
1460224,0.0
1480704,0.0
1500160,0.0
1520640,0.0
1540096,0.0
1560576,0.0
1580032,0.0
1600512,0.0
1620992,0.0
1640448,0.0
1660928,0.0
1680384,0.0
1700864,0.0
1720320,0.0
1740800,0.0
1760256,0.0
1780736,0.0
1800192,0.0
1820672,0.0
1840128,0.0
1860608,0.0
1880064,0.0
1900544,0.0
1920000,0.0
1940480,0.0
1960960,0.0
1980416,0.0
2000896,0.0
2020352,0.0
2040832,0.0
2060288,0.0
2080768,0.0
2100224,0.0
2120704,0.0
2140160,0.0
2160640,0.0
2180096,0.0
2200576,0.0
2220032,0.0
2240512,0.0
2260992,0.0
2280448,0.0
2300928,0.0
2320384,0.0
2340864,0.0
2360320,0.0
2380800,0.0
2400256,0.0
2420736,0.0
2440192,0.0
2460672,0.0
2480128,0.0
2500608,0.0
2520064,0.0
2540544,0.0
2560000,0.0
2580480,0.0
2600960,0.0
2620416,0.0
2640896,0.0
2660352,0.0
2680832,0.0
2700288,80.0
2720768,560.0
2740224,140.0
2760704,400.0
2780160,660.0
2800640,540.0
2820096,540.0
2840576,620.0
2860032,620.0
2880512,140.0
2900992,120.0
2920448,0.0
2940928,400.0
2960384,0.0
2980864,200.0
3000320,560.0
3020800,0.0
3040256,0.0
3060736,0.0
3080192,200.0
3100672,600.0
3120128,940.0
3140608,1460.0
3160064,660.0
3180544,1100.0
3200000,1560.0
3220480,1300.0
3240960,1520.0
3260416,1200.0
3280896,1960.0
3300352,780.0
3320832,1220.0
3340288,1000.0
3360768,1200.0
3380224,1280.0
3400704,1020.0
3420160,1520.0
3440640,1080.0
3460096,700.0
3480576,2060.0
3500032,3480.0
3520512,1420.0
3540992,1920.0
3560448,1260.0
3580928,2740.0
3600384,2200.0
3620864,1840.0
3640320,2260.0
3660800,3060.0
3680256,3080.0
3700736,3740.0
3720192,4000.0
3740672,3340.0
3760128,2600.0
3780608,3200.0
3800064,3520.0
3820544,2200.0
3840000,3600.0
3860480,3800.0
3880960,3500.0
3900416,3460.0
3920896,3040.0
3940352,4260.0
3960832,2840.0
3980288,3940.0
4000768,4120.0
4020224,4440.0
4040704,2660.0
4060160,4280.0
4080640,3760.0
4100096,2860.0
4120576,3760.0
4140032,5480.0
4160512,4140.0
4180992,4460.0
4200448,5800.0
4220928,4000.0
4240384,4420.0
4260864,2660.0
4280320,3420.0
4300800,4940.0
4320256,4360.0
4340736,5040.0
4360192,5560.0
4380672,4520.0
4400128,4460.0
4420608,4500.0
4440064,4640.0
4460544,3840.0
4480000,4760.0
4500480,3920.0
4520960,4100.0
4540416,3900.0
4560896,4480.0
4580352,4640.0
4600832,3740.0
4620288,3980.0
4640768,4600.0
4660224,3680.0
4680704,4020.0
4700160,4620.0
4720640,4360.0
4740096,4940.0
4760576,5460.0
4780032,3880.0
4800512,4500.0
4820992,4040.0
4840448,3520.0
4860928,3840.0
4880384,4420.0
4900864,4780.0
4920320,4180.0
4940800,4640.0
4960256,5600.0
4980736,4660.0
5000192,5920.0
