Step,Value
20480,224.0
40960,248.0
60416,286.0
80896,266.0
100352,328.0
120832,286.0
140288,332.0
160768,248.0
180224,272.0
200704,264.0
220160,244.0
240640,220.0
260096,284.0
280576,296.0
300032,290.0
320512,296.0
340992,422.0
360448,276.0
380928,284.0
400384,276.0
420864,336.0
440320,304.0
460800,300.0
480256,298.0
500736,434.0
520192,362.0
540672,424.0
560128,348.0
580608,282.0
600064,326.0
620544,318.0
640000,354.0
660480,330.0
680960,400.0
700416,362.0
720896,396.0
740352,390.0
760832,490.0
780288,340.0
800768,490.0
820224,330.0
840704,412.0
860160,370.0
880640,510.0
900096,386.0
920576,374.0
940032,416.0
960512,524.0
980992,408.0
1000448,454.0
1020928,388.0
1040384,390.0
1060864,614.0
1080320,408.0
1100800,446.0
1120256,644.0
1140736,454.0
1160192,502.0
1180672,606.0
1200128,744.0
1220608,422.0
1240064,620.0
1260544,436.0
1280000,774.0
1300480,558.0
1320960,650.0
1340416,636.0
1360896,612.0
1380352,608.0
1400832,864.0
1420288,566.0
1440768,460.0
1460224,450.0
1480704,430.0
1500160,576.0
1520640,640.0
1540096,646.0
1560576,630.0
1580032,596.0
1600512,570.0
1620992,488.0
1640448,584.0
1660928,580.0
1680384,564.0
1700864,590.0
1720320,592.0
1740800,676.0
1760256,560.0
1780736,698.0
1800192,820.0
1820672,962.0
1840128,638.0
1860608,754.0
1880064,622.0
1900544,594.0
1920000,710.0
1940480,558.0
1960960,762.0
1980416,658.0
2000896,882.0
2020352,632.0
2040832,646.0
2060288,902.0
2080768,802.0
2100224,670.0
2120704,832.0
2140160,960.0
2160640,726.0
2180096,770.0
2200576,776.0
2220032,546.0
2240512,784.0
2260992,638.0
2280448,816.0
2300928,1004.0
2320384,700.0
2340864,790.0
2360320,716.0
2380800,780.0
2400256,796.0
2420736,720.0
2440192,642.0
2460672,878.0
2480128,662.0
2500608,702.0
2520064,730.0
2540544,706.0
2560000,646.0
2580480,1148.0
2600960,746.0
2620416,878.0
2640896,776.0
2660352,712.0
2680832,912.0
2700288,762.0
2720768,714.0
2740224,682.0
2760704,672.0
2780160,784.0
2800640,798.0
2820096,832.0
2840576,874.0
2860032,794.0
2880512,862.0
2900992,800.0
2920448,806.0
2940928,1034.0
2960384,956.0
2980864,724.0
3000320,806.0
3020800,930.0
3040256,808.0
3060736,684.0
3080192,928.0
3100672,690.0
3120128,982.0
3140608,824.0
3160064,782.0
3180544,674.0
3200000,850.0
3220480,946.0
3240960,886.0
3260416,704.0
3280896,900.0
3300352,716.0
3320832,864.0
3340288,694.0
3360768,916.0
3380224,762.0
3400704,868.0
3420160,896.0
3440640,694.0
3460096,838.0
3480576,952.0
3500032,912.0
3520512,760.0
3540992,800.0
3560448,784.0
3580928,1276.0
3600384,952.0
3620864,762.0
3640320,748.0
3660800,734.0
3680256,726.0
3700736,856.0
3720192,820.0
3740672,934.0
3760128,1150.0
3780608,750.0
3800064,826.0
3820544,878.0
3840000,930.0
3860480,868.0
3880960,1030.0
3900416,946.0
3920896,946.0
3940352,994.0
3960832,994.0
3980288,754.0
4000768,762.0
4020224,850.0
4040704,1008.0
4060160,994.0
4080640,876.0
4100096,1016.0
4120576,802.0
4140032,1034.0
4160512,866.0
4180992,888.0
4200448,742.0
4220928,904.0
4240384,738.0
4260864,992.0
4280320,886.0
4300800,904.0
4320256,942.0
4340736,816.0
4360192,764.0
4380672,764.0
4400128,846.0
4420608,976.0
4440064,872.0
4460544,1074.0
4480000,906.0
4500480,956.0
4520960,1068.0
4540416,964.0
4560896,1064.0
4580352,890.0
4600832,950.0
4620288,750.0
4640768,800.0
4660224,856.0
4680704,880.0
4700160,782.0
4720640,966.0
4740096,792.0
4760576,1110.0
4780032,834.0
4800512,702.0
4820992,1014.0
4840448,890.0
4860928,772.0
4880384,1076.0
4900864,950.0
4920320,746.0
4940800,952.0
4960256,840.0
4980736,982.0
5000192,1074.0
