Step,Value
20480,796.0
40960,1684.0
60416,1090.0
80896,1616.0
100352,1702.0
120832,1092.0
140288,1438.0
160768,1052.0
180224,1154.0
200704,1400.0
220160,1150.0
240640,1062.0
260096,1808.0
280576,1138.0
300032,1208.0
320512,1204.0
340992,1556.0
360448,1418.0
380928,1392.0
400384,1248.0
420864,1236.0
440320,1158.0
460800,1290.0
480256,980.0
500736,1184.0
520192,1582.0
540672,1474.0
560128,1450.0
580608,1472.0
600064,1648.0
620544,1344.0
640000,1366.0
660480,1592.0
680960,1322.0
700416,1170.0
720896,1326.0
740352,1308.0
760832,1474.0
780288,1316.0
800768,1422.0
820224,1318.0
840704,928.0
860160,1678.0
880640,1442.0
900096,1398.0
920576,1816.0
940032,1248.0
960512,1780.0
980992,1532.0
1000448,1644.0
1020928,1526.0
1040384,1196.0
1060864,1608.0
1080320,1610.0
1100800,1922.0
1120256,1352.0
1140736,1330.0
1160192,1220.0
1180672,1328.0
1200128,1208.0
1220608,1190.0
1240064,1352.0
1260544,868.0
1280000,1264.0
1300480,1174.0
1320960,1582.0
1340416,1298.0
1360896,1286.0
1380352,920.0
1400832,1438.0
1420288,1252.0
1440768,1754.0
1460224,1540.0
1480704,1104.0
1500160,1246.0
1520640,1466.0
1540096,1374.0
1560576,1326.0
1580032,1342.0
1600512,1154.0
1620992,1474.0
1640448,1314.0
1660928,1618.0
1680384,1278.0
1700864,1158.0
1720320,1044.0
1740800,1286.0
1760256,1578.0
1780736,1200.0
1800192,1110.0
1820672,1444.0
1840128,1350.0
1860608,1676.0
1880064,1524.0
1900544,1324.0
1920000,1642.0
1940480,1612.0
1960960,1448.0
1980416,1474.0
2000896,1412.0
2020352,1368.0
2040832,1214.0
2060288,1586.0
2080768,1210.0
2100224,1748.0
2120704,1388.0
2140160,1572.0
2160640,1318.0
2180096,1426.0
2200576,1236.0
2220032,1196.0
2240512,1416.0
2260992,1326.0
2280448,1364.0
2300928,1394.0
2320384,1830.0
2340864,1260.0
2360320,1694.0
2380800,1722.0
2400256,2134.0
2420736,1368.0
2440192,1250.0
2460672,1946.0
2480128,1396.0
2500608,1698.0
2520064,1694.0
2540544,1508.0
2560000,1958.0
2580480,1744.0
2600960,1270.0
2620416,1286.0
2640896,1878.0
2660352,1568.0
2680832,1410.0
2700288,1822.0
2720768,1210.0
2740224,1586.0
2760704,1970.0
2780160,1256.0
2800640,1740.0
2820096,1368.0
2840576,1956.0
2860032,1386.0
2880512,1952.0
2900992,2080.0
2920448,1460.0
2940928,1630.0
2960384,1580.0
2980864,1364.0
3000320,1414.0
3020800,2012.0
3040256,2042.0
3060736,1608.0
3080192,1468.0
3100672,1454.0
3120128,1798.0
3140608,1146.0
3160064,1474.0
3180544,1346.0
3200000,1650.0
3220480,1552.0
3240960,1718.0
3260416,1506.0
3280896,1806.0
3300352,2126.0
3320832,1880.0
3340288,1854.0
3360768,1444.0
3380224,1566.0
3400704,1238.0
3420160,1426.0
3440640,1284.0
3460096,1478.0
3480576,1912.0
3500032,1510.0
3520512,1778.0
3540992,1456.0
3560448,1712.0
3580928,1340.0
3600384,1464.0
3620864,1108.0
3640320,1908.0
3660800,1250.0
3680256,1390.0
3700736,1394.0
3720192,1568.0
3740672,1294.0
3760128,1244.0
3780608,1738.0
3800064,1568.0
3820544,1360.0
3840000,1904.0
3860480,1712.0
3880960,1840.0
3900416,1140.0
3920896,1772.0
3940352,1484.0
3960832,1478.0
3980288,1676.0
4000768,1792.0
4020224,1524.0
4040704,1336.0
4060160,1502.0
4080640,1988.0
4100096,1774.0
4120576,1752.0
4140032,1946.0
4160512,1302.0
4180992,1580.0
4200448,1620.0
4220928,1558.0
4240384,1640.0
4260864,1738.0
4280320,1694.0
4300800,1294.0
4320256,1414.0
4340736,1598.0
4360192,1586.0
4380672,1452.0
4400128,2286.0
4420608,1568.0
4440064,1532.0
4460544,1654.0
4480000,1188.0
4500480,1684.0
4520960,1786.0
4540416,1738.0
4560896,1510.0
4580352,1290.0
4600832,1506.0
4620288,1466.0
4640768,1318.0
4660224,1234.0
4680704,1730.0
4700160,2004.0
4720640,1446.0
4740096,1974.0
4760576,1458.0
4780032,1380.0
4800512,1644.0
4820992,2308.0
4840448,1042.0
4860928,1402.0
4880384,1510.0
4900864,1496.0
4920320,1360.0
4940800,1602.0
4960256,1590.0
4980736,2072.0
5000192,1700.0
