Step,Value
20480,22840.0
40960,21960.0
60416,16360.0
80896,18560.0
100352,20520.0
120832,25160.0
140288,21560.0
160768,21380.0
180224,18220.0
200704,21940.0
220160,24520.0
240640,24880.0
260096,23640.0
280576,19140.0
300032,25460.0
320512,36460.0
340992,27200.0
360448,28480.0
380928,24060.0
400384,38580.0
420864,32820.0
440320,48460.0
460800,34860.0
480256,45780.0
500736,45740.0
520192,35120.0
540672,39180.0
560128,41520.0
580608,37360.0
600064,43780.0
620544,58460.0
640000,58240.0
660480,58540.0
680960,56740.0
700416,69680.0
720896,60440.0
740352,60160.0
760832,59620.0
780288,77500.0
800768,78760.0
820224,84060.0
840704,78140.0
860160,64260.0
880640,78920.0
900096,81100.0
920576,89880.0
940032,84720.0
960512,83000.0
980992,117460.0
1000448,112040.0
1020928,126900.0
1040384,133240.0
1060864,132780.0
1080320,114980.0
1100800,166380.0
1120256,167660.0
1140736,245260.0
1160192,139320.0
1180672,179660.0
1200128,168880.0
1220608,511820.0
1240064,142740.0
1260544,165460.0
1280000,417620.0
1300480,377960.0
1320960,1016500.0
1340416,1088100.0
1360896,2245760.0
1380352,1350720.0
1400832,2511200.0
1420288,1593900.0
1440768,3133300.0
1460224,2501220.0
1480704,3106740.0
1500160,2423460.0
1520640,1201880.0
1540096,1260120.0
1560576,2554280.0
1580032,2506980.0
1600512,2436780.0
1620992,2475300.0
1640448,2535340.0
1660928,3146260.0
1680384,2551280.0
1700864,1246100.0
1720320,1951480.0
1740800,3182640.0
1760256,2596460.0
1780736,1971040.0
1800192,2498580.0
1820672,3173240.0
1840128,1917760.0
1860608,2512920.0
1880064,2563460.0
1900544,3216300.0
1920000,3171800.0
1940480,3163880.0
1960960,1296280.0
1980416,3143300.0
2000896,3135040.0
2020352,1296780.0
2040832,1306120.0
2060288,2523140.0
2080768,2536880.0
2100224,29060.0
2120704,1249040.0
2140160,2509700.0
2160640,2450520.0
2180096,1844640.0
2200576,2482780.0
2220032,2486580.0
2240512,1889280.0
2260992,1880800.0
2280448,1875020.0
2300928,1243320.0
2320384,3149400.0
2340864,2494820.0
2360320,1253460.0
2380800,3052280.0
2400256,2465120.0
2420736,1862700.0
2440192,2458940.0
2460672,2475460.0
2480128,2991340.0
2500608,2404400.0
2520064,2449020.0
2540544,657760.0
2560000,1796900.0
2580480,1867900.0
2600960,3021160.0
2620416,1853960.0
2640896,614880.0
2660352,619480.0
2680832,629300.0
2700288,608420.0
2720768,2463680.0
2740224,1850440.0
2760704,1783580.0
2780160,1875620.0
2800640,1239120.0
2820096,2448780.0
2840576,2519880.0
2860032,2446560.0
2880512,1863720.0
2900992,1863960.0
2920448,3049420.0
2940928,2985680.0
2960384,3067080.0
2980864,3032640.0
3000320,2472520.0
3020800,2430700.0
3040256,1235820.0
3060736,2388060.0
3080192,2403560.0
3100672,1778140.0
3120128,2368420.0
3140608,1208300.0
3160064,2988340.0
3180544,2991180.0
3200000,1785080.0
3220480,631300.0
3240960,1197940.0
3260416,1808020.0
3280896,1812980.0
3300352,1207680.0
3320832,1762300.0
3340288,1201040.0
3360768,1768920.0
3380224,1806760.0
3400704,599940.0
3420160,2447880.0
3440640,1222500.0
3460096,1185620.0
3480576,1234600.0
3500032,623020.0
3520512,2398860.0
3540992,1189880.0
3560448,1226000.0
3580928,1233280.0
3600384,1835980.0
3620864,2451780.0
3640320,2452600.0
3660800,1817560.0
3680256,1792160.0
3700736,626020.0
3720192,3079760.0
3740672,2441540.0
3760128,2508760.0
3780608,2490920.0
3800064,3033900.0
3820544,1844600.0
3840000,2428280.0
3860480,3028140.0
3880960,2463880.0
3900416,3106340.0
3920896,2494200.0
3940352,3122540.0
3960832,3073640.0
3980288,3095640.0
4000768,1250940.0
4020224,1843980.0
4040704,1833360.0
4060160,3088000.0
4080640,1795200.0
4100096,2488960.0
4120576,3090940.0
4140032,1868600.0
4160512,2421880.0
4180992,2431140.0
4200448,3007420.0
4220928,1233320.0
4240384,2501680.0
4260864,2503240.0
4280320,2453460.0
4300800,614140.0
4320256,656540.0
4340736,1254020.0
4360192,3067760.0
4380672,1863400.0
4400128,2414420.0
4420608,1859780.0
4440064,2447800.0
4460544,2488680.0
4480000,2487800.0
4500480,2464900.0
4520960,1856380.0
4540416,2477380.0
4560896,2398620.0
4580352,2474320.0
4600832,2411620.0
4620288,3075220.0
4640768,2413880.0
4660224,2457640.0
4680704,3075220.0
4700160,3080220.0
4720640,3099660.0
4740096,3021820.0
4760576,2496020.0
4780032,2463840.0
4800512,3116820.0
4820992,3032360.0
4840448,2482100.0
4860928,3067640.0
4880384,3029340.0
4900864,3093060.0
4920320,3030840.0
4940800,2461920.0
4960256,3051360.0
4980736,3101900.0
5000192,1855140.0
