Step,Value
20480,10.0
40960,10.0
60416,14.0
80896,18.0
100352,6.0
120832,12.0
140288,12.0
160768,12.0
180224,8.0
200704,18.0
220160,14.0
240640,18.0
260096,22.0
280576,16.0
300032,18.0
320512,22.0
340992,22.0
360448,24.0
380928,38.0
400384,32.0
420864,38.0
440320,34.0
460800,34.0
480256,26.0
500736,36.0
520192,28.0
540672,22.0
560128,32.0
580608,34.0
600064,22.0
620544,30.0
640000,42.0
660480,30.0
680960,40.0
700416,42.0
720896,32.0
740352,36.0
760832,20.0
780288,34.0
800768,42.0
820224,34.0
840704,50.0
860160,30.0
880640,32.0
900096,44.0
920576,46.0
940032,36.0
960512,46.0
980992,38.0
1000448,42.0
1020928,46.0
1040384,44.0
1060864,62.0
1080320,42.0
1100800,32.0
1120256,32.0
1140736,44.0
1160192,44.0
1180672,42.0
1200128,34.0
1220608,62.0
1240064,52.0
1260544,48.0
1280000,54.0
1300480,34.0
1320960,46.0
1340416,46.0
1360896,50.0
1380352,58.0
1400832,72.0
1420288,44.0
1440768,50.0
1460224,70.0
1480704,50.0
1500160,78.0
1520640,64.0
1540096,92.0
1560576,76.0
1580032,102.0
1600512,100.0
1620992,126.0
1640448,88.0
1660928,88.0
1680384,120.0
1700864,118.0
1720320,94.0
1740800,116.0
1760256,100.0
1780736,140.0
1800192,124.0
1820672,116.0
1840128,108.0
1860608,116.0
1880064,132.0
1900544,130.0
1920000,130.0
1940480,138.0
1960960,110.0
1980416,128.0
2000896,134.0
2020352,118.0
2040832,136.0
2060288,142.0
2080768,96.0
2100224,130.0
2120704,128.0
2140160,132.0
2160640,146.0
2180096,156.0
2200576,126.0
2220032,162.0
2240512,130.0
2260992,150.0
2280448,152.0
2300928,170.0
2320384,154.0
2340864,140.0
2360320,184.0
2380800,166.0
2400256,202.0
2420736,218.0
2440192,200.0
2460672,222.0
2480128,234.0
2500608,232.0
2520064,202.0
2540544,242.0
2560000,230.0
2580480,242.0
2600960,264.0
2620416,216.0
2640896,226.0
2660352,240.0
2680832,226.0
2700288,228.0
2720768,236.0
2740224,228.0
2760704,208.0
2780160,246.0
2800640,242.0
2820096,264.0
2840576,240.0
2860032,208.0
2880512,252.0
2900992,258.0
2920448,276.0
2940928,248.0
2960384,260.0
2980864,246.0
3000320,252.0
3020800,234.0
3040256,254.0
3060736,262.0
3080192,244.0
3100672,266.0
3120128,252.0
3140608,272.0
3160064,252.0
3180544,294.0
3200000,256.0
3220480,242.0
3240960,256.0
3260416,260.0
3280896,256.0
3300352,274.0
3320832,238.0
3340288,284.0
3360768,252.0
3380224,248.0
3400704,272.0
3420160,238.0
3440640,262.0
3460096,256.0
3480576,270.0
3500032,264.0
3520512,248.0
3540992,246.0
3560448,260.0
3580928,248.0
3600384,276.0
3620864,278.0
3640320,266.0
3660800,244.0
3680256,254.0
3700736,256.0
3720192,278.0
3740672,304.0
3760128,272.0
3780608,282.0
3800064,256.0
3820544,290.0
3840000,270.0
3860480,294.0
3880960,256.0
3900416,298.0
3920896,256.0
3940352,292.0
3960832,280.0
3980288,278.0
4000768,278.0
4020224,298.0
4040704,284.0
4060160,286.0
4080640,272.0
4100096,296.0
4120576,300.0
4140032,294.0
4160512,300.0
4180992,280.0
4200448,302.0
4220928,288.0
4240384,298.0
4260864,304.0
4280320,282.0
4300800,294.0
4320256,284.0
4340736,292.0
4360192,290.0
4380672,282.0
4400128,290.0
4420608,288.0
4440064,280.0
4460544,280.0
4480000,300.0
4500480,276.0
4520960,294.0
4540416,302.0
4560896,292.0
4580352,304.0
4600832,294.0
4620288,314.0
4640768,298.0
4660224,280.0
4680704,282.0
4700160,302.0
4720640,326.0
4740096,284.0
4760576,318.0
4780032,288.0
4800512,318.0
4820992,320.0
4840448,326.0
4860928,310.0
4880384,316.0
4900864,314.0
4920320,314.0
4940800,328.0
4960256,296.0
4980736,322.0
5000192,306.0
