Step,Value
20480,6600.0
40960,5600.0
60416,3400.0
80896,5000.0
100352,3200.0
120832,2200.0
140288,9200.0
160768,3400.0
180224,5000.0
200704,6000.0
220160,6200.0
240640,4600.0
260096,3600.0
280576,2200.0
300032,2400.0
320512,8400.0
340992,7400.0
360448,7800.0
380928,4600.0
400384,3000.0
420864,6600.0
440320,4600.0
460800,3200.0
480256,4800.0
500736,800.0
520192,7000.0
540672,4400.0
560128,8200.0
580608,10200.0
600064,4600.0
620544,8600.0
640000,6000.0
660480,10400.0
680960,13200.0
700416,9000.0
720896,13000.0
740352,11200.0
760832,16800.0
780288,13600.0
800768,12200.0
820224,12400.0
840704,14000.0
860160,13400.0
880640,16800.0
900096,13200.0
920576,10000.0
940032,9400.0
960512,15800.0
980992,13400.0
1000448,15000.0
1020928,15800.0
1040384,14200.0
1060864,11200.0
1080320,15400.0
1100800,14200.0
1120256,14000.0
1140736,13600.0
1160192,13600.0
1180672,13400.0
1200128,11600.0
1220608,11800.0
1240064,13200.0
1260544,13200.0
1280000,14200.0
1300480,15000.0
1320960,17200.0
1340416,11200.0
1360896,14600.0
1380352,18000.0
1400832,23600.0
1420288,13000.0
1440768,12400.0
1460224,17400.0
1480704,17000.0
1500160,17600.0
1520640,15000.0
1540096,15400.0
1560576,14600.0
1580032,16200.0
1600512,15800.0
1620992,14000.0
1640448,16000.0
1660928,14800.0
1680384,13400.0
1700864,18200.0
1720320,18000.0
1740800,17200.0
1760256,16600.0
1780736,17400.0
1800192,16200.0
1820672,13600.0
1840128,18400.0
1860608,19200.0
1880064,20200.0
1900544,14600.0
1920000,17200.0
1940480,15600.0
1960960,14600.0
1980416,14200.0
2000896,13600.0
2020352,17200.0
2040832,16200.0
2060288,14800.0
2080768,17400.0
2100224,18600.0
2120704,17600.0
2140160,16600.0
2160640,17400.0
2180096,13000.0
2200576,16600.0
2220032,20000.0
2240512,17400.0
2260992,19600.0
2280448,16200.0
2300928,20400.0
2320384,21800.0
2340864,16000.0
2360320,22000.0
2380800,17000.0
2400256,19600.0
2420736,17600.0
2440192,15400.0
2460672,18400.0
2480128,18600.0
2500608,22600.0
2520064,18600.0
2540544,14600.0
2560000,18600.0
2580480,19800.0
2600960,17000.0
2620416,16600.0
2640896,16200.0
2660352,23400.0
2680832,19800.0
2700288,15200.0
2720768,17800.0
2740224,18400.0
2760704,19400.0
2780160,18600.0
2800640,22600.0
2820096,21200.0
2840576,16800.0
2860032,19400.0
2880512,14400.0
2900992,13000.0
2920448,15400.0
2940928,18200.0
2960384,17400.0
2980864,13400.0
3000320,25200.0
3020800,12400.0
3040256,20000.0
3060736,15200.0
3080192,13400.0
3100672,14600.0
3120128,17400.0
3140608,17000.0
3160064,17800.0
3180544,19600.0
3200000,18400.0
3220480,20200.0
3240960,20400.0
3260416,13400.0
3280896,15000.0
3300352,17200.0
3320832,14800.0
3340288,21600.0
3360768,15200.0
3380224,17800.0
3400704,18800.0
3420160,18400.0
3440640,14200.0
3460096,14400.0
3480576,18000.0
3500032,18800.0
3520512,19200.0
3540992,18800.0
3560448,20000.0
3580928,17600.0
3600384,14800.0
3620864,19600.0
3640320,21200.0
3660800,19200.0
3680256,16600.0
3700736,18200.0
3720192,26000.0
3740672,14600.0
3760128,21400.0
3780608,18000.0
3800064,17000.0
3820544,16800.0
3840000,15600.0
3860480,21000.0
3880960,14400.0
3900416,14600.0
3920896,16200.0
3940352,16600.0
3960832,13800.0
3980288,21200.0
4000768,19200.0
4020224,18000.0
4040704,15200.0
4060160,17200.0
4080640,17200.0
4100096,13000.0
4120576,19000.0
4140032,16600.0
4160512,19200.0
4180992,21000.0
4200448,20200.0
4220928,19200.0
4240384,14400.0
4260864,17400.0
4280320,19000.0
4300800,19600.0
4320256,17400.0
4340736,14600.0
4360192,17800.0
4380672,15200.0
4400128,16000.0
4420608,17600.0
4440064,15200.0
4460544,16600.0
4480000,16000.0
4500480,16000.0
4520960,18400.0
4540416,17600.0
4560896,22600.0
4580352,15200.0
4600832,17400.0
4620288,20400.0
4640768,18000.0
4660224,17200.0
4680704,20800.0
4700160,19600.0
4720640,16400.0
4740096,19600.0
4760576,18200.0
4780032,16800.0
4800512,15000.0
4820992,17600.0
4840448,22200.0
4860928,17600.0
4880384,13600.0
4900864,18800.0
4920320,17400.0
4940800,14000.0
4960256,17800.0
4980736,17000.0
5000192,17200.0
