Step,Value
20480,2423.800048828125
40960,2474.0
60416,991.7999877929688
80896,2110.0
100352,2947.199951171875
120832,3258.60009765625
140288,2554.60009765625
160768,2811.39990234375
180224,2683.199951171875
200704,2875.199951171875
220160,2314.199951171875
240640,3393.60009765625
260096,2106.0
280576,2781.60009765625
300032,2776.800048828125
320512,4232.39990234375
340992,2217.0
360448,2939.199951171875
380928,1796.800048828125
400384,2842.0
420864,2823.0
440320,2722.800048828125
460800,2256.39990234375
480256,3672.199951171875
500736,2904.39990234375
520192,3501.800048828125
540672,1795.800048828125
560128,2664.39990234375
580608,1361.0
600064,2329.0
620544,2968.800048828125
640000,2652.0
660480,2854.199951171875
680960,2241.199951171875
700416,3674.800048828125
720896,1733.199951171875
740352,3450.60009765625
760832,3207.39990234375
780288,2359.39990234375
800768,3434.800048828125
820224,2250.199951171875
840704,2267.39990234375
860160,2221.800048828125
880640,2140.0
900096,3013.0
920576,1905.4000244140625
940032,2558.0
960512,3331.800048828125
980992,2356.800048828125
1000448,4039.199951171875
1020928,3157.800048828125
1040384,1922.800048828125
1060864,2594.39990234375
1080320,2318.39990234375
1100800,1968.800048828125
1120256,2272.0
1140736,2555.800048828125
1160192,2236.60009765625
1180672,2005.800048828125
1200128,2801.39990234375
1220608,2150.0
1240064,2531.39990234375
1260544,1720.4000244140625
1280000,2231.800048828125
1300480,3419.60009765625
1320960,2618.0
1340416,2657.800048828125
1360896,3279.800048828125
1380352,2586.800048828125
1400832,4252.39990234375
1420288,2810.60009765625
1440768,2910.60009765625
1460224,2104.199951171875
1480704,2702.60009765625
1500160,3002.199951171875
1520640,1786.199951171875
1540096,1536.800048828125
1560576,2618.60009765625
1580032,2046.5999755859375
1600512,3285.800048828125
1620992,4094.39990234375
1640448,2533.60009765625
1660928,2383.0
1680384,2256.0
1700864,2374.0
1720320,2495.60009765625
1740800,1969.800048828125
1760256,3294.0
1780736,1918.199951171875
1800192,1750.4000244140625
1820672,4369.0
1840128,2204.199951171875
1860608,4707.60009765625
1880064,2226.39990234375
1900544,3628.199951171875
1920000,3255.60009765625
1940480,2415.800048828125
1960960,2726.39990234375
1980416,2971.0
2000896,2340.60009765625
2020352,3199.0
2040832,2315.199951171875
2060288,2190.800048828125
2080768,1973.5999755859375
2100224,5959.7998046875
2120704,2674.0
2140160,3752.199951171875
2160640,3104.800048828125
2180096,3109.0
2200576,4034.199951171875
2220032,3122.800048828125
2240512,2451.199951171875
2260992,2902.39990234375
2280448,6271.0
2300928,2827.800048828125
2320384,2094.60009765625
2340864,3612.39990234375
2360320,3368.39990234375
2380800,2922.800048828125
2400256,4261.39990234375
2420736,2993.199951171875
2440192,3054.800048828125
2460672,5157.2001953125
2480128,4733.7998046875
2500608,3386.60009765625
2520064,1957.0
2540544,3177.39990234375
2560000,3326.199951171875
2580480,4224.2001953125
2600960,2979.199951171875
2620416,2525.199951171875
