Step,Value
20480,640.0
40960,900.0
60416,1060.0
80896,880.0
100352,980.0
120832,460.0
140288,160.0
160768,140.0
180224,100.0
200704,240.0
220160,220.0
240640,380.0
260096,300.0
280576,220.0
300032,480.0
320512,280.0
340992,140.0
360448,300.0
380928,500.0
400384,340.0
420864,240.0
440320,360.0
460800,940.0
480256,1140.0
500736,540.0
520192,780.0
540672,700.0
560128,800.0
580608,880.0
600064,760.0
620544,840.0
640000,800.0
660480,560.0
680960,760.0
700416,740.0
720896,740.0
740352,720.0
760832,1100.0
780288,860.0
800768,800.0
820224,900.0
840704,860.0
860160,900.0
880640,1020.0
900096,840.0
920576,540.0
940032,480.0
960512,800.0
980992,660.0
1000448,820.0
1020928,740.0
1040384,820.0
1060864,940.0
1080320,940.0
1100800,920.0
1120256,940.0
1140736,800.0
1160192,1020.0
1180672,840.0
1200128,560.0
1220608,820.0
1240064,860.0
1260544,720.0
1280000,640.0
1300480,940.0
1320960,720.0
1340416,720.0
1360896,720.0
1380352,880.0
1400832,760.0
1420288,880.0
1440768,620.0
1460224,980.0
1480704,840.0
1500160,1160.0
1520640,1020.0
1540096,940.0
1560576,840.0
1580032,780.0
1600512,640.0
1620992,920.0
1640448,840.0
1660928,640.0
1680384,820.0
1700864,1120.0
1720320,1120.0
1740800,720.0
1760256,860.0
1780736,1300.0
1800192,1040.0
1820672,920.0
1840128,1260.0
1860608,640.0
1880064,680.0
1900544,760.0
1920000,1260.0
1940480,700.0
1960960,740.0
1980416,1380.0
2000896,900.0
2020352,720.0
2040832,960.0
2060288,820.0
2080768,920.0
2100224,880.0
2120704,720.0
2140160,840.0
2160640,720.0
2180096,820.0
2200576,1000.0
2220032,720.0
2240512,900.0
2260992,620.0
2280448,840.0
2300928,800.0
2320384,880.0
2340864,800.0
2360320,800.0
2380800,720.0
2400256,960.0
2420736,780.0
2440192,800.0
2460672,760.0
2480128,980.0
2500608,720.0
2520064,520.0
2540544,840.0
2560000,780.0
2580480,900.0
2600960,920.0
2620416,700.0
2640896,860.0
2660352,720.0
2680832,980.0
2700288,980.0
2720768,960.0
2740224,880.0
2760704,740.0
2780160,880.0
2800640,1060.0
2820096,720.0
2840576,740.0
2860032,980.0
2880512,640.0
2900992,600.0
2920448,620.0
2940928,740.0
2960384,660.0
2980864,820.0
3000320,700.0
3020800,320.0
3040256,640.0
3060736,800.0
3080192,520.0
3100672,880.0
3120128,760.0
3140608,700.0
3160064,700.0
3180544,660.0
3200000,980.0
3220480,860.0
3240960,840.0
3260416,1020.0
3280896,820.0
3300352,780.0
3320832,660.0
3340288,760.0
3360768,680.0
3380224,920.0
3400704,660.0
3420160,1200.0
3440640,740.0
3460096,820.0
3480576,980.0
3500032,720.0
3520512,960.0
3540992,840.0
3560448,880.0
3580928,800.0
3600384,980.0
3620864,980.0
3640320,1000.0
3660800,800.0
3680256,700.0
3700736,800.0
3720192,980.0
3740672,700.0
3760128,780.0
3780608,900.0
3800064,940.0
3820544,760.0
3840000,740.0
3860480,780.0
3880960,780.0
3900416,900.0
3920896,1320.0
3940352,740.0
3960832,900.0
3980288,780.0
4000768,920.0
4020224,780.0
4040704,700.0
4060160,1000.0
4080640,880.0
4100096,680.0
4120576,640.0
4140032,1140.0
4160512,880.0
4180992,1340.0
4200448,1100.0
4220928,1060.0
4240384,980.0
4260864,1060.0
4280320,780.0
4300800,780.0
4320256,820.0
4340736,820.0
4360192,1160.0
4380672,800.0
4400128,700.0
4420608,840.0
4440064,580.0
4460544,700.0
4480000,580.0
4500480,660.0
4520960,760.0
4540416,820.0
4560896,640.0
4580352,780.0
4600832,900.0
4620288,620.0
4640768,880.0
4660224,1060.0
4680704,720.0
4700160,720.0
4720640,840.0
4740096,1080.0
4760576,840.0
4780032,820.0
4800512,680.0
4820992,780.0
4840448,840.0
4860928,960.0
4880384,1140.0
4900864,860.0
4920320,780.0
4940800,620.0
4960256,780.0
4980736,880.0
5000192,900.0
