Step,Value
20480,11480.0
40960,9340.0
60416,12820.0
80896,14000.0
100352,18800.0
120832,25720.0
140288,12820.0
160768,35700.0
180224,28540.0
200704,29160.0
220160,28520.0
240640,42960.0
260096,24000.0
280576,31980.0
300032,39980.0
320512,34620.0
340992,25280.0
360448,37320.0
380928,31840.0
400384,45960.0
420864,33140.0
440320,33900.0
460800,31100.0
480256,45520.0
500736,48500.0
520192,32640.0
540672,37340.0
560128,23620.0
580608,49240.0
600064,58340.0
620544,33820.0
640000,37820.0
660480,48920.0
680960,37340.0
700416,49540.0
720896,40820.0
740352,58300.0
760832,35080.0
780288,29620.0
800768,53780.0
820224,56440.0
840704,50740.0
860160,78700.0
880640,64020.0
900096,34260.0
920576,66700.0
940032,43920.0
960512,62860.0
980992,58460.0
1000448,42800.0
1020928,59280.0
1040384,70320.0
1060864,66060.0
1080320,48940.0
1100800,47740.0
1120256,59440.0
1140736,49260.0
1160192,49880.0
1180672,50140.0
1200128,86540.0
1220608,46200.0
1240064,49420.0
1260544,82800.0
1280000,63840.0
1300480,65420.0
1320960,65040.0
1340416,57000.0
1360896,44380.0
1380352,60760.0
1400832,62980.0
1420288,54780.0
1440768,103740.0
1460224,58520.0
1480704,54680.0
1500160,41660.0
1520640,88000.0
1540096,80440.0
1560576,58880.0
1580032,80440.0
1600512,83840.0
1620992,66400.0
1640448,42700.0
1660928,78600.0
1680384,82680.0
1700864,69000.0
1720320,89400.0
1740800,70380.0
1760256,45600.0
1780736,72720.0
1800192,72340.0
1820672,57100.0
1840128,106700.0
1860608,88720.0
1880064,104000.0
1900544,49040.0
1920000,66920.0
1940480,57100.0
1960960,112620.0
1980416,52540.0
2000896,100540.0
2020352,57800.0
2040832,65300.0
2060288,46160.0
2080768,59000.0
2100224,63320.0
2120704,78300.0
2140160,80300.0
2160640,74740.0
2180096,86360.0
2200576,87840.0
2220032,71040.0
2240512,75080.0
2260992,55460.0
2280448,90360.0
2300928,77300.0
2320384,66680.0
2340864,72700.0
2360320,75860.0
2380800,94000.0
2400256,103680.0
2420736,86240.0
2440192,91340.0
2460672,63080.0
2480128,57140.0
2500608,98740.0
2520064,96640.0
2540544,89280.0
2560000,94160.0
2580480,92840.0
2600960,70340.0
2620416,103980.0
2640896,85760.0
2660352,78620.0
2680832,80080.0
2700288,96740.0
2720768,101940.0
2740224,67700.0
2760704,66740.0
2780160,42480.0
2800640,62700.0
2820096,92360.0
2840576,90400.0
2860032,100980.0
2880512,101160.0
2900992,85720.0
2920448,99600.0
2940928,101020.0
2960384,84280.0
2980864,88940.0
3000320,88060.0
3020800,79780.0
3040256,100620.0
3060736,93800.0
3080192,77020.0
3100672,72780.0
3120128,82380.0
3140608,85800.0
3160064,71460.0
3180544,100360.0
3200000,73420.0
3220480,92200.0
3240960,94640.0
3260416,76580.0
3280896,83300.0
3300352,89180.0
3320832,82860.0
3340288,100140.0
3360768,111500.0
3380224,104140.0
3400704,93520.0
3420160,107260.0
3440640,104060.0
3460096,99360.0
3480576,106980.0
3500032,88560.0
3520512,80860.0
3540992,86280.0
3560448,95020.0
3580928,103220.0
3600384,76020.0
3620864,78000.0
3640320,84900.0
3660800,90280.0
3680256,89060.0
3700736,98680.0
3720192,100180.0
3740672,69840.0
3760128,94520.0
3780608,87960.0
3800064,97020.0
3820544,110840.0
3840000,102580.0
3860480,97780.0
3880960,91060.0
3900416,97280.0
3920896,73720.0
3940352,112800.0
3960832,99120.0
3980288,108640.0
4000768,76660.0
4020224,77220.0
4040704,89180.0
4060160,94020.0
4080640,105580.0
4100096,101640.0
4120576,92340.0
4140032,86000.0
4160512,98340.0
4180992,83660.0
4200448,58820.0
4220928,97580.0
4240384,96480.0
4260864,77380.0
4280320,79180.0
4300800,101720.0
4320256,93400.0
4340736,99760.0
4360192,115280.0
4380672,98840.0
4400128,98360.0
4420608,107860.0
4440064,93000.0
4460544,99340.0
4480000,83180.0
4500480,94160.0
4520960,105020.0
4540416,96640.0
4560896,113820.0
4580352,116100.0
4600832,85320.0
4620288,93380.0
4640768,103800.0
4660224,79860.0
4680704,72460.0
4700160,86480.0
4720640,87720.0
4740096,92180.0
4760576,107720.0
4780032,104940.0
4800512,92820.0
4820992,79200.0
4840448,80660.0
4860928,94140.0
4880384,87460.0
4900864,108860.0
4920320,95960.0
4940800,77920.0
4960256,101260.0
4980736,99320.0
5000192,99760.0
