Step,Value
20480,-16.0
40960,-17.600000381469727
60416,-17.600000381469727
80896,-20.0
100352,-18.799999237060547
120832,-17.200000762939453
140288,-17.200000762939453
160768,-14.800000190734863
180224,-18.0
200704,-18.399999618530273
220160,-16.399999618530273
240640,-17.200000762939453
260096,-18.0
280576,-16.799999237060547
300032,-18.399999618530273
320512,-19.600000381469727
340992,-17.200000762939453
360448,-20.0
380928,-15.199999809265137
400384,-16.399999618530273
420864,-20.399999618530273
440320,-18.399999618530273
460800,-15.600000381469727
480256,-18.399999618530273
500736,-16.399999618530273
520192,-14.800000190734863
540672,-20.399999618530273
560128,-18.0
580608,-15.199999809265137
600064,-14.399999618530273
620544,-14.399999618530273
640000,-17.600000381469727
660480,-13.199999809265137
680960,-14.399999618530273
700416,-14.0
720896,-15.199999809265137
740352,-18.0
760832,-15.600000381469727
780288,-12.0
800768,-14.800000190734863
820224,-14.800000190734863
840704,-13.600000381469727
860160,-13.600000381469727
880640,-14.399999618530273
900096,-15.199999809265137
920576,-12.800000190734863
940032,-15.600000381469727
960512,-14.800000190734863
980992,-17.200000762939453
1000448,-15.199999809265137
1020928,-19.200000762939453
1040384,-12.0
1060864,-17.200000762939453
1080320,-14.0
1100800,-13.600000381469727
1120256,-10.0
1140736,-13.199999809265137
1160192,-15.600000381469727
1180672,-14.399999618530273
1200128,-14.0
1220608,-15.199999809265137
1240064,-13.600000381469727
1260544,-14.0
1280000,-13.199999809265137
1300480,-14.0
1320960,-11.600000381469727
1340416,-18.0
1360896,-12.0
1380352,-15.600000381469727
1400832,-16.0
1420288,-10.800000190734863
1440768,-10.399999618530273
1460224,-10.0
1480704,-14.0
1500160,-16.0
1520640,-12.399999618530273
1540096,-11.600000381469727
1560576,-13.199999809265137
1580032,-12.0
1600512,-17.600000381469727
1620992,-13.600000381469727
1640448,-14.0
1660928,-13.199999809265137
1680384,-15.199999809265137
1700864,-10.800000190734863
1720320,-12.0
1740800,-13.199999809265137
1760256,-12.0
1780736,-14.399999618530273
1800192,-8.0
1820672,-10.399999618530273
1840128,-11.600000381469727
1860608,-10.399999618530273
1880064,-12.800000190734863
1900544,-14.399999618530273
1920000,-12.0
1940480,-9.199999809265137
1960960,-14.0
1980416,-8.800000190734863
2000896,-9.199999809265137
2020352,-13.199999809265137
2040832,-13.600000381469727
2060288,-10.0
2080768,-10.0
2100224,-13.600000381469727
2120704,-13.199999809265137
2140160,-12.0
2160640,-12.0
2180096,-12.800000190734863
2200576,-14.399999618530273
2220032,-10.0
2240512,-5.199999809265137
2260992,-14.399999618530273
2280448,-12.399999618530273
2300928,-13.199999809265137
2320384,-10.800000190734863
2340864,-14.800000190734863
2360320,-10.399999618530273
2380800,-10.800000190734863
2400256,-11.600000381469727
2420736,-10.399999618530273
2440192,-9.600000381469727
2460672,-10.0
2480128,-13.199999809265137
2500608,-3.5999999046325684
2520064,-12.399999618530273
2540544,-13.600000381469727
2560000,-13.600000381469727
2580480,-5.199999809265137
2600960,-12.399999618530273
2620416,-12.0
