Step,Value
20480,-89.4000015258789
40960,-90.19999694824219
60416,-94.19999694824219
80896,-95.80000305175781
100352,-89.80000305175781
120832,-91.4000015258789
140288,-97.0
160768,-97.4000015258789
180224,-93.80000305175781
200704,-99.0
220160,-97.4000015258789
240640,-98.19999694824219
260096,-92.5999984741211
280576,-97.0
300032,-97.80000305175781
320512,-98.5999984741211
340992,-97.0
360448,-97.0
380928,-93.80000305175781
400384,-96.5999984741211
420864,-98.19999694824219
440320,-98.19999694824219
460800,-94.5999984741211
480256,-98.5999984741211
500736,-98.19999694824219
520192,-89.0
540672,-87.0
560128,-97.0
580608,-97.4000015258789
600064,-95.4000015258789
620544,-97.4000015258789
640000,-99.0
660480,-97.80000305175781
680960,-99.0
700416,-98.19999694824219
720896,-96.19999694824219
740352,-97.80000305175781
760832,-92.5999984741211
780288,-95.4000015258789
800768,-93.80000305175781
820224,-90.5999984741211
840704,-93.80000305175781
860160,-94.19999694824219
880640,-94.5999984741211
900096,-93.4000015258789
920576,-97.4000015258789
940032,-95.4000015258789
960512,-97.4000015258789
980992,-95.4000015258789
1000448,-94.19999694824219
1020928,-92.5999984741211
1040384,-91.0
1060864,-88.5999984741211
1080320,-92.19999694824219
1100800,-87.80000305175781
1120256,-87.4000015258789
1140736,-95.80000305175781
1160192,-88.19999694824219
1180672,-97.0
1200128,-84.19999694824219
1220608,-91.80000305175781
1240064,-92.19999694824219
1260544,-90.19999694824219
1280000,-99.0
1300480,-96.19999694824219
1320960,-97.80000305175781
1340416,-95.0
1360896,-94.19999694824219
1380352,-93.4000015258789
1400832,-83.4000015258789
1420288,-93.4000015258789
1440768,-91.0
1460224,-92.19999694824219
1480704,-90.19999694824219
1500160,-91.0
1520640,-94.19999694824219
1540096,-93.4000015258789
1560576,-89.0
1580032,-89.0
1600512,-86.19999694824219
1620992,-87.0
1640448,-91.0
1660928,-93.4000015258789
1680384,-92.5999984741211
1700864,-83.0
1720320,-83.80000305175781
1740800,-87.4000015258789
1760256,-85.0
1780736,-89.80000305175781
1800192,-94.5999984741211
1820672,-85.4000015258789
1840128,-86.19999694824219
1860608,-87.4000015258789
1880064,-86.19999694824219
1900544,-85.80000305175781
1920000,-83.80000305175781
1940480,-88.19999694824219
1960960,-91.80000305175781
1980416,-85.4000015258789
2000896,-85.4000015258789
2020352,-85.4000015258789
2040832,-80.19999694824219
2060288,-90.19999694824219
2080768,-83.0
2100224,-85.80000305175781
2120704,-85.80000305175781
2140160,-91.0
2160640,-89.0
2180096,-84.19999694824219
2200576,-88.5999984741211
2220032,-87.80000305175781
2240512,-85.0
2260992,-89.0
2280448,-83.0
2300928,-83.0
2320384,-84.5999984741211
2340864,-94.5999984741211
2360320,-90.19999694824219
2380800,-89.0
2400256,-79.80000305175781
2420736,-81.80000305175781
2440192,-82.19999694824219
2460672,-71.0
2480128,-91.80000305175781
2500608,-83.80000305175781
2520064,-87.4000015258789
2540544,-88.5999984741211
2560000,-84.19999694824219
2580480,-81.80000305175781
2600960,-82.5999984741211
2620416,-78.5999984741211
2640896,-82.5999984741211
2660352,-84.5999984741211
2680832,-76.5999984741211
2700288,-81.4000015258789
2720768,-87.80000305175781
2740224,-79.80000305175781
2760704,-85.0
2780160,-82.5999984741211
2800640,-83.4000015258789
2820096,-89.0
2840576,-80.19999694824219
2860032,-82.5999984741211
2880512,-84.19999694824219
2900992,-84.19999694824219
2920448,-79.80000305175781
2940928,-89.0
2960384,-84.5999984741211
2980864,-83.4000015258789
3000320,-85.4000015258789
3020800,-83.0
3040256,-88.5999984741211
3060736,-79.4000015258789
3080192,-85.4000015258789
3100672,-84.19999694824219
3120128,-85.0
3140608,-87.4000015258789
3160064,-81.4000015258789
3180544,-79.0
3200000,-80.5999984741211
3220480,-79.0
3240960,-85.80000305175781
3260416,-81.0
3280896,-83.0
3300352,-83.4000015258789
3320832,-77.80000305175781
3340288,-80.5999984741211
3360768,-81.0
3380224,-82.19999694824219
3400704,-87.80000305175781
3420160,-87.0
3440640,-75.0
3460096,-83.4000015258789
3480576,-79.80000305175781
3500032,-83.80000305175781
3520512,-79.0
3540992,-82.19999694824219
3560448,-83.4000015258789
3580928,-76.5999984741211
3600384,-73.0
3620864,-83.0
3640320,-84.19999694824219
3660800,-80.19999694824219
3680256,-73.80000305175781
3700736,-79.0
3720192,-85.80000305175781
3740672,-76.19999694824219
3760128,-82.5999984741211
3780608,-81.80000305175781
3800064,-77.4000015258789
3820544,-72.19999694824219
3840000,-86.5999984741211
3860480,-80.19999694824219
3880960,-75.0
3900416,-83.0
3920896,-84.19999694824219
3940352,-80.19999694824219
3960832,-83.0
3980288,-78.19999694824219
4000768,-75.4000015258789
4020224,-75.0
4040704,-73.80000305175781
4060160,-81.80000305175781
4080640,-77.0
4100096,-81.0
4120576,-82.5999984741211
4140032,-81.19999694824219
4160512,-77.0
4180992,-78.5999984741211
4200448,-82.5999984741211
4220928,-75.0
4240384,-81.80000305175781
4260864,-82.5999984741211
4280320,-76.19999694824219
4300800,-77.80000305175781
4320256,-76.5999984741211
4340736,-79.0
4360192,-75.0
4380672,-81.80000305175781
4400128,-79.4000015258789
4420608,-70.19999694824219
4440064,-69.4000015258789
4460544,-77.4000015258789
4480000,-79.4000015258789
4500480,-77.80000305175781
4520960,-79.4000015258789
4540416,-68.19999694824219
4560896,-74.19999694824219
4580352,-83.0
4600832,-73.80000305175781
4620288,-67.80000305175781
4640768,-76.19999694824219
4660224,-77.0
4680704,-78.19999694824219
4700160,-82.19999694824219
4720640,-76.5999984741211
4740096,-69.80000305175781
4760576,-67.80000305175781
