Step,Value
20480,100.0
40960,122.0
60416,156.0
80896,160.0
100352,186.0
120832,166.0
140288,208.0
160768,218.0
180224,210.0
200704,220.0
220160,214.0
240640,226.0
260096,202.0
280576,208.0
300032,190.0
320512,208.0
340992,202.0
360448,230.0
380928,234.0
400384,230.0
420864,248.0
440320,264.0
460800,228.0
480256,254.0
500736,256.0
520192,264.0
540672,264.0
560128,252.0
580608,246.0
600064,258.0
620544,258.0
640000,268.0
660480,270.0
680960,262.0
700416,254.0
720896,242.0
740352,262.0
760832,258.0
780288,266.0
800768,260.0
820224,268.0
840704,270.0
860160,266.0
880640,264.0
900096,266.0
920576,268.0
940032,270.0
960512,264.0
980992,270.0
1000448,266.0
1020928,252.0
1040384,264.0
1060864,262.0
1080320,262.0
1100800,252.0
1120256,246.0
1140736,254.0
1160192,250.0
1180672,252.0
1200128,262.0
1220608,258.0
1240064,262.0
1260544,270.0
1280000,250.0
1300480,246.0
1320960,260.0
1340416,254.0
1360896,256.0
1380352,250.0
1400832,250.0
1420288,258.0
1440768,254.0
1460224,262.0
1480704,258.0
1500160,248.0
1520640,250.0
1540096,254.0
1560576,250.0
1580032,248.0
1600512,270.0
1620992,252.0
1640448,258.0
1660928,252.0
1680384,256.0
1700864,250.0
1720320,250.0
1740800,254.0
1760256,254.0
1780736,266.0
1800192,264.0
1820672,262.0
1840128,252.0
1860608,252.0
1880064,260.0
1900544,252.0
1920000,274.0
1940480,258.0
1960960,264.0
1980416,258.0
2000896,260.0
2020352,266.0
2040832,256.0
2060288,274.0
2080768,266.0
2100224,260.0
2120704,272.0
2140160,272.0
2160640,286.0
2180096,264.0
2200576,274.0
2220032,272.0
2240512,288.0
2260992,280.0
2280448,278.0
2300928,270.0
2320384,268.0
2340864,268.0
2360320,280.0
2380800,264.0
2400256,274.0
2420736,258.0
2440192,282.0
2460672,268.0
2480128,270.0
2500608,274.0
2520064,282.0
2540544,284.0
2560000,280.0
2580480,276.0
2600960,280.0
2620416,270.0
2640896,280.0
2660352,282.0
2680832,280.0
2700288,284.0
2720768,274.0
2740224,288.0
2760704,280.0
2780160,262.0
2800640,280.0
2820096,276.0
2840576,288.0
2860032,258.0
2880512,274.0
2900992,266.0
2920448,272.0
2940928,266.0
2960384,286.0
2980864,296.0
3000320,282.0
3020800,276.0
3040256,284.0
3060736,284.0
3080192,288.0
3100672,290.0
3120128,270.0
3140608,284.0
3160064,276.0
3180544,288.0
3200000,288.0
3220480,280.0
3240960,270.0
3260416,274.0
3280896,282.0
3300352,286.0
3320832,280.0
3340288,266.0
3360768,284.0
3380224,288.0
3400704,282.0
3420160,282.0
3440640,282.0
3460096,294.0
3480576,278.0
3500032,292.0
3520512,288.0
3540992,280.0
3560448,276.0
3580928,272.0
3600384,286.0
3620864,264.0
3640320,280.0
3660800,292.0
3680256,280.0
3700736,282.0
3720192,280.0
3740672,290.0
3760128,280.0
3780608,280.0
3800064,268.0
3820544,286.0
3840000,282.0
3860480,268.0
3880960,274.0
3900416,284.0
3920896,276.0
3940352,290.0
3960832,286.0
3980288,280.0
4000768,294.0
4020224,280.0
4040704,280.0
4060160,288.0
4080640,290.0
4100096,284.0
4120576,276.0
4140032,282.0
4160512,272.0
4180992,280.0
4200448,300.0
4220928,288.0
4240384,280.0
4260864,280.0
4280320,294.0
4300800,282.0
4320256,286.0
4340736,270.0
4360192,286.0
4380672,292.0
4400128,296.0
4420608,288.0
4440064,286.0
4460544,282.0
4480000,280.0
4500480,288.0
4520960,286.0
4540416,280.0
4560896,290.0
4580352,284.0
4600832,274.0
4620288,292.0
4640768,282.0
4660224,290.0
4680704,278.0
4700160,280.0
4720640,292.0
4740096,298.0
4760576,290.0
4780032,286.0
4800512,278.0
4820992,280.0
4840448,286.0
4860928,274.0
4880384,280.0
4900864,282.0
4920320,292.0
4940800,292.0
4960256,288.0
4980736,292.0
5000192,292.0
