Step,Value
20480,360.0
40960,324.0
60416,524.0
80896,524.0
100352,528.0
120832,820.0
140288,328.0
160768,348.0
180224,472.0
200704,292.0
220160,692.0
240640,660.0
260096,540.0
280576,812.0
300032,880.0
320512,672.0
340992,816.0
360448,416.0
380928,1300.0
400384,404.0
420864,520.0
440320,640.0
460800,1364.0
480256,744.0
500736,900.0
520192,872.0
540672,724.0
560128,1064.0
580608,756.0
600064,904.0
620544,800.0
640000,848.0
660480,868.0
680960,1068.0
700416,840.0
720896,564.0
740352,848.0
760832,1408.0
780288,1180.0
800768,388.0
820224,1216.0
840704,488.0
860160,680.0
880640,700.0
900096,984.0
920576,560.0
940032,660.0
960512,1148.0
980992,804.0
1000448,860.0
1020928,700.0
1040384,1036.0
1060864,948.0
1080320,788.0
1100800,1436.0
1120256,1120.0
1140736,700.0
1160192,988.0
1180672,1064.0
1200128,844.0
1220608,804.0
1240064,1512.0
1260544,752.0
1280000,1228.0
1300480,1244.0
1320960,900.0
1340416,1008.0
1360896,728.0
1380352,596.0
1400832,1008.0
1420288,596.0
1440768,1096.0
1460224,816.0
1480704,996.0
1500160,764.0
1520640,632.0
1540096,1116.0
1560576,1144.0
1580032,1816.0
1600512,1488.0
1620992,1220.0
1640448,960.0
1660928,584.0
1680384,1104.0
1700864,544.0
1720320,612.0
1740800,1060.0
1760256,1308.0
1780736,612.0
1800192,1028.0
1820672,1352.0
1840128,764.0
1860608,780.0
1880064,932.0
1900544,872.0
1920000,840.0
1940480,864.0
1960960,892.0
1980416,1088.0
2000896,932.0
2020352,880.0
2040832,932.0
2060288,1060.0
2080768,1040.0
2100224,716.0
2120704,584.0
2140160,704.0
2160640,492.0
2180096,1048.0
2200576,540.0
2220032,1212.0
2240512,1256.0
2260992,768.0
2280448,984.0
2300928,740.0
2320384,792.0
2340864,720.0
2360320,1712.0
2380800,376.0
2400256,1004.0
2420736,588.0
2440192,1152.0
2460672,1404.0
2480128,632.0
2500608,1572.0
2520064,536.0
2540544,900.0
2560000,512.0
2580480,716.0
2600960,1240.0
2620416,856.0
2640896,1316.0
2660352,568.0
2680832,640.0
2700288,1072.0
2720768,1260.0
2740224,644.0
2760704,968.0
2780160,1096.0
2800640,1020.0
2820096,1028.0
2840576,1688.0
2860032,1328.0
2880512,1036.0
2900992,800.0
2920448,1064.0
2940928,1104.0
2960384,836.0
2980864,868.0
3000320,1160.0
3020800,1284.0
3040256,964.0
3060736,912.0
3080192,892.0
3100672,1132.0
3120128,796.0
3140608,868.0
3160064,1136.0
3180544,644.0
3200000,976.0
3220480,792.0
3240960,792.0
3260416,684.0
3280896,760.0
3300352,1004.0
3320832,1656.0
3340288,784.0
3360768,944.0
3380224,968.0
3400704,1288.0
3420160,720.0
3440640,1148.0
3460096,756.0
3480576,716.0
3500032,988.0
3520512,832.0
3540992,448.0
3560448,964.0
3580928,756.0
3600384,800.0
3620864,768.0
3640320,1352.0
3660800,920.0
3680256,904.0
3700736,904.0
3720192,476.0
3740672,1024.0
3760128,872.0
3780608,1124.0
3800064,1064.0
3820544,928.0
3840000,1100.0
3860480,840.0
3880960,992.0
3900416,1212.0
3920896,1100.0
3940352,1412.0
3960832,560.0
3980288,976.0
4000768,796.0
4020224,872.0
4040704,1160.0
4060160,1728.0
4080640,1144.0
4100096,992.0
4120576,1252.0
4140032,460.0
4160512,904.0
4180992,1096.0
4200448,1044.0
4220928,1588.0
4240384,812.0
4260864,768.0
4280320,568.0
4300800,704.0
4320256,1076.0
4340736,1048.0
4360192,1476.0
4380672,764.0
4400128,788.0
4420608,572.0
4440064,812.0
4460544,1004.0
4480000,1172.0
4500480,1696.0
4520960,1016.0
4540416,580.0
4560896,772.0
4580352,1228.0
4600832,1124.0
4620288,700.0
4640768,1036.0
4660224,988.0
4680704,928.0
4700160,1208.0
4720640,772.0
4740096,600.0
4760576,924.0
4780032,1308.0
4800512,712.0
4820992,1188.0
4840448,560.0
4860928,1044.0
4880384,936.0
4900864,664.0
4920320,552.0
4940800,1080.0
4960256,920.0
4980736,848.0
5000192,816.0
