Step,Value
20480,240.0
40960,330.0
60416,110.0
80896,170.0
100352,200.0
120832,120.0
140288,190.0
160768,370.0
180224,160.0
200704,210.0
220160,90.0
240640,40.0
260096,210.0
280576,230.0
300032,430.0
320512,230.0
340992,370.0
360448,260.0
380928,190.0
400384,190.0
420864,260.0
440320,300.0
460800,300.0
480256,280.0
500736,110.0
520192,370.0
540672,430.0
560128,190.0
580608,200.0
600064,290.0
620544,160.0
640000,410.0
660480,420.0
680960,310.0
700416,120.0
720896,270.0
740352,250.0
760832,430.0
780288,350.0
800768,260.0
820224,150.0
840704,170.0
860160,180.0
880640,170.0
900096,430.0
920576,270.0
940032,440.0
960512,280.0
980992,140.0
1000448,310.0
1020928,400.0
1040384,410.0
1060864,60.0
1080320,260.0
1100800,340.0
1120256,230.0
1140736,270.0
1160192,450.0
1180672,190.0
1200128,300.0
1220608,180.0
1240064,370.0
1260544,180.0
1280000,510.0
1300480,270.0
1320960,190.0
1340416,330.0
1360896,320.0
1380352,250.0
1400832,190.0
1420288,160.0
1440768,90.0
1460224,260.0
1480704,350.0
1500160,230.0
1520640,160.0
1540096,250.0
1560576,110.0
1580032,230.0
1600512,210.0
1620992,210.0
1640448,70.0
1660928,150.0
1680384,0.0
1700864,260.0
1720320,90.0
1740800,70.0
1760256,160.0
1780736,120.0
1800192,60.0
1820672,210.0
1840128,210.0
1860608,50.0
1880064,470.0
1900544,120.0
1920000,160.0
1940480,250.0
1960960,70.0
1980416,190.0
2000896,130.0
2020352,450.0
2040832,220.0
2060288,150.0
2080768,200.0
2100224,250.0
2120704,210.0
2140160,380.0
2160640,150.0
2180096,200.0
2200576,300.0
2220032,270.0
2240512,230.0
2260992,280.0
2280448,300.0
2300928,240.0
2320384,170.0
2340864,110.0
2360320,140.0
2380800,200.0
2400256,140.0
2420736,290.0
2440192,450.0
2460672,330.0
2480128,240.0
2500608,190.0
2520064,170.0
2540544,280.0
2560000,340.0
2580480,270.0
2600960,340.0
2620416,330.0
2640896,70.0
2660352,430.0
2680832,180.0
2700288,300.0
2720768,380.0
2740224,470.0
2760704,340.0
2780160,370.0
2800640,400.0
2820096,370.0
2840576,400.0
2860032,290.0
2880512,510.0
2900992,100.0
2920448,320.0
2940928,160.0
2960384,320.0
2980864,280.0
3000320,310.0
3020800,310.0
3040256,220.0
3060736,40.0
3080192,240.0
3100672,160.0
3120128,370.0
3140608,400.0
3160064,500.0
3180544,280.0
3200000,370.0
3220480,280.0
3240960,360.0
3260416,340.0
3280896,460.0
3300352,280.0
3320832,330.0
3340288,440.0
3360768,160.0
3380224,500.0
3400704,360.0
3420160,320.0
3440640,200.0
3460096,520.0
3480576,300.0
3500032,470.0
3520512,450.0
3540992,260.0
3560448,330.0
3580928,400.0
3600384,330.0
3620864,310.0
3640320,330.0
3660800,290.0
3680256,510.0
3700736,420.0
3720192,380.0
3740672,330.0
3760128,230.0
3780608,680.0
3800064,360.0
3820544,250.0
3840000,410.0
3860480,260.0
3880960,480.0
3900416,240.0
3920896,510.0
3940352,470.0
3960832,420.0
3980288,340.0
4000768,430.0
4020224,390.0
4040704,430.0
4060160,320.0
4080640,640.0
4100096,370.0
4120576,530.0
4140032,350.0
4160512,250.0
4180992,490.0
4200448,350.0
4220928,380.0
4240384,450.0
4260864,300.0
4280320,300.0
4300800,250.0
4320256,410.0
4340736,390.0
4360192,380.0
4380672,260.0
4400128,780.0
4420608,330.0
4440064,370.0
4460544,430.0
4480000,470.0
4500480,350.0
4520960,270.0
4540416,530.0
4560896,430.0
4580352,90.0
4600832,410.0
4620288,270.0
4640768,370.0
4660224,680.0
4680704,440.0
4700160,260.0
4720640,530.0
4740096,250.0
4760576,500.0
4780032,520.0
4800512,470.0
4820992,310.0
4840448,360.0
4860928,310.0
4880384,540.0
4900864,170.0
4920320,340.0
4940800,500.0
4960256,650.0
4980736,380.0
5000192,420.0
