Step,Value
20480,-5.800000190734863
40960,-7.0
60416,-6.199999809265137
80896,-9.399999618530273
100352,-7.199999809265137
120832,-9.800000190734863
140288,-5.199999809265137
160768,-7.800000190734863
180224,-8.0
200704,-6.599999904632568
220160,-3.5999999046325684
240640,-4.400000095367432
260096,-3.4000000953674316
280576,-7.800000190734863
300032,-7.800000190734863
320512,-8.600000381469727
340992,-5.0
360448,-11.0
380928,-5.400000095367432
400384,-5.400000095367432
420864,-7.400000095367432
440320,-6.599999904632568
460800,-8.399999618530273
480256,-5.599999904632568
500736,-7.199999809265137
520192,-6.199999809265137
540672,-4.599999904632568
560128,-8.399999618530273
580608,-8.800000190734863
600064,-6.400000095367432
620544,-4.800000190734863
640000,-4.0
660480,-4.400000095367432
680960,-7.199999809265137
700416,-4.0
720896,-5.400000095367432
740352,-6.0
760832,-5.599999904632568
780288,-6.0
800768,-6.0
820224,-6.0
840704,-6.199999809265137
860160,-6.400000095367432
880640,-4.800000190734863
900096,-4.599999904632568
920576,-7.400000095367432
940032,-4.599999904632568
960512,-9.800000190734863
980992,-7.599999904632568
1000448,-4.599999904632568
1020928,-6.199999809265137
1040384,-7.0
1060864,-6.400000095367432
1080320,-7.199999809265137
1100800,-7.0
1120256,-7.0
1140736,-7.599999904632568
1160192,-6.199999809265137
1180672,-7.199999809265137
1200128,-6.800000190734863
1220608,-5.599999904632568
1240064,-5.599999904632568
1260544,-5.599999904632568
1280000,-7.0
1300480,-5.199999809265137
1320960,-6.0
1340416,-4.800000190734863
1360896,-5.0
1380352,-6.400000095367432
1400832,-6.199999809265137
1420288,-4.199999809265137
1440768,-6.0
1460224,-6.599999904632568
1480704,-4.599999904632568
1500160,-5.400000095367432
1520640,-6.400000095367432
1540096,-7.800000190734863
1560576,-5.0
1580032,-7.0
1600512,-5.0
1620992,-7.199999809265137
1640448,-4.599999904632568
1660928,-6.199999809265137
1680384,-6.400000095367432
1700864,-7.800000190734863
1720320,-3.200000047683716
1740800,-6.400000095367432
1760256,-5.199999809265137
1780736,-7.0
1800192,-5.599999904632568
1820672,-6.400000095367432
1840128,-7.199999809265137
1860608,-6.400000095367432
1880064,-7.599999904632568
1900544,-6.400000095367432
1920000,-5.800000190734863
1940480,-7.400000095367432
1960960,-6.400000095367432
1980416,-6.599999904632568
2000896,-7.599999904632568
2020352,-6.0
2040832,-5.400000095367432
2060288,-7.0
2080768,-6.800000190734863
2100224,-4.400000095367432
2120704,-5.400000095367432
2140160,-5.400000095367432
