Step,Value
20480,30.0
40960,50.0
60416,60.0
80896,60.0
100352,20.0
120832,50.0
140288,80.0
160768,80.0
180224,60.0
200704,30.0
220160,40.0
240640,70.0
260096,30.0
280576,80.0
300032,50.0
320512,50.0
340992,70.0
360448,110.0
380928,70.0
400384,80.0
420864,130.0
440320,160.0
460800,190.0
480256,220.0
500736,210.0
520192,220.0
540672,180.0
560128,210.0
580608,240.0
600064,230.0
620544,230.0
640000,230.0
660480,300.0
680960,310.0
700416,300.0
720896,290.0
740352,210.0
760832,210.0
780288,200.0
800768,290.0
820224,300.0
840704,240.0
860160,340.0
880640,370.0
900096,300.0
920576,250.0
940032,340.0
960512,230.0
980992,310.0
1000448,320.0
1020928,240.0
1040384,270.0
1060864,290.0
1080320,370.0
1100800,280.0
1120256,300.0
1140736,310.0
1160192,380.0
1180672,310.0
1200128,300.0
1220608,220.0
1240064,350.0
1260544,210.0
1280000,360.0
1300480,330.0
1320960,270.0
1340416,350.0
1360896,350.0
1380352,450.0
1400832,380.0
1420288,310.0
1440768,380.0
1460224,280.0
1480704,290.0
1500160,360.0
1520640,400.0
1540096,440.0
1560576,440.0
1580032,390.0
1600512,420.0
1620992,270.0
1640448,450.0
1660928,370.0
1680384,450.0
1700864,300.0
1720320,470.0
1740800,370.0
1760256,370.0
1780736,370.0
1800192,330.0
1820672,460.0
1840128,340.0
1860608,420.0
1880064,490.0
1900544,360.0
1920000,410.0
1940480,420.0
1960960,450.0
1980416,360.0
2000896,370.0
2020352,340.0
2040832,300.0
2060288,470.0
2080768,360.0
2100224,400.0
2120704,330.0
2140160,390.0
2160640,530.0
2180096,350.0
2200576,520.0
2220032,420.0
2240512,460.0
2260992,460.0
2280448,410.0
2300928,430.0
2320384,440.0
2340864,390.0
2360320,440.0
2380800,400.0
2400256,310.0
2420736,470.0
2440192,310.0
2460672,410.0
2480128,370.0
2500608,410.0
2520064,420.0
2540544,380.0
2560000,420.0
2580480,490.0
2600960,470.0
2620416,450.0
2640896,440.0
2660352,450.0
2680832,420.0
2700288,370.0
2720768,470.0
2740224,470.0
2760704,480.0
2780160,440.0
2800640,450.0
2820096,490.0
2840576,360.0
2860032,340.0
2880512,360.0
2900992,480.0
2920448,580.0
2940928,400.0
2960384,440.0
2980864,480.0
3000320,500.0
3020800,480.0
3040256,480.0
3060736,480.0
3080192,510.0
3100672,500.0
3120128,440.0
3140608,500.0
3160064,470.0
3180544,450.0
3200000,500.0
3220480,470.0
3240960,460.0
3260416,460.0
3280896,470.0
3300352,570.0
3320832,510.0
3340288,540.0
3360768,470.0
3380224,460.0
3400704,470.0
3420160,460.0
3440640,440.0
3460096,420.0
3480576,430.0
3500032,430.0
3520512,470.0
3540992,450.0
3560448,480.0
3580928,420.0
3600384,350.0
3620864,500.0
3640320,490.0
3660800,410.0
3680256,490.0
3700736,400.0
3720192,470.0
3740672,430.0
3760128,470.0
3780608,430.0
3800064,420.0
3820544,390.0
3840000,480.0
3860480,560.0
3880960,520.0
3900416,500.0
3920896,460.0
3940352,440.0
3960832,540.0
3980288,440.0
4000768,440.0
4020224,540.0
4040704,450.0
4060160,400.0
4080640,450.0
4100096,490.0
4120576,440.0
4140032,410.0
4160512,480.0
4180992,400.0
4200448,460.0
4220928,460.0
4240384,500.0
4260864,470.0
4280320,520.0
4300800,560.0
4320256,410.0
4340736,460.0
4360192,560.0
4380672,420.0
4400128,430.0
4420608,530.0
4440064,350.0
4460544,390.0
4480000,490.0
4500480,470.0
4520960,410.0
4540416,530.0
4560896,410.0
4580352,510.0
4600832,430.0
4620288,510.0
4640768,460.0
4660224,430.0
4680704,520.0
4700160,490.0
4720640,450.0
4740096,500.0
4760576,450.0
4780032,510.0
4800512,430.0
4820992,510.0
4840448,490.0
4860928,370.0
4880384,430.0
4900864,490.0
4920320,420.0
4940800,490.0
4960256,440.0
4980736,510.0
5000192,430.0
