Step,Value
24576,50.0
40960,0.0
65536,0.0
81920,10.0
106496,10.0
122880,10.0
147456,10.0
163840,10.0
180224,10.0
204800,10.0
221184,20.0
245760,20.0
262144,60.0
286720,20.0
303104,30.0
319488,30.0
344064,100.0
360448,60.0
385024,40.0
401408,50.0
425984,20.0
442368,120.0
466944,70.0
483328,50.0
499712,50.0
524288,90.0
540672,90.0
565248,110.0
581632,90.0
606208,140.0
622592,110.0
638976,160.0
663552,200.0
679936,190.0
704512,170.0
720896,140.0
745472,200.0
761856,170.0
786432,220.0
802816,200.0
819200,290.0
843776,220.0
860160,220.0
884736,220.0
901120,200.0
925696,220.0
942080,230.0
958464,250.0
983040,250.0
999424,290.0
1024000,290.0
1040384,320.0
1064960,270.0
1081344,250.0
1105920,250.0
1122304,360.0
1138688,260.0
1163264,300.0
1179648,320.0
1204224,270.0
1220608,270.0
1245184,330.0
1261568,340.0
1277952,420.0
1302528,340.0
1318912,410.0
1343488,400.0
1359872,360.0
1384448,340.0
1400832,370.0
1425408,300.0
1441792,380.0
1458176,320.0
1482752,360.0
1499136,370.0
1523712,410.0
1540096,430.0
1564672,440.0
1581056,380.0
1597440,320.0
1622016,410.0
1638400,340.0
1662976,400.0
1679360,440.0
1703936,300.0
1720320,440.0
1744896,420.0
1761280,450.0
1777664,370.0
1802240,440.0
1818624,450.0
1843200,390.0
1859584,370.0
1884160,380.0
1900544,320.0
1916928,430.0
1941504,480.0
1957888,450.0
1982464,380.0
1998848,450.0
2023424,480.0
2039808,440.0
2064384,440.0
2080768,350.0
2097152,380.0
2121728,500.0
2138112,360.0
2162688,450.0
2179072,460.0
2203648,460.0
2220032,440.0
2236416,460.0
2260992,400.0
2277376,380.0
2301952,420.0
2318336,420.0
2342912,500.0
2359296,410.0
2383872,410.0
2400256,380.0
2416640,470.0
2441216,420.0
2457600,480.0
2482176,510.0
2498560,440.0
2523136,390.0
2539520,450.0
2555904,410.0
2580480,450.0
2596864,480.0
2621440,420.0
2637824,450.0
2662400,410.0
2678784,450.0
2703360,490.0
2719744,500.0
2736128,500.0
2760704,440.0
2777088,560.0
2801664,440.0
2818048,420.0
2842624,450.0
2859008,440.0
2875392,490.0
2899968,520.0
2916352,420.0
2940928,460.0
2957312,460.0
2981888,500.0
2998272,430.0
3022848,440.0
3039232,440.0
3055616,470.0
3080192,380.0
3096576,350.0
3121152,460.0
3137536,490.0
3162112,420.0
3178496,450.0
3194880,430.0
3219456,480.0
3235840,490.0
3260416,470.0
3276800,430.0
3301376,550.0
3317760,470.0
3342336,510.0
3358720,500.0
3375104,330.0
3399680,470.0
3416064,530.0
3440640,480.0
3457024,460.0
3481600,490.0
3497984,420.0
3514368,510.0
3538944,500.0
3555328,430.0
3579904,490.0
3596288,400.0
3620864,510.0
3637248,450.0
3661824,440.0
3678208,440.0
3694592,500.0
3719168,370.0
3735552,500.0
3760128,490.0
3776512,540.0
3801088,430.0
3817472,480.0
3833856,440.0
3858432,490.0
3874816,500.0
3899392,490.0
3915776,550.0
3940352,410.0
3956736,410.0
3981312,520.0
3997696,410.0
4014080,550.0
4038656,430.0
4055040,490.0
4079616,530.0
4096000,440.0
4120576,510.0
4136960,400.0
4153344,450.0
4177920,510.0
4194304,410.0
4218880,490.0
4235264,510.0
4259840,490.0
4276224,430.0
4300800,480.0
4317184,440.0
4333568,530.0
4358144,540.0
4374528,460.0
4399104,490.0
4415488,450.0
4440064,490.0
4456448,530.0
4472832,380.0
4497408,420.0
4513792,490.0
4538368,450.0
4554752,490.0
4579328,400.0
4595712,470.0
4620288,470.0
4636672,450.0
4653056,580.0
4677632,440.0
4694016,510.0
4718592,480.0
4734976,400.0
4759552,520.0
4775936,420.0
4792320,510.0
4816896,470.0
4833280,470.0
4857856,520.0
4874240,560.0
4898816,560.0
4915200,450.0
4939776,430.0
4956160,520.0
4972544,430.0
4997120,450.0
