Step,Value
20480,0.0
40960,40.0
60416,80.0
80896,80.0
100352,0.0
120832,40.0
140288,0.0
160768,120.0
180224,40.0
200704,0.0
220160,40.0
240640,40.0
260096,0.0
280576,40.0
300032,0.0
320512,80.0
340992,40.0
360448,0.0
380928,80.0
400384,80.0
420864,120.0
440320,40.0
460800,0.0
480256,80.0
500736,40.0
520192,40.0
540672,120.0
560128,80.0
580608,0.0
600064,0.0
620544,40.0
640000,40.0
660480,120.0
680960,0.0
700416,80.0
720896,120.0
740352,120.0
760832,120.0
780288,200.0
800768,80.0
820224,160.0
840704,120.0
860160,160.0
880640,160.0
900096,120.0
920576,320.0
940032,280.0
960512,360.0
980992,200.0
1000448,160.0
1020928,280.0
1040384,280.0
1060864,320.0
1080320,280.0
1100800,480.0
1120256,400.0
1140736,360.0
1160192,280.0
1180672,440.0
1200128,520.0
1220608,640.0
1240064,600.0
1260544,560.0
1280000,600.0
1300480,400.0
1320960,320.0
1340416,560.0
1360896,760.0
1380352,560.0
1400832,920.0
1420288,920.0
1440768,1000.0
1460224,520.0
1480704,840.0
1500160,840.0
1520640,920.0
1540096,1120.0
1560576,1000.0
1580032,960.0
1600512,1160.0
1620992,920.0
1640448,1040.0
1660928,920.0
1680384,1120.0
1700864,1160.0
1720320,840.0
1740800,1040.0
1760256,680.0
1780736,840.0
1800192,720.0
1820672,1000.0
1840128,760.0
1860608,920.0
1880064,720.0
1900544,640.0
1920000,760.0
1940480,920.0
1960960,720.0
1980416,1160.0
2000896,880.0
2020352,1000.0
2040832,1080.0
2060288,880.0
2080768,920.0
2100224,960.0
2120704,1160.0
2140160,960.0
2160640,1200.0
2180096,1240.0
2200576,1200.0
2220032,1240.0
2240512,800.0
2260992,1080.0
2280448,1120.0
2300928,960.0
2320384,1000.0
2340864,1040.0
2360320,1400.0
2380800,1200.0
2400256,1160.0
2420736,1120.0
2440192,1000.0
2460672,1240.0
2480128,1080.0
2500608,1280.0
2520064,1080.0
2540544,1160.0
2560000,1120.0
2580480,880.0
2600960,1120.0
2620416,1160.0
2640896,1280.0
2660352,1280.0
2680832,1320.0
2700288,1200.0
2720768,1400.0
2740224,1040.0
2760704,1240.0
2780160,1480.0
2800640,1360.0
2820096,1480.0
2840576,1600.0
2860032,1480.0
2880512,1320.0
2900992,1520.0
2920448,1480.0
2940928,1280.0
2960384,1680.0
2980864,1360.0
3000320,1320.0
3020800,1400.0
3040256,1520.0
3060736,1760.0
3080192,1520.0
3100672,1520.0
3120128,1360.0
3140608,1560.0
3160064,1640.0
3180544,1440.0
3200000,1760.0
3220480,1680.0
3240960,1280.0
3260416,1680.0
3280896,1280.0
3300352,1080.0
3320832,1640.0
3340288,1320.0
3360768,1480.0
3380224,1560.0
3400704,1600.0
3420160,1640.0
3440640,1440.0
3460096,1480.0
3480576,1600.0
3500032,1640.0
3520512,1520.0
3540992,1120.0
3560448,1400.0
3580928,1600.0
3600384,1600.0
3620864,1720.0
3640320,1640.0
3660800,1720.0
3680256,1600.0
3700736,1800.0
3720192,1600.0
3740672,1520.0
3760128,1640.0
3780608,1600.0
3800064,1840.0
3820544,1560.0
3840000,1600.0
3860480,1680.0
3880960,1840.0
3900416,1760.0
3920896,1800.0
3940352,1720.0
3960832,1760.0
3980288,1760.0
4000768,1800.0
4020224,1800.0
4040704,1720.0
4060160,1600.0
4080640,1680.0
4100096,1960.0
4120576,1680.0
4140032,1800.0
4160512,1720.0
4180992,1440.0
4200448,1640.0
4220928,1680.0
4240384,1880.0
4260864,1800.0
4280320,1520.0
4300800,1280.0
4320256,1600.0
4340736,1720.0
4360192,1800.0
4380672,1800.0
4400128,1920.0
4420608,1720.0
4440064,1560.0
4460544,1840.0
4480000,1760.0
4500480,1520.0
4520960,1920.0
4540416,1640.0
4560896,2040.0
4580352,1920.0
4600832,1600.0
4620288,1760.0
4640768,1840.0
4660224,1960.0
4680704,1960.0
4700160,1960.0
4720640,1560.0
4740096,1520.0
4760576,1640.0
4780032,1880.0
4800512,1640.0
4820992,1320.0
4840448,1880.0
4860928,1840.0
4880384,1600.0
4900864,1760.0
4920320,1760.0
4940800,1840.0
4960256,1840.0
4980736,1800.0
5000192,1800.0
