Step,Value
20480,2869.800048828125
40960,3108.60009765625
60416,2786.0
80896,3075.199951171875
100352,2258.60009765625
120832,1854.5999755859375
140288,3092.199951171875
160768,3101.39990234375
180224,2611.0
200704,2911.39990234375
220160,2754.800048828125
240640,2627.39990234375
260096,3103.39990234375
280576,3172.199951171875
300032,2933.0
320512,2896.60009765625
340992,3093.800048828125
360448,3026.39990234375
380928,2497.0
400384,3145.199951171875
420864,3332.199951171875
440320,2729.60009765625
460800,3434.800048828125
480256,2731.199951171875
500736,2696.39990234375
520192,3238.199951171875
540672,2518.800048828125
560128,3170.199951171875
580608,3226.0
600064,3117.60009765625
620544,2983.0
640000,3520.199951171875
660480,3391.0
680960,3259.800048828125
700416,3184.199951171875
720896,3252.800048828125
740352,3014.800048828125
760832,3602.39990234375
780288,3323.800048828125
800768,2853.199951171875
820224,3743.60009765625
840704,3568.0
860160,2923.199951171875
880640,2948.39990234375
900096,3101.800048828125
920576,3668.199951171875
940032,2685.199951171875
960512,3515.60009765625
980992,3275.0
1000448,3571.0
1020928,3419.60009765625
1040384,3467.60009765625
1060864,3632.800048828125
1080320,3267.800048828125
1100800,3328.60009765625
1120256,3500.0
1140736,3773.199951171875
1160192,3317.39990234375
1180672,3355.199951171875
1200128,3243.39990234375
1220608,3806.60009765625
1240064,3253.0
1260544,2738.39990234375
1280000,3745.800048828125
1300480,3222.800048828125
1320960,3503.60009765625
1340416,3328.39990234375
1360896,3429.39990234375
1380352,3363.60009765625
1400832,3488.0
1420288,3600.800048828125
1440768,3808.800048828125
1460224,3204.0
1480704,3455.0
1500160,3851.199951171875
1520640,3878.39990234375
1540096,3484.199951171875
1560576,3114.0
1580032,3632.199951171875
1600512,3141.0
1620992,3759.199951171875
1640448,3660.39990234375
1660928,3404.0
1680384,3297.0
1700864,4029.199951171875
1720320,3450.39990234375
1740800,3863.800048828125
1760256,3269.39990234375
1780736,3390.60009765625
1800192,3604.199951171875
1820672,3575.60009765625
1840128,3636.39990234375
1860608,2949.0
1880064,4038.39990234375
1900544,3913.39990234375
1920000,3894.199951171875
1940480,3713.800048828125
1960960,3809.199951171875
1980416,2910.60009765625
2000896,3890.39990234375
2020352,3463.800048828125
2040832,3207.60009765625
2060288,3695.800048828125
2080768,3451.199951171875
2100224,2832.199951171875
2120704,3868.60009765625
2140160,4229.0
2160640,3890.199951171875
2180096,4347.2001953125
2200576,4014.60009765625
2220032,4289.2001953125
2240512,4885.60009765625
2260992,4107.39990234375
2280448,3454.800048828125
2300928,4643.39990234375
2320384,4345.60009765625
2340864,4963.0
2360320,4871.0
2380800,4733.2001953125
2400256,4350.2001953125
2420736,4587.0
2440192,3709.199951171875
2460672,4120.39990234375
2480128,4705.2001953125
2500608,3899.39990234375
2520064,4249.7998046875
2540544,4856.60009765625
2560000,5057.0
2580480,4261.0
2600960,4764.0
2620416,5104.2001953125
2640896,5303.2001953125
2660352,4639.7998046875
2680832,4604.7998046875
2700288,4646.39990234375
2720768,3979.0
2740224,4601.60009765625
2760704,4719.0
2780160,3948.39990234375
2800640,4798.2001953125
2820096,3994.0
2840576,5008.7998046875
2860032,4401.39990234375
2880512,4482.2001953125
2900992,4474.7998046875
2920448,4596.60009765625
2940928,5129.0
2960384,4521.60009765625
2980864,4349.2001953125
3000320,4916.0
3020800,5040.0
3040256,5182.39990234375
3060736,4166.2001953125
3080192,4507.0
3100672,4353.39990234375
3120128,4908.2001953125
3140608,4438.60009765625
3160064,3806.800048828125
3180544,4411.39990234375
3200000,4267.2001953125
3220480,4873.0
3240960,4924.2001953125
3260416,4162.0
3280896,4109.60009765625
3300352,4912.60009765625
3320832,4557.0
3340288,4170.2001953125
3360768,4675.39990234375
3380224,3914.39990234375
3400704,4291.0
3420160,3870.0
3440640,4032.60009765625
3460096,3676.800048828125
3480576,3432.0
3500032,3737.60009765625
3520512,4138.7998046875
3540992,3903.39990234375
3560448,3943.0
3580928,4250.2001953125
3600384,4045.0
3620864,3626.0
3640320,3492.800048828125
3660800,3745.800048828125
3680256,4022.39990234375
3700736,4259.2001953125
3720192,3783.800048828125
3740672,4226.2001953125
3760128,4146.2001953125
3780608,3647.60009765625
3800064,3548.39990234375
3820544,4193.39990234375
3840000,4320.0
3860480,4277.60009765625
3880960,4182.60009765625
3900416,3682.0
3920896,4493.0
3940352,4566.2001953125
3960832,4088.0
3980288,3881.800048828125
4000768,3663.60009765625
4020224,4461.60009765625
4040704,4839.0
4060160,4546.39990234375
4080640,4804.7998046875
4100096,4300.39990234375
4120576,4132.39990234375
4140032,4295.2001953125
4160512,4059.0
4180992,4225.39990234375
4200448,4781.2001953125
4220928,4082.0
4240384,4542.39990234375
4260864,4575.2001953125
4280320,4596.0
4300800,4990.39990234375
4320256,4360.0
4340736,4897.7998046875
4360192,4833.39990234375
4380672,4370.7998046875
4400128,5074.2001953125
4420608,4796.60009765625
4440064,4349.7998046875
4460544,4796.39990234375
4480000,4619.7998046875
4500480,4707.39990234375
4520960,4972.7998046875
4540416,4793.39990234375
4560896,4369.39990234375
4580352,4729.0
4600832,4835.7998046875
4620288,5206.7998046875
4640768,3541.39990234375
4660224,4417.60009765625
4680704,4565.2001953125
4700160,4645.39990234375
4720640,4198.60009765625
4740096,5027.60009765625
4760576,4761.2001953125
4780032,3939.199951171875
4800512,4577.39990234375
4820992,5212.0
4840448,5051.2001953125
4860928,4919.60009765625
4880384,3858.199951171875
4900864,4250.39990234375
4920320,4850.7998046875
4940800,4950.60009765625
4960256,4156.2001953125
4980736,4892.60009765625
5000192,4343.60009765625
