Step,Value
20480,1720.0
40960,2140.0
60416,3620.0
80896,3240.0
100352,2780.0
120832,2880.0
140288,4760.0
160768,4560.0
180224,4560.0
200704,6060.0
220160,4380.0
240640,4340.0
260096,5000.0
280576,4900.0
300032,5060.0
320512,2720.0
340992,5100.0
360448,3440.0
380928,5440.0
400384,7240.0
420864,7480.0
440320,7940.0
460800,4320.0
480256,4860.0
500736,7600.0
520192,11660.0
540672,12060.0
560128,11160.0
580608,14400.0
600064,8660.0
620544,10020.0
640000,10520.0
660480,10260.0
680960,8060.0
700416,12000.0
720896,11360.0
740352,11460.0
760832,10400.0
780288,15960.0
800768,12740.0
820224,13640.0
840704,14600.0
860160,11520.0
880640,15120.0
900096,14020.0
920576,10000.0
940032,13420.0
960512,12520.0
980992,11960.0
1000448,11480.0
1020928,20100.0
1040384,14420.0
1060864,8340.0
1080320,12520.0
1100800,8520.0
1120256,10200.0
1140736,11100.0
1160192,11800.0
1180672,13220.0
1200128,11620.0
1220608,10840.0
1240064,11060.0
1260544,14460.0
1280000,12240.0
1300480,13320.0
1320960,15800.0
1340416,11040.0
1360896,13560.0
1380352,15200.0
1400832,13700.0
1420288,14700.0
1440768,15140.0
1460224,17880.0
1480704,13400.0
1500160,19760.0
1520640,16660.0
1540096,16440.0
1560576,19000.0
1580032,26520.0
1600512,20920.0
1620992,16300.0
1640448,18160.0
1660928,24540.0
1680384,14940.0
1700864,12280.0
1720320,16460.0
1740800,15880.0
1760256,18600.0
1780736,15180.0
1800192,16940.0
1820672,17840.0
1840128,13460.0
1860608,21140.0
1880064,16100.0
1900544,18540.0
1920000,17760.0
1940480,24420.0
1960960,20860.0
1980416,22300.0
2000896,18660.0
2020352,21120.0
2040832,17240.0
2060288,13480.0
2080768,13080.0
2100224,14020.0
2120704,19880.0
2140160,15340.0
2160640,17060.0
2180096,20800.0
2200576,21320.0
2220032,15580.0
2240512,14320.0
2260992,19800.0
2280448,12020.0
2300928,14780.0
2320384,16280.0
2340864,15960.0
2360320,17280.0
2380800,16440.0
2400256,11520.0
2420736,11960.0
2440192,12480.0
2460672,13260.0
2480128,15600.0
2500608,19660.0
2520064,19580.0
2540544,21040.0
2560000,18340.0
2580480,20460.0
2600960,17160.0
2620416,21400.0
2640896,18360.0
2660352,18480.0
2680832,19200.0
2700288,16320.0
2720768,16360.0
2740224,20060.0
2760704,19580.0
2780160,21240.0
2800640,17820.0
2820096,16320.0
2840576,17840.0
2860032,19900.0
2880512,18740.0
2900992,18260.0
2920448,18500.0
2940928,17920.0
2960384,22740.0
2980864,14440.0
3000320,24100.0
3020800,20080.0
3040256,17580.0
3060736,24140.0
3080192,23140.0
3100672,16180.0
3120128,20420.0
3140608,23880.0
3160064,18500.0
3180544,16840.0
3200000,21060.0
3220480,19320.0
3240960,19580.0
3260416,19060.0
3280896,20480.0
3300352,16360.0
3320832,28380.0
3340288,20780.0
3360768,19260.0
3380224,18680.0
3400704,21900.0
3420160,18180.0
3440640,21840.0
3460096,19960.0
3480576,19020.0
3500032,15260.0
3520512,23400.0
3540992,18680.0
3560448,23340.0
3580928,18960.0
3600384,19920.0
3620864,25060.0
3640320,25260.0
3660800,23160.0
3680256,22960.0
3700736,18840.0
3720192,19580.0
3740672,21840.0
3760128,20680.0
3780608,16900.0
3800064,18560.0
3820544,19520.0
3840000,15960.0
3860480,22760.0
3880960,18800.0
3900416,23220.0
3920896,21700.0
3940352,17920.0
3960832,25780.0
3980288,25500.0
4000768,25480.0
4020224,22360.0
4040704,22840.0
4060160,30040.0
4080640,23720.0
4100096,25460.0
4120576,21700.0
4140032,19600.0
4160512,28460.0
4180992,24260.0
4200448,19020.0
4220928,26440.0
4240384,24080.0
4260864,23800.0
4280320,23220.0
4300800,24120.0
4320256,24400.0
4340736,25700.0
4360192,19560.0
4380672,24240.0
4400128,22280.0
4420608,22180.0
4440064,27240.0
4460544,27400.0
4480000,20380.0
4500480,16660.0
4520960,22740.0
4540416,24540.0
4560896,29500.0
4580352,24880.0
4600832,21120.0
4620288,25760.0
4640768,16320.0
4660224,19920.0
4680704,25800.0
4700160,20220.0
4720640,21460.0
4740096,27620.0
4760576,24260.0
4780032,20680.0
4800512,25300.0
4820992,25540.0
4840448,24500.0
4860928,20740.0
4880384,24100.0
4900864,24340.0
4920320,22920.0
4940800,24680.0
4960256,19500.0
4980736,26340.0
5000192,27080.0
