Step,Value
20480,0.0
40960,0.0
60416,0.0
80896,0.0
100352,0.0
120832,0.0
140288,0.0
160768,0.0
180224,0.0
200704,0.0
220160,0.0
240640,0.0
260096,0.0
280576,0.0
300032,0.0
320512,0.0
340992,0.0
360448,0.0
380928,0.0
400384,0.0
420864,0.0
440320,0.0
460800,0.0
480256,0.0
500736,0.0
520192,0.0
540672,0.0
560128,0.0
580608,0.0
600064,0.0
620544,0.0
640000,0.0
660480,0.0
680960,0.0
700416,0.0
720896,0.0
740352,0.0
760832,0.0
780288,0.0
800768,0.0
820224,0.0
840704,0.0
860160,0.0
880640,0.0
900096,0.0
920576,0.0
940032,0.0
960512,0.0
980992,0.0
1000448,0.0
1020928,0.0
1040384,0.0
1060864,0.0
1080320,0.0
1100800,0.0
1120256,0.0
1140736,0.0
1160192,0.0
1180672,0.0
1200128,0.0
1220608,0.0
1240064,20.0
1260544,0.0
1280000,0.0
1300480,0.0
1320960,0.0
1340416,0.0
1360896,0.0
1380352,0.0
1400832,0.0
1420288,0.0
1440768,0.0
1460224,0.0
1480704,0.0
1500160,0.0
1520640,0.0
1540096,0.0
1560576,0.0
1580032,0.0
1600512,0.0
1620992,0.0
1640448,0.0
1660928,0.0
1680384,0.0
1700864,0.0
1720320,0.0
1740800,0.0
1760256,0.0
1780736,0.0
1800192,0.0
1820672,0.0
1840128,0.0
1860608,0.0
1880064,0.0
1900544,0.0
1920000,0.0
1940480,0.0
1960960,0.0
1980416,0.0
2000896,0.0
2020352,0.0
2040832,0.0
2060288,0.0
2080768,0.0
2100224,0.0
2120704,0.0
2140160,0.0
2160640,0.0
2180096,0.0
2200576,0.0
2220032,0.0
2240512,0.0
2260992,0.0
2280448,0.0
2300928,0.0
2320384,0.0
2340864,0.0
2360320,0.0
2380800,0.0
2400256,0.0
2420736,0.0
2440192,0.0
2460672,0.0
2480128,0.0
2500608,0.0
2520064,0.0
2540544,0.0
2560000,0.0
2580480,0.0
2600960,0.0
2620416,0.0
2640896,0.0
2660352,0.0
2680832,0.0
2700288,0.0
2720768,0.0
2740224,0.0
2760704,0.0
2780160,0.0
2800640,0.0
2820096,0.0
2840576,0.0
2860032,0.0
2880512,0.0
2900992,20.0
2920448,0.0
2940928,0.0
2960384,0.0
2980864,0.0
3000320,0.0
3020800,0.0
3040256,0.0
3060736,0.0
3080192,0.0
3100672,0.0
3120128,0.0
3140608,0.0
3160064,0.0
3180544,80.0
3200000,0.0
3220480,0.0
3240960,0.0
3260416,0.0
3280896,0.0
3300352,0.0
3320832,0.0
3340288,0.0
3360768,0.0
3380224,0.0
3400704,0.0
3420160,0.0
3440640,0.0
3460096,0.0
3480576,0.0
3500032,0.0
3520512,0.0
3540992,0.0
3560448,0.0
3580928,0.0
3600384,0.0
3620864,0.0
3640320,0.0
3660800,0.0
3680256,0.0
3700736,0.0
3720192,0.0
3740672,0.0
3760128,0.0
3780608,0.0
3800064,0.0
3820544,0.0
3840000,0.0
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,0.0
3980288,0.0
4000768,0.0
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,0.0
4140032,0.0
4160512,0.0
4180992,0.0
4200448,0.0
4220928,0.0
4240384,0.0
4260864,0.0
4280320,0.0
4300800,0.0
4320256,0.0
4340736,0.0
4360192,0.0
4380672,0.0
4400128,0.0
4420608,0.0
4440064,0.0
4460544,0.0
4480000,0.0
4500480,0.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,0.0
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,0.0
4740096,0.0
4760576,0.0
4780032,0.0
4800512,0.0
4820992,0.0
4840448,0.0
4860928,0.0
4880384,0.0
4900864,0.0
4920320,0.0
4940800,0.0
4960256,0.0
4980736,0.0
5000192,0.0
