Step,Value
20480,2354.0
40960,1630.0
60416,2382.0
80896,2438.0
100352,2510.0
120832,2790.0
140288,1776.0
160768,2810.0
180224,2712.0
200704,2248.0
220160,1968.0
240640,2520.0
260096,2610.0
280576,2878.0
300032,2576.0
320512,2772.0
340992,1698.0
360448,2434.0
380928,2382.0
400384,2248.0
420864,2378.0
440320,2172.0
460800,2124.0
480256,2024.0
500736,2326.0
520192,2198.0
540672,1824.0
560128,2268.0
580608,1728.0
600064,1784.0
620544,2110.0
640000,1640.0
660480,1614.0
680960,2040.0
700416,2314.0
720896,2628.0
740352,1942.0
760832,2296.0
780288,2528.0
800768,2228.0
820224,2592.0
840704,2504.0
860160,2816.0
880640,2634.0
900096,2246.0
920576,2214.0
940032,2200.0
960512,2412.0
980992,2116.0
1000448,2044.0
1020928,2036.0
1040384,1810.0
1060864,2106.0
1080320,2168.0
1100800,2688.0
1120256,2288.0
1140736,2952.0
1160192,3548.0
1180672,1816.0
1200128,2344.0
1220608,2210.0
1240064,2466.0
1260544,2338.0
1280000,2018.0
1300480,1896.0
1320960,2756.0
1340416,2018.0
1360896,2678.0
1380352,2834.0
1400832,2666.0
1420288,2628.0
1440768,2866.0
1460224,2794.0
1480704,2872.0
1500160,2454.0
1520640,2594.0
1540096,2538.0
1560576,2802.0
1580032,2646.0
1600512,2634.0
1620992,1870.0
1640448,2162.0
1660928,3188.0
1680384,2568.0
1700864,2654.0
1720320,3650.0
1740800,3662.0
1760256,3990.0
1780736,2946.0
1800192,2690.0
1820672,2144.0
1840128,2524.0
1860608,1846.0
1880064,2686.0
1900544,2954.0
1920000,1782.0
1940480,2598.0
1960960,2920.0
1980416,2522.0
2000896,2794.0
2020352,2674.0
2040832,3016.0
2060288,1956.0
2080768,2448.0
2100224,2286.0
2120704,3296.0
2140160,2614.0
2160640,2050.0
2180096,3004.0
2200576,2818.0
2220032,2806.0
2240512,2856.0
2260992,2932.0
2280448,2636.0
2300928,2380.0
2320384,3928.0
2340864,3688.0
2360320,3426.0
2380800,3524.0
2400256,3486.0
2420736,3752.0
2440192,3608.0
2460672,2776.0
2480128,3294.0
2500608,4202.0
2520064,4632.0
2540544,4176.0
2560000,4236.0
2580480,4250.0
2600960,3870.0
2620416,4634.0
2640896,4456.0
2660352,4922.0
2680832,3860.0
2700288,3616.0
2720768,4728.0
2740224,3602.0
2760704,4616.0
2780160,4516.0
2800640,4592.0
2820096,5140.0
2840576,3822.0
2860032,4830.0
2880512,3588.0
2900992,4020.0
2920448,4772.0
2940928,4088.0
2960384,4434.0
2980864,4898.0
3000320,4202.0
3020800,4282.0
3040256,4954.0
3060736,5012.0
3080192,4826.0
3100672,4440.0
3120128,4816.0
3140608,5456.0
3160064,4368.0
3180544,4810.0
3200000,4148.0
3220480,4176.0
3240960,4816.0
3260416,5382.0
3280896,5126.0
3300352,4670.0
3320832,5212.0
3340288,5758.0
3360768,4420.0
3380224,4688.0
3400704,4442.0
3420160,5060.0
3440640,4364.0
3460096,4526.0
3480576,4822.0
3500032,4548.0
3520512,4764.0
3540992,4942.0
3560448,4690.0
3580928,5474.0
3600384,5002.0
3620864,4468.0
3640320,4956.0
3660800,5020.0
3680256,4974.0
3700736,5088.0
3720192,4716.0
3740672,4894.0
3760128,5132.0
3780608,4994.0
3800064,4708.0
3820544,5294.0
3840000,5136.0
3860480,5218.0
3880960,4992.0
3900416,5650.0
3920896,4450.0
3940352,5150.0
3960832,5080.0
3980288,5142.0
4000768,5088.0
4020224,5384.0
4040704,4884.0
4060160,4584.0
4080640,5038.0
4100096,4628.0
4120576,4924.0
4140032,4626.0
4160512,5306.0
4180992,5174.0
4200448,5722.0
4220928,4902.0
4240384,5702.0
4260864,5208.0
4280320,6034.0
4300800,5214.0
4320256,4862.0
4340736,5058.0
4360192,5302.0
4380672,5686.0
4400128,5200.0
4420608,5044.0
4440064,5088.0
4460544,4686.0
4480000,5550.0
4500480,5746.0
4520960,5422.0
4540416,5274.0
4560896,5552.0
4580352,6030.0
4600832,5502.0
4620288,5682.0
4640768,5496.0
4660224,5240.0
4680704,5488.0
4700160,4930.0
4720640,5952.0
4740096,4588.0
4760576,4690.0
4780032,5650.0
4800512,5444.0
4820992,5176.0
4840448,5430.0
4860928,5798.0
4880384,5390.0
4900864,5542.0
4920320,5460.0
4940800,5688.0
4960256,5024.0
4980736,5708.0
5000192,5686.0
