Step,Value
20480,-419.3999938964844
40960,-8.800000190734863
60416,-17.399999618530273
80896,-31.399999618530273
100352,-106.0
120832,-13.600000381469727
140288,-91.19999694824219
160768,-60.0
180224,-134.60000610351562
200704,-41.79999923706055
220160,-6.199999809265137
240640,-30.600000381469727
260096,-24.799999237060547
280576,-3.200000047683716
300032,-1.0
320512,-12.399999618530273
340992,-4.800000190734863
360448,-3.5999999046325684
380928,-10.0
400384,-4.400000095367432
420864,-10.0
440320,-75.4000015258789
460800,-17.399999618530273
480256,0.0
500736,-21.0
520192,-6.400000095367432
540672,-30.0
560128,-16.200000762939453
580608,-10.0
600064,-5.599999904632568
620544,-453.0
640000,-233.39999389648438
660480,-188.0
680960,-60.20000076293945
700416,-30.0
720896,-60.20000076293945
740352,-180.0
760832,0.0
780288,-95.19999694824219
800768,-21.799999237060547
820224,-72.19999694824219
840704,-58.20000076293945
860160,-21.0
880640,-20.0
900096,-38.20000076293945
920576,-80.4000015258789
940032,-49.79999923706055
960512,-55.0
980992,-421.79998779296875
1000448,-306.79998779296875
1020928,-140.39999389648438
1040384,-62.79999923706055
1060864,-164.60000610351562
1080320,-223.8000030517578
1100800,-614.0
1120256,-238.1999969482422
1140736,-287.0
1160192,-357.6000061035156
1180672,-303.3999938964844
1200128,-215.39999389648438
1220608,-369.20001220703125
1240064,-482.79998779296875
1260544,-319.3999938964844
1280000,-212.1999969482422
1300480,-465.0
1320960,-40.20000076293945
1340416,-19.600000381469727
1360896,-189.0
1380352,-168.0
1400832,-244.39999389648438
1420288,-199.0
1440768,-70.4000015258789
1460224,-60.0
1480704,-158.8000030517578
1500160,-259.0
1520640,-600.4000244140625
1540096,-642.7999877929688
1560576,-480.79998779296875
1580032,-183.39999389648438
1600512,-0.4000000059604645
1620992,-95.19999694824219
1640448,-42.79999923706055
1660928,-52.20000076293945
1680384,-22.799999237060547
1700864,-23.799999237060547
1720320,-214.39999389648438
1740800,-42.20000076293945
1760256,-72.4000015258789
1780736,-4.199999809265137
1800192,-3.0
1820672,-120.0
1840128,-41.20000076293945
1860608,-80.0
1880064,-31.799999237060547
1900544,-5.199999809265137
1920000,-22.399999618530273
1940480,-3.799999952316284
1960960,-20.0
1980416,-65.19999694824219
2000896,-34.79999923706055
2020352,-124.0
2040832,-3.0
2060288,-2.200000047683716
2080768,-22.799999237060547
2100224,-111.4000015258789
2120704,-66.19999694824219
2140160,-26.399999618530273
2160640,-2.5999999046325684
2180096,-4.599999904632568
2200576,-24.0
2220032,-13.800000190734863
2240512,-32.400001525878906
2260992,-4.800000190734863
2280448,-5.199999809265137
2300928,0.0
2320384,-18.799999237060547
2340864,-6.599999904632568
2360320,0.0
2380800,-10.399999618530273
2400256,-70.80000305175781
2420736,-10.399999618530273
2440192,-4.400000095367432
2460672,-5.199999809265137
2480128,0.0
2500608,-3.799999952316284
2520064,-5.599999904632568
2540544,-6.800000190734863
2560000,0.0
2580480,-29.399999618530273
2600960,0.0
2620416,-9.600000381469727
2640896,-7.0
2660352,-6.599999904632568
2680832,-8.600000381469727
2700288,0.0
2720768,-12.399999618530273
2740224,-1.7999999523162842
2760704,-17.799999237060547
2780160,-7.800000190734863
2800640,-7.199999809265137
2820096,-14.0
2840576,-5.400000095367432
2860032,-8.199999809265137
2880512,-4.199999809265137
2900992,-4.0
2920448,0.0
2940928,-1.2000000476837158
2960384,-11.0
2980864,-2.200000047683716
3000320,-9.800000190734863
3020800,0.0
3040256,-5.0
3060736,-2.799999952316284
3080192,-4.800000190734863
3100672,-14.0
3120128,0.0
3140608,-9.199999809265137
3160064,0.0
3180544,-40.0
3200000,0.0
3220480,-4.800000190734863
3240960,-4.800000190734863
3260416,0.0
3280896,0.0
3300352,0.0
3320832,-14.399999618530273
3340288,0.0
3360768,-13.800000190734863
3380224,-4.800000190734863
3400704,0.0
3420160,0.0
3440640,-4.800000190734863
3460096,0.0
3480576,-4.199999809265137
3500032,-40.0
3520512,-16.399999618530273
3540992,-8.0
3560448,-4.800000190734863
3580928,0.0
3600384,-4.800000190734863
3620864,0.0
3640320,-8.399999618530273
3660800,0.0
3680256,-5.199999809265137
3700736,-8.0
3720192,0.0
3740672,-5.199999809265137
3760128,-5.199999809265137
3780608,-8.199999809265137
3800064,-7.400000095367432
3820544,-64.80000305175781
3840000,-9.600000381469727
3860480,0.0
3880960,0.0
3900416,0.0
3920896,0.0
3940352,0.0
3960832,-4.800000190734863
3980288,0.0
4000768,-1.600000023841858
4020224,0.0
4040704,0.0
4060160,0.0
4080640,0.0
4100096,0.0
4120576,0.0
4140032,-7.400000095367432
4160512,-1.7999999523162842
4180992,-5.199999809265137
4200448,-8.0
4220928,0.0
4240384,0.0
4260864,-31.399999618530273
4280320,0.0
4300800,-5.199999809265137
4320256,-1.399999976158142
4340736,0.0
4360192,-5.199999809265137
4380672,-3.5999999046325684
4400128,-5.599999904632568
4420608,-4.800000190734863
4440064,0.0
4460544,0.0
4480000,0.0
4500480,-20.0
4520960,0.0
4540416,0.0
4560896,0.0
4580352,-5.599999904632568
4600832,0.0
4620288,0.0
4640768,0.0
4660224,0.0
4680704,0.0
4700160,0.0
4720640,-4.800000190734863
4740096,-7.400000095367432
4760576,0.0
4780032,0.0
4800512,-4.800000190734863
4820992,0.0
4840448,-4.800000190734863
4860928,-4.800000190734863
4880384,0.0
4900864,0.0
4920320,-4.800000190734863
4940800,0.0
4960256,0.0
4980736,0.0
5000192,-4.800000190734863
