Step,Value
20480,260.0
40960,285.0
60416,275.0
80896,265.0
100352,255.0
120832,320.0
140288,285.0
160768,310.0
180224,240.0
200704,270.0
220160,355.0
240640,310.0
260096,285.0
280576,325.0
300032,320.0
320512,295.0
340992,275.0
360448,395.0
380928,325.0
400384,350.0
420864,375.0
440320,270.0
460800,370.0
480256,385.0
500736,405.0
520192,590.0
540672,305.0
560128,520.0
580608,335.0
600064,325.0
620544,360.0
640000,345.0
660480,445.0
680960,385.0
700416,520.0
720896,280.0
740352,415.0
760832,470.0
780288,550.0
800768,405.0
820224,465.0
840704,285.0
860160,530.0
880640,435.0
900096,370.0
920576,315.0
940032,395.0
960512,355.0
980992,440.0
1000448,445.0
1020928,380.0
1040384,615.0
1060864,570.0
1080320,635.0
1100800,450.0
1120256,475.0
1140736,455.0
1160192,440.0
1180672,485.0
1200128,450.0
1220608,320.0
1240064,460.0
1260544,405.0
1280000,450.0
1300480,585.0
1320960,595.0
1340416,345.0
1360896,520.0
1380352,465.0
1400832,550.0
1420288,355.0
1440768,350.0
1460224,565.0
1480704,570.0
1500160,560.0
1520640,550.0
1540096,550.0
1560576,600.0
1580032,640.0
1600512,685.0
1620992,745.0
1640448,625.0
1660928,635.0
1680384,650.0
1700864,620.0
1720320,525.0
1740800,475.0
1760256,315.0
1780736,535.0
1800192,555.0
1820672,545.0
1840128,565.0
1860608,615.0
1880064,735.0
1900544,825.0
1920000,590.0
1940480,760.0
1960960,740.0
1980416,735.0
2000896,735.0
2020352,720.0
2040832,720.0
2060288,765.0
2080768,730.0
2100224,740.0
2120704,735.0
2140160,695.0
2160640,730.0
2180096,935.0
2200576,710.0
2220032,755.0
2240512,745.0
2260992,845.0
2280448,740.0
2300928,760.0
2320384,840.0
2340864,850.0
2360320,745.0
2380800,800.0
2400256,750.0
2420736,725.0
2440192,745.0
2460672,855.0
2480128,755.0
2500608,750.0
2520064,750.0
2540544,760.0
2560000,775.0
2580480,765.0
2600960,770.0
2620416,890.0
2640896,770.0
2660352,780.0
2680832,750.0
2700288,750.0
2720768,775.0
2740224,755.0
2760704,770.0
2780160,770.0
2800640,765.0
2820096,770.0
2840576,775.0
2860032,880.0
2880512,770.0
2900992,1440.0
2920448,770.0
2940928,770.0
2960384,760.0
2980864,775.0
3000320,1460.0
3020800,1435.0
3040256,775.0
3060736,915.0
3080192,1650.0
3100672,885.0
3120128,900.0
3140608,990.0
3160064,1545.0
3180544,1560.0
3200000,870.0
3220480,820.0
3240960,985.0
3260416,995.0
3280896,765.0
3300352,890.0
3320832,790.0
3340288,900.0
3360768,1080.0
3380224,975.0
3400704,900.0
3420160,890.0
3440640,800.0
3460096,750.0
3480576,790.0
3500032,935.0
3520512,825.0
3540992,1105.0
3560448,1120.0
3580928,995.0
3600384,805.0
3620864,790.0
3640320,590.0
3660800,800.0
3680256,800.0
3700736,2060.0
3720192,635.0
3740672,720.0
3760128,530.0
3780608,815.0
3800064,1435.0
3820544,1565.0
3840000,1750.0
3860480,885.0
3880960,865.0
3900416,1640.0
3920896,990.0
3940352,1115.0
3960832,680.0
3980288,895.0
4000768,1775.0
4020224,1200.0
4040704,870.0
4060160,1660.0
4080640,1595.0
4100096,1390.0
4120576,2750.0
4140032,910.0
4160512,1795.0
4180992,1000.0
4200448,1775.0
4220928,1115.0
4240384,2480.0
4260864,1050.0
4280320,1950.0
4300800,2465.0
4320256,4505.0
4340736,4535.0
4360192,3900.0
4380672,3805.0
4400128,3795.0
4420608,2290.0
4440064,2365.0
4460544,2410.0
4480000,2440.0
4500480,2410.0
4520960,2775.0
4540416,3970.0
4560896,3115.0
4580352,4320.0
4600832,3990.0
4620288,4625.0
4640768,2345.0
4660224,2215.0
4680704,2805.0
4700160,3760.0
4720640,4425.0
4740096,3665.0
4760576,3975.0
4780032,3565.0
4800512,4330.0
4820992,4450.0
4840448,4485.0
4860928,4320.0
4880384,2905.0
4900864,3775.0
4920320,3770.0
4940800,3855.0
4960256,3960.0
4980736,3665.0
5000192,3590.0
