Step,Value
20480,1184.0
40960,1520.0
60416,1674.0
80896,1620.0
100352,1420.0
120832,1636.0
140288,1914.0
160768,2032.0
180224,1746.0
200704,1954.0
220160,2306.0
240640,2224.0
260096,2198.0
280576,2086.0
300032,2210.0
320512,2140.0
340992,2190.0
360448,1804.0
380928,1984.0
400384,2508.0
420864,2048.0
440320,2470.0
460800,2478.0
480256,2320.0
500736,2330.0
520192,2528.0
540672,2402.0
560128,2150.0
580608,2412.0
600064,2360.0
620544,2434.0
640000,2462.0
660480,2466.0
680960,2196.0
700416,2418.0
720896,2458.0
740352,2644.0
760832,2320.0
780288,2430.0
800768,2444.0
820224,2350.0
840704,2550.0
860160,2412.0
880640,2514.0
900096,2080.0
920576,2622.0
940032,2458.0
960512,2472.0
980992,2478.0
1000448,2682.0
1020928,2720.0
1040384,2512.0
1060864,2406.0
1080320,2608.0
1100800,2530.0
1120256,2440.0
1140736,2598.0
1160192,2406.0
1180672,2400.0
1200128,2476.0
1220608,2492.0
1240064,2406.0
1260544,2646.0
1280000,2358.0
1300480,2424.0
1320960,2318.0
1340416,2418.0
1360896,2396.0
1380352,2458.0
1400832,2628.0
1420288,2530.0
1440768,2582.0
1460224,2524.0
1480704,2432.0
1500160,2432.0
1520640,2470.0
1540096,2574.0
1560576,2530.0
1580032,2490.0
1600512,2488.0
1620992,2366.0
1640448,2684.0
1660928,2588.0
1680384,2684.0
1700864,2522.0
1720320,2608.0
1740800,2538.0
1760256,2594.0
1780736,2594.0
1800192,2570.0
1820672,2834.0
1840128,2678.0
1860608,2612.0
1880064,2552.0
1900544,2488.0
1920000,2580.0
1940480,2534.0
1960960,2716.0
1980416,2474.0
2000896,2584.0
2020352,2594.0
2040832,2652.0
2060288,2634.0
2080768,2486.0
2100224,2638.0
2120704,2730.0
2140160,2650.0
2160640,2568.0
2180096,2604.0
2200576,2644.0
2220032,2722.0
2240512,2570.0
2260992,2596.0
2280448,2660.0
2300928,2582.0
2320384,2578.0
2340864,2602.0
2360320,2634.0
2380800,2670.0
2400256,2624.0
2420736,2690.0
2440192,2640.0
2460672,2654.0
2480128,2682.0
2500608,2680.0
2520064,2724.0
2540544,2664.0
2560000,2646.0
2580480,2548.0
2600960,2652.0
2620416,2718.0
2640896,2706.0
2660352,2718.0
2680832,2706.0
2700288,2658.0
2720768,2752.0
2740224,2764.0
2760704,2626.0
2780160,2698.0
2800640,2634.0
2820096,2612.0
2840576,2634.0
2860032,2588.0
2880512,2646.0
2900992,2588.0
2920448,2686.0
2940928,2674.0
2960384,2708.0
2980864,2508.0
3000320,2796.0
3020800,2644.0
3040256,2738.0
3060736,2764.0
3080192,2898.0
3100672,2636.0
3120128,2580.0
3140608,2646.0
3160064,2676.0
3180544,2662.0
3200000,2706.0
3220480,2686.0
3240960,2748.0
3260416,2676.0
3280896,2778.0
3300352,2648.0
3320832,2596.0
3340288,2688.0
3360768,2718.0
3380224,2708.0
3400704,2672.0
3420160,2688.0
3440640,2756.0
3460096,2758.0
3480576,2630.0
3500032,2732.0
3520512,2748.0
3540992,2636.0
3560448,2742.0
3580928,2662.0
3600384,2730.0
3620864,2664.0
3640320,2696.0
3660800,2676.0
3680256,2588.0
3700736,2642.0
3720192,2646.0
3740672,2690.0
3760128,2740.0
3780608,2664.0
3800064,2714.0
3820544,2754.0
3840000,2724.0
3860480,2694.0
3880960,2666.0
3900416,2784.0
3920896,2748.0
3940352,2772.0
3960832,2712.0
3980288,2702.0
4000768,2604.0
4020224,2742.0
4040704,2700.0
4060160,2736.0
4080640,2610.0
4100096,2766.0
4120576,2784.0
4140032,2682.0
4160512,2654.0
4180992,2748.0
4200448,2744.0
4220928,2820.0
4240384,2726.0
4260864,2772.0
4280320,2720.0
4300800,2730.0
4320256,2748.0
4340736,2676.0
4360192,2616.0
4380672,2660.0
4400128,2690.0
4420608,2732.0
4440064,2742.0
4460544,2778.0
4480000,2784.0
4500480,2726.0
4520960,2734.0
4540416,2742.0
4560896,2760.0
4580352,2808.0
4600832,2810.0
4620288,2686.0
4640768,2760.0
4660224,2762.0
4680704,2710.0
4700160,2772.0
4720640,2736.0
4740096,2792.0
4760576,2730.0
4780032,2720.0
4800512,2698.0
4820992,2760.0
4840448,2624.0
4860928,2670.0
4880384,2732.0
4900864,2690.0
4920320,2678.0
4940800,2696.0
4960256,2814.0
4980736,2772.0
5000192,2748.0
