Step,Value
20480,352.0
40960,396.0
60416,532.0
80896,340.0
100352,508.0
120832,568.0
140288,412.0
160768,396.0
180224,420.0
200704,504.0
220160,532.0
240640,468.0
260096,436.0
280576,480.0
300032,612.0
320512,504.0
340992,496.0
360448,596.0
380928,648.0
400384,664.0
420864,608.0
440320,716.0
460800,692.0
480256,700.0
500736,612.0
520192,748.0
540672,552.0
560128,604.0
580608,556.0
600064,636.0
620544,744.0
640000,688.0
660480,720.0
680960,796.0
700416,768.0
720896,660.0
740352,800.0
760832,740.0
780288,756.0
800768,756.0
820224,760.0
840704,828.0
860160,768.0
880640,804.0
900096,708.0
920576,816.0
940032,804.0
960512,776.0
980992,820.0
1000448,808.0
1020928,808.0
1040384,784.0
1060864,804.0
1080320,868.0
1100800,852.0
1120256,780.0
1140736,788.0
1160192,836.0
1180672,816.0
1200128,796.0
1220608,840.0
1240064,832.0
1260544,756.0
1280000,856.0
1300480,820.0
1320960,820.0
1340416,816.0
1360896,856.0
1380352,824.0
1400832,756.0
1420288,780.0
1440768,744.0
1460224,860.0
1480704,804.0
1500160,836.0
1520640,816.0
1540096,860.0
1560576,812.0
1580032,860.0
1600512,808.0
1620992,812.0
1640448,852.0
1660928,824.0
1680384,848.0
1700864,812.0
1720320,804.0
1740800,868.0
1760256,856.0
1780736,820.0
1800192,848.0
1820672,880.0
1840128,848.0
1860608,768.0
1880064,852.0
1900544,840.0
1920000,852.0
1940480,832.0
1960960,864.0
1980416,836.0
2000896,856.0
2020352,884.0
2040832,820.0
2060288,844.0
2080768,880.0
2100224,880.0
2120704,880.0
2140160,860.0
2160640,884.0
2180096,884.0
2200576,872.0
2220032,872.0
2240512,884.0
2260992,884.0
2280448,836.0
2300928,888.0
2320384,840.0
2340864,804.0
2360320,748.0
2380800,800.0
2400256,856.0
2420736,864.0
2440192,876.0
2460672,824.0
2480128,880.0
2500608,888.0
2520064,884.0
2540544,892.0
2560000,896.0
2580480,852.0
2600960,872.0
2620416,888.0
2640896,884.0
2660352,884.0
2680832,852.0
2700288,896.0
2720768,852.0
2740224,884.0
2760704,852.0
2780160,848.0
2800640,860.0
2820096,888.0
2840576,880.0
2860032,880.0
2880512,880.0
2900992,884.0
2920448,892.0
2940928,888.0
2960384,896.0
2980864,892.0
3000320,888.0
3020800,884.0
3040256,888.0
3060736,888.0
3080192,888.0
3100672,856.0
3120128,892.0
3140608,876.0
3160064,852.0
3180544,888.0
3200000,880.0
3220480,884.0
3240960,880.0
3260416,884.0
3280896,884.0
3300352,892.0
3320832,856.0
3340288,884.0
3360768,892.0
3380224,884.0
3400704,896.0
3420160,892.0
3440640,880.0
3460096,880.0
3480576,888.0
3500032,876.0
3520512,908.0
3540992,904.0
3560448,888.0
3580928,896.0
3600384,888.0
3620864,892.0
3640320,860.0
3660800,884.0
3680256,888.0
3700736,888.0
3720192,908.0
3740672,888.0
3760128,888.0
3780608,896.0
3800064,900.0
3820544,884.0
3840000,896.0
3860480,896.0
3880960,892.0
3900416,904.0
3920896,896.0
3940352,888.0
3960832,896.0
3980288,904.0
4000768,904.0
4020224,892.0
4040704,896.0
4060160,888.0
4080640,900.0
4100096,888.0
4120576,892.0
4140032,896.0
4160512,896.0
4180992,896.0
4200448,896.0
4220928,908.0
4240384,892.0
4260864,892.0
4280320,888.0
4300800,884.0
4320256,904.0
4340736,888.0
4360192,892.0
4380672,896.0
4400128,896.0
4420608,896.0
4440064,904.0
4460544,888.0
4480000,892.0
4500480,900.0
4520960,896.0
4540416,888.0
4560896,884.0
4580352,900.0
4600832,904.0
4620288,892.0
4640768,892.0
4660224,892.0
4680704,884.0
4700160,872.0
4720640,892.0
4740096,884.0
4760576,892.0
4780032,896.0
4800512,904.0
4820992,892.0
4840448,892.0
4860928,888.0
4880384,904.0
4900864,892.0
4920320,896.0
4940800,892.0
4960256,896.0
4980736,900.0
5000192,904.0
