Step,Value
20480,157.0
40960,165.0
60416,245.0
80896,283.0
100352,278.0
120832,267.0
140288,260.0
160768,233.0
180224,271.0
200704,198.0
220160,302.0
240640,195.0
260096,296.0
280576,204.0
300032,340.0
320512,312.0
340992,250.0
360448,220.0
380928,308.0
400384,256.0
420864,280.0
440320,274.0
460800,224.0
480256,247.0
500736,369.0
520192,340.0
540672,341.0
560128,280.0
580608,321.0
600064,326.0
620544,399.0
640000,226.0
660480,500.0
680960,394.0
700416,246.0
720896,383.0
740352,344.0
760832,349.0
780288,326.0
800768,361.0
820224,404.0
840704,394.0
860160,379.0
880640,418.0
900096,468.0
920576,436.0
940032,477.0
960512,309.0
980992,390.0
1000448,523.0
1020928,862.0
1040384,529.0
1060864,520.0
1080320,372.0
1100800,450.0
1120256,512.0
1140736,424.0
1160192,639.0
1180672,517.0
1200128,494.0
1220608,656.0
1240064,494.0
1260544,597.0
1280000,588.0
1300480,523.0
1320960,600.0
1340416,841.0
1360896,578.0
1380352,856.0
1400832,494.0
1420288,434.0
1440768,735.0
1460224,491.0
1480704,577.0
1500160,622.0
1520640,560.0
1540096,848.0
1560576,569.0
1580032,718.0
1600512,588.0
1620992,613.0
1640448,678.0
1660928,650.0
1680384,626.0
1700864,588.0
1720320,480.0
1740800,631.0
1760256,524.0
1780736,570.0
1800192,579.0
1820672,546.0
1840128,719.0
1860608,677.0
1880064,538.0
1900544,694.0
1920000,498.0
1940480,692.0
1960960,1208.0
1980416,677.0
2000896,601.0
2020352,587.0
2040832,603.0
2060288,812.0
2080768,657.0
2100224,724.0
2120704,492.0
2140160,777.0
2160640,788.0
2180096,532.0
2200576,840.0
2220032,676.0
2240512,610.0
2260992,737.0
2280448,971.0
2300928,744.0
2320384,1061.0
2340864,637.0
2360320,747.0
2380800,757.0
2400256,592.0
2420736,865.0
2440192,572.0
2460672,465.0
2480128,836.0
2500608,694.0
2520064,782.0
2540544,812.0
2560000,725.0
2580480,498.0
2600960,585.0
2620416,506.0
2640896,778.0
2660352,783.0
2680832,706.0
2700288,928.0
2720768,661.0
2740224,743.0
2760704,733.0
2780160,869.0
2800640,600.0
2820096,654.0
2840576,536.0
2860032,516.0
2880512,743.0
2900992,579.0
2920448,859.0
2940928,629.0
2960384,1023.0
2980864,983.0
3000320,882.0
3020800,1093.0
3040256,722.0
3060736,870.0
3080192,925.0
3100672,709.0
3120128,591.0
3140608,953.0
3160064,952.0
3180544,780.0
3200000,835.0
3220480,784.0
3240960,696.0
3260416,780.0
3280896,606.0
3300352,787.0
3320832,601.0
3340288,825.0
3360768,822.0
3380224,693.0
3400704,851.0
3420160,725.0
3440640,1152.0
3460096,868.0
3480576,884.0
3500032,906.0
3520512,1085.0
3540992,997.0
3560448,849.0
3580928,954.0
3600384,976.0
3620864,578.0
3640320,771.0
3660800,693.0
3680256,1037.0
3700736,901.0
3720192,1127.0
3740672,883.0
3760128,1080.0
3780608,1237.0
3800064,856.0
3820544,1164.0
3840000,883.0
3860480,715.0
3880960,1076.0
3900416,1344.0
3920896,1296.0
3940352,1026.0
3960832,914.0
3980288,753.0
4000768,847.0
4020224,1091.0
4040704,1186.0
4060160,724.0
4080640,842.0
4100096,1384.0
4120576,624.0
4140032,695.0
4160512,635.0
4180992,1162.0
4200448,921.0
4220928,1091.0
4240384,699.0
4260864,709.0
4280320,1090.0
4300800,1122.0
4320256,896.0
4340736,1204.0
4360192,908.0
4380672,803.0
4400128,811.0
4420608,858.0
4440064,928.0
4460544,1243.0
4480000,674.0
4500480,1347.0
4520960,800.0
4540416,1005.0
4560896,1460.0
4580352,993.0
4600832,843.0
4620288,1126.0
4640768,844.0
4660224,666.0
4680704,622.0
4700160,775.0
4720640,955.0
4740096,1005.0
4760576,752.0
4780032,1242.0
4800512,969.0
4820992,994.0
4840448,834.0
4860928,572.0
4880384,626.0
4900864,728.0
4920320,715.0
4940800,589.0
4960256,919.0
4980736,711.0
5000192,1125.0
