Step,Value
20480,1020.0
40960,860.0
60416,780.0
80896,800.0
100352,740.0
120832,720.0
140288,640.0
160768,1080.0
180224,1100.0
200704,1160.0
220160,760.0
240640,1220.0
260096,1040.0
280576,1020.0
300032,980.0
320512,1000.0
340992,1240.0
360448,1400.0
380928,1240.0
400384,1140.0
420864,1400.0
440320,1420.0
460800,1420.0
480256,1160.0
500736,2320.0
520192,1480.0
540672,2600.0
560128,2100.0
580608,1740.0
600064,1180.0
620544,1220.0
640000,1700.0
660480,1380.0
680960,1680.0
700416,2280.0
720896,1880.0
740352,1180.0
760832,2560.0
780288,1680.0
800768,2840.0
820224,2520.0
840704,1860.0
860160,1640.0
880640,2420.0
900096,2240.0
920576,2580.0
940032,1860.0
960512,2680.0
980992,2100.0
1000448,2860.0
1020928,2680.0
1040384,1800.0
1060864,2140.0
1080320,1900.0
1100800,2700.0
1120256,2700.0
1140736,2920.0
1160192,2640.0
1180672,3560.0
1200128,2260.0
1220608,2680.0
1240064,2380.0
1260544,2220.0
1280000,2540.0
1300480,2740.0
1320960,2720.0
1340416,2920.0
1360896,2180.0
1380352,2860.0
1400832,3200.0
1420288,2500.0
1440768,1940.0
1460224,2660.0
1480704,2240.0
1500160,4560.0
1520640,2440.0
1540096,4120.0
1560576,3440.0
1580032,3800.0
1600512,2940.0
1620992,3660.0
1640448,4480.0
1660928,3280.0
1680384,3860.0
1700864,3460.0
1720320,3000.0
1740800,3580.0
1760256,3520.0
1780736,3620.0
1800192,4240.0
1820672,4040.0
1840128,4960.0
1860608,4560.0
1880064,5240.0
1900544,4580.0
1920000,4420.0
1940480,4180.0
1960960,2540.0
1980416,5340.0
2000896,6240.0
2020352,5900.0
2040832,4020.0
2060288,3200.0
2080768,4240.0
2100224,4120.0
2120704,7380.0
2140160,4440.0
2160640,4360.0
2180096,5920.0
2200576,6460.0
2220032,4660.0
2240512,5900.0
2260992,4940.0
2280448,4880.0
2300928,4460.0
2320384,4940.0
2340864,7140.0
2360320,7900.0
2380800,4720.0
2400256,7240.0
2420736,5920.0
2440192,6240.0
2460672,5900.0
2480128,10860.0
2500608,7220.0
2520064,8240.0
2540544,5900.0
2560000,8220.0
2580480,7280.0
2600960,9720.0
2620416,7880.0
2640896,7640.0
2660352,8660.0
2680832,7320.0
2700288,6480.0
2720768,7740.0
2740224,6500.0
2760704,6360.0
2780160,9500.0
2800640,9980.0
2820096,9360.0
2840576,6780.0
2860032,10660.0
2880512,10720.0
2900992,7000.0
2920448,9720.0
2940928,9500.0
2960384,8580.0
2980864,11040.0
3000320,10800.0
3020800,6380.0
3040256,13460.0
3060736,12320.0
3080192,8140.0
3100672,8520.0
3120128,10560.0
3140608,6540.0
3160064,10280.0
3180544,7240.0
3200000,11760.0
3220480,11000.0
3240960,6620.0
3260416,13160.0
3280896,10720.0
3300352,10180.0
3320832,8920.0
3340288,8720.0
3360768,10620.0
3380224,12280.0
3400704,10100.0
3420160,11280.0
3440640,11600.0
3460096,13600.0
3480576,6340.0
3500032,13620.0
3520512,10180.0
3540992,13260.0
3560448,15660.0
3580928,8940.0
3600384,9860.0
3620864,12120.0
3640320,11420.0
3660800,9280.0
3680256,10620.0
3700736,10880.0
3720192,10120.0
3740672,13160.0
3760128,13260.0
3780608,7680.0
3800064,7960.0
3820544,12140.0
3840000,9080.0
3860480,10900.0
3880960,10540.0
3900416,13100.0
3920896,11800.0
3940352,10460.0
3960832,14600.0
3980288,16880.0
4000768,12820.0
4020224,10180.0
4040704,11600.0
4060160,13060.0
4080640,13140.0
4100096,11680.0
4120576,14640.0
4140032,9380.0
4160512,15840.0
4180992,11060.0
4200448,12940.0
4220928,16380.0
4240384,12840.0
4260864,8040.0
4280320,12020.0
4300800,13980.0
4320256,11100.0
4340736,13780.0
4360192,13140.0
4380672,17940.0
4400128,19100.0
4420608,13340.0
4440064,16640.0
4460544,12800.0
4480000,10520.0
4500480,11340.0
4520960,12960.0
4540416,17780.0
4560896,14640.0
4580352,14380.0
4600832,16220.0
4620288,15420.0
4640768,16080.0
4660224,13260.0
4680704,15100.0
4700160,19360.0
4720640,20460.0
4740096,14260.0
4760576,19120.0
4780032,17960.0
4800512,16820.0
4820992,19780.0
4840448,11400.0
4860928,12300.0
4880384,8780.0
4900864,15020.0
4920320,10300.0
4940800,13460.0
4960256,10580.0
4980736,9920.0
5000192,10680.0
