Step,Value
20480,-24.0
40960,-24.0
60416,-24.0
80896,-23.799999237060547
100352,-24.0
120832,-24.0
140288,-23.600000381469727
160768,-24.0
180224,-24.0
200704,-23.799999237060547
220160,-24.0
240640,-23.799999237060547
260096,-23.399999618530273
280576,-23.799999237060547
300032,-24.0
320512,-23.799999237060547
340992,-23.799999237060547
360448,-24.0
380928,-24.0
400384,-24.0
420864,-16.799999237060547
440320,-19.600000381469727
460800,-8.399999618530273
480256,-10.199999809265137
500736,-12.600000381469727
520192,-15.199999809265137
540672,-15.800000190734863
560128,-15.600000381469727
580608,-10.399999618530273
600064,-11.0
620544,-7.599999904632568
640000,-12.600000381469727
660480,-12.399999618530273
680960,-11.600000381469727
700416,-10.800000190734863
720896,-14.199999809265137
740352,-22.399999618530273
760832,-21.0
780288,-11.800000190734863
800768,-9.0
820224,-11.800000190734863
840704,-12.600000381469727
860160,-16.799999237060547
880640,-18.600000381469727
900096,-16.600000381469727
920576,-4.599999904632568
940032,-14.199999809265137
960512,-19.799999237060547
980992,-19.799999237060547
1000448,-15.199999809265137
1020928,-8.199999809265137
1040384,-13.600000381469727
1060864,-7.0
1080320,-11.0
1100800,-16.399999618530273
1120256,-3.799999952316284
1140736,-18.200000762939453
1160192,-22.600000381469727
1180672,-11.600000381469727
1200128,-22.600000381469727
1220608,-13.600000381469727
1240064,-16.799999237060547
1260544,-21.200000762939453
1280000,-19.399999618530273
1300480,-7.599999904632568
1320960,-10.600000381469727
1340416,-11.0
1360896,-22.799999237060547
1380352,-14.800000190734863
1400832,-22.799999237060547
1420288,-24.0
1440768,-23.0
1460224,-21.0
1480704,-24.0
1500160,-24.0
1520640,-24.0
1540096,-23.799999237060547
1560576,-24.0
1580032,-24.0
1600512,-23.799999237060547
1620992,-24.0
1640448,-23.799999237060547
1660928,-24.0
1680384,-18.399999618530273
1700864,-11.0
1720320,-23.600000381469727
1740800,-23.600000381469727
1760256,-19.799999237060547
1780736,-22.600000381469727
1800192,-9.399999618530273
1820672,-21.0
1840128,-16.799999237060547
1860608,-18.600000381469727
1880064,-18.0
1900544,-24.0
1920000,-24.0
1940480,-23.799999237060547
1960960,-13.600000381469727
1980416,-17.0
2000896,-13.800000190734863
2020352,-23.0
2040832,-13.800000190734863
2060288,-18.600000381469727
2080768,-15.199999809265137
2100224,-21.0
2120704,-19.399999618530273
2140160,-23.799999237060547
2160640,-22.600000381469727
2180096,-22.799999237060547
2200576,-19.600000381469727
2220032,-23.799999237060547
2240512,-23.799999237060547
2260992,-23.600000381469727
2280448,-24.0
2300928,-24.0
2320384,-23.799999237060547
2340864,-24.0
2360320,-22.600000381469727
2380800,-22.799999237060547
2400256,-24.0
2420736,-24.0
2440192,-24.0
2460672,-24.0
2480128,-24.0
2500608,-19.799999237060547
2520064,-21.399999618530273
2540544,-17.799999237060547
2560000,-15.800000190734863
2580480,-17.600000381469727
2600960,-19.600000381469727
2620416,-24.0
2640896,-24.0
2660352,-23.600000381469727
2680832,-20.399999618530273
2700288,-24.0
2720768,-23.799999237060547
2740224,-23.799999237060547
2760704,-24.0
2780160,-19.399999618530273
2800640,-19.600000381469727
2820096,-23.600000381469727
2840576,-22.600000381469727
2860032,-23.799999237060547
2880512,-17.399999618530273
2900992,-16.799999237060547
2920448,-21.0
2940928,-21.0
2960384,-23.799999237060547
2980864,-24.0
3000320,-19.600000381469727
3020800,-24.0
3040256,-23.799999237060547
3060736,-24.0
3080192,-24.0
3100672,-21.0
3120128,-24.0
3140608,-17.0
3160064,-16.399999618530273
3180544,-18.0
3200000,-24.0
3220480,-11.199999809265137
3240960,-20.799999237060547
3260416,-21.200000762939453
3280896,-17.799999237060547
3300352,-16.0
3320832,-19.799999237060547
3340288,-21.0
3360768,-18.0
3380224,-24.0
3400704,-16.399999618530273
3420160,-19.399999618530273
3440640,-12.199999809265137
3460096,-21.0
3480576,-23.600000381469727
3500032,-24.0
3520512,-24.0
3540992,-20.399999618530273
3560448,-23.399999618530273
3580928,-19.600000381469727
3600384,-20.799999237060547
3620864,-22.600000381469727
3640320,-18.399999618530273
3660800,-23.600000381469727
3680256,-24.0
3700736,-23.799999237060547
3720192,-20.799999237060547
