Step,Value
20480,5320.0
40960,2220.0
60416,2080.0
80896,2880.0
100352,2260.0
120832,3800.0
140288,2440.0
160768,2880.0
180224,2080.0
200704,3720.0
220160,3180.0
240640,3740.0
260096,3420.0
280576,1560.0
300032,3680.0
320512,3660.0
340992,3620.0
360448,2880.0
380928,3580.0
400384,3720.0
420864,3700.0
440320,3000.0
460800,3640.0
480256,2100.0
500736,2680.0
520192,2860.0
540672,2160.0
560128,3580.0
580608,2120.0
600064,3940.0
620544,3640.0
640000,2200.0
660480,3120.0
680960,2240.0
700416,2780.0
720896,4540.0
740352,3640.0
760832,2680.0
780288,3640.0
800768,1440.0
820224,3680.0
840704,2280.0
860160,2340.0
880640,2120.0
900096,3580.0
920576,4640.0
940032,3820.0
960512,2840.0
980992,3700.0
1000448,2800.0
1020928,3540.0
1040384,4980.0
1060864,2700.0
1080320,1460.0
1100800,3660.0
1120256,3520.0
1140736,3460.0
1160192,2140.0
1180672,3600.0
1200128,3700.0
1220608,2920.0
1240064,3940.0
1260544,2220.0
1280000,2200.0
1300480,2900.0
1320960,2380.0
1340416,2220.0
1360896,3060.0
1380352,2920.0
1400832,2820.0
1420288,1620.0
1440768,2200.0
1460224,3000.0
1480704,1460.0
1500160,3460.0
1520640,5060.0
1540096,4060.0
1560576,3460.0
1580032,3080.0
1600512,3040.0
1620992,3360.0
1640448,5860.0
1660928,4460.0
1680384,3340.0
1700864,2240.0
1720320,3420.0
1740800,3820.0
1760256,4940.0
1780736,4260.0
1800192,2840.0
1820672,3680.0
1840128,4340.0
1860608,2880.0
1880064,4140.0
1900544,2840.0
1920000,2900.0
1940480,2860.0
1960960,1480.0
1980416,1420.0
2000896,3540.0
2020352,3380.0
2040832,4100.0
2060288,4200.0
2080768,2760.0
2100224,3680.0
2120704,3500.0
2140160,2060.0
2160640,2860.0
2180096,2280.0
2200576,4440.0
2220032,3600.0
2240512,4280.0
2260992,1440.0
2280448,4840.0
2300928,3560.0
2320384,2100.0
2340864,4220.0
2360320,4340.0
2380800,4340.0
2400256,3180.0
2420736,2880.0
2440192,2260.0
2460672,3780.0
2480128,2920.0
2500608,3540.0
2520064,2320.0
2540544,2060.0
2560000,2900.0
2580480,3620.0
2600960,1520.0
2620416,4440.0
2640896,4240.0
2660352,2820.0
2680832,4300.0
2700288,3860.0
2720768,2240.0
2740224,840.0
2760704,4740.0
2780160,3400.0
2800640,2220.0
2820096,5180.0
2840576,3520.0
2860032,3480.0
2880512,5120.0
2900992,4260.0
2920448,2820.0
2940928,4600.0
2960384,3580.0
2980864,4400.0
3000320,4240.0
3020800,3800.0
3040256,4420.0
3060736,1460.0
3080192,4240.0
3100672,1400.0
3120128,3200.0
3140608,4300.0
3160064,1660.0
3180544,1500.0
3200000,3580.0
3220480,4140.0
3240960,4340.0
3260416,4380.0
3280896,3580.0
3300352,4260.0
3320832,3540.0
3340288,4420.0
3360768,3580.0
3380224,3980.0
3400704,4120.0
3420160,4460.0
3440640,3700.0
3460096,2880.0
3480576,3540.0
3500032,5200.0
3520512,3040.0
3540992,4960.0
3560448,4940.0
3580928,3580.0
3600384,4300.0
3620864,4480.0
3640320,3400.0
3660800,3620.0
3680256,3380.0
3700736,3640.0
3720192,2820.0
3740672,3740.0
3760128,4400.0
3780608,5240.0
3800064,4240.0
3820544,5120.0
3840000,3600.0
3860480,5160.0
3880960,4460.0
3900416,6600.0
3920896,6660.0
3940352,4400.0
3960832,4500.0
3980288,6760.0
4000768,4480.0
4020224,4460.0
4040704,4540.0
4060160,6120.0
4080640,5320.0
4100096,2880.0
4120576,3700.0
4140032,3640.0
4160512,4340.0
4180992,4980.0
4200448,5920.0
4220928,3660.0
4240384,6920.0
4260864,4400.0
4280320,5900.0
4300800,4400.0
4320256,5040.0
4340736,4180.0
4360192,5160.0
4380672,5940.0
4400128,5140.0
4420608,4340.0
4440064,3620.0
4460544,5080.0
4480000,5940.0
4500480,5040.0
4520960,4280.0
4540416,4340.0
4560896,5620.0
4580352,5240.0
4600832,4340.0
4620288,5020.0
4640768,5720.0
4660224,7160.0
4680704,3660.0
4700160,4420.0
4720640,4300.0
4740096,5780.0
4760576,5800.0
4780032,7360.0
4800512,5220.0
4820992,5060.0
4840448,4460.0
4860928,4320.0
4880384,4440.0
4900864,4980.0
4920320,3140.0
4940800,5840.0
4960256,4260.0
4980736,5040.0
5000192,5220.0
