Step,Value
20480,1368.0
40960,374.0
60416,1856.0
80896,1020.0
100352,1226.0
120832,2202.0
140288,1830.0
160768,1464.0
180224,1306.0
200704,1314.0
220160,1152.0
240640,1282.0
260096,1952.0
280576,1692.0
300032,1704.0
320512,1394.0
340992,562.0
360448,1334.0
380928,1364.0
400384,1052.0
420864,1434.0
440320,1414.0
460800,1734.0
480256,1080.0
500736,1872.0
520192,1908.0
540672,1146.0
560128,1174.0
580608,2600.0
600064,1722.0
620544,2550.0
640000,976.0
660480,1228.0
680960,1400.0
700416,1226.0
720896,1792.0
740352,1654.0
760832,1234.0
780288,1714.0
800768,2160.0
820224,2124.0
840704,1510.0
860160,3076.0
880640,4002.0
900096,2526.0
920576,2656.0
940032,3374.0
960512,4052.0
980992,4538.0
1000448,3164.0
1020928,3820.0
1040384,4828.0
1060864,4174.0
1080320,6732.0
1100800,3762.0
1120256,5602.0
1140736,8270.0
1160192,6900.0
1180672,7816.0
1200128,3730.0
1220608,7252.0
1240064,5888.0
1260544,6492.0
1280000,3910.0
1300480,4236.0
1320960,4262.0
1340416,2094.0
1360896,5526.0
1380352,5658.0
1400832,7582.0
1420288,5944.0
1440768,4104.0
1460224,4274.0
1480704,4408.0
1500160,3678.0
1520640,6428.0
1540096,6212.0
1560576,4522.0
1580032,7160.0
1600512,6712.0
1620992,7796.0
1640448,8150.0
1660928,5080.0
1680384,9544.0
1700864,7786.0
1720320,8952.0
1740800,8926.0
1760256,13458.0
1780736,10078.0
1800192,8746.0
1820672,18966.0
1840128,10414.0
1860608,15684.0
1880064,11498.0
1900544,8118.0
1920000,12682.0
1940480,8038.0
1960960,16482.0
1980416,11250.0
2000896,4224.0
2020352,15512.0
2040832,12538.0
2060288,12294.0
2080768,11666.0
2100224,8600.0
2120704,6538.0
2140160,10920.0
2160640,19300.0
2180096,14406.0
2200576,14380.0
2220032,6416.0
2240512,11542.0
2260992,17316.0
2280448,10400.0
2300928,13224.0
2320384,24064.0
2340864,5224.0
2360320,11842.0
2380800,16154.0
2400256,13554.0
2420736,11590.0
2440192,21144.0
2460672,7532.0
2480128,17866.0
2500608,12190.0
2520064,14376.0
2540544,18480.0
2560000,17160.0
2580480,9446.0
2600960,6214.0
2620416,12162.0
2640896,12812.0
2660352,7276.0
2680832,12084.0
2700288,8620.0
2720768,10792.0
2740224,16140.0
2760704,6956.0
2780160,17202.0
2800640,16548.0
2820096,22018.0
2840576,15488.0
2860032,13932.0
2880512,16742.0
2900992,21160.0
2920448,26200.0
2940928,28436.0
2960384,10716.0
2980864,18836.0
3000320,20494.0
3020800,16818.0
3040256,17418.0
3060736,23882.0
3080192,9296.0
3100672,13070.0
3120128,15552.0
3140608,12900.0
3160064,20066.0
3180544,21434.0
3200000,18546.0
3220480,17700.0
3240960,15046.0
3260416,12472.0
3280896,18640.0
3300352,15490.0
3320832,12264.0
3340288,21712.0
3360768,8226.0
3380224,22080.0
3400704,23134.0
3420160,29008.0
3440640,21558.0
3460096,31728.0
3480576,27618.0
3500032,43440.0
3520512,19128.0
3540992,35822.0
3560448,26356.0
3580928,17576.0
3600384,17734.0
3620864,21834.0
3640320,29526.0
3660800,26098.0
3680256,25994.0
3700736,18450.0
3720192,13898.0
3740672,15304.0
3760128,13034.0
3780608,21864.0
3800064,19884.0
3820544,18964.0
3840000,19244.0
3860480,17706.0
3880960,30160.0
3900416,23952.0
3920896,39562.0
3940352,22094.0
3960832,23528.0
3980288,20330.0
4000768,38364.0
4020224,17942.0
4040704,24120.0
4060160,22574.0
4080640,16958.0
4100096,28698.0
4120576,19268.0
4140032,32486.0
4160512,32712.0
4180992,17202.0
4200448,31696.0
4220928,17570.0
4240384,24382.0
4260864,21032.0
4280320,22628.0
4300800,20148.0
4320256,31994.0
4340736,42192.0
4360192,38220.0
4380672,32872.0
4400128,22512.0
4420608,22644.0
4440064,25812.0
4460544,35480.0
4480000,30224.0
4500480,38994.0
4520960,23146.0
4540416,32656.0
4560896,23044.0
4580352,26612.0
4600832,28654.0
4620288,30248.0
4640768,26040.0
4660224,29334.0
4680704,35650.0
4700160,23624.0
4720640,30864.0
4740096,25740.0
4760576,28614.0
4780032,30578.0
4800512,31286.0
4820992,34410.0
4840448,30186.0
4860928,27530.0
4880384,27184.0
4900864,39536.0
4920320,26610.0
4940800,23212.0
4960256,33228.0
4980736,21176.0
5000192,42714.0
