Step,Value
20480,1160.0
40960,780.0
60416,780.0
80896,740.0
100352,760.0
120832,680.0
140288,840.0
160768,1180.0
180224,860.0
200704,1360.0
220160,1160.0
240640,720.0
260096,880.0
280576,580.0
300032,420.0
320512,980.0
340992,620.0
360448,1280.0
380928,920.0
400384,580.0
420864,1920.0
440320,580.0
460800,880.0
480256,760.0
500736,900.0
520192,920.0
540672,1380.0
560128,1040.0
580608,1100.0
600064,620.0
620544,720.0
640000,540.0
660480,660.0
680960,1160.0
700416,420.0
720896,1060.0
740352,900.0
760832,900.0
780288,1000.0
800768,600.0
820224,1180.0
840704,1320.0
860160,1040.0
880640,2220.0
900096,520.0
920576,860.0
940032,1020.0
960512,640.0
980992,540.0
1000448,1460.0
1020928,780.0
1040384,880.0
1060864,1180.0
1080320,1240.0
1100800,780.0
1120256,800.0
1140736,1280.0
1160192,700.0
1180672,1280.0
1200128,420.0
1220608,580.0
1240064,860.0
1260544,920.0
1280000,440.0
1300480,660.0
1320960,960.0
1340416,740.0
1360896,400.0
1380352,440.0
1400832,860.0
1420288,1060.0
1440768,1120.0
1460224,1200.0
1480704,780.0
1500160,1220.0
1520640,960.0
1540096,1160.0
1560576,2340.0
1580032,1200.0
1600512,1820.0
1620992,1060.0
1640448,600.0
1660928,880.0
1680384,1040.0
1700864,640.0
1720320,1000.0
1740800,880.0
1760256,1320.0
1780736,560.0
1800192,1280.0
1820672,1680.0
1840128,620.0
1860608,1260.0
1880064,1960.0
1900544,1900.0
1920000,1300.0
1940480,980.0
1960960,760.0
1980416,1320.0
2000896,1100.0
2020352,600.0
2040832,1080.0
2060288,800.0
2080768,1500.0
2100224,920.0
2120704,1800.0
2140160,1340.0
2160640,1740.0
2180096,1520.0
2200576,1320.0
2220032,820.0
2240512,1380.0
2260992,1340.0
2280448,1480.0
2300928,1420.0
2320384,2060.0
2340864,1300.0
2360320,1920.0
2380800,2560.0
2400256,1500.0
2420736,2080.0
2440192,1420.0
2460672,780.0
2480128,1080.0
2500608,1300.0
2520064,1160.0
2540544,1700.0
2560000,1000.0
2580480,740.0
2600960,1900.0
2620416,1160.0
2640896,1840.0
2660352,940.0
2680832,1080.0
2700288,2460.0
2720768,2160.0
2740224,2600.0
2760704,2200.0
2780160,1860.0
2800640,1760.0
2820096,1800.0
2840576,1540.0
2860032,1880.0
2880512,1740.0
2900992,2240.0
2920448,1880.0
2940928,2440.0
2960384,2260.0
2980864,1400.0
3000320,1520.0
3020800,1880.0
3040256,1760.0
3060736,1700.0
3080192,2020.0
3100672,1940.0
3120128,1660.0
3140608,2300.0
3160064,1440.0
3180544,1860.0
3200000,1780.0
3220480,1460.0
3240960,2480.0
3260416,1460.0
3280896,2480.0
3300352,1740.0
3320832,1580.0
3340288,2100.0
3360768,1260.0
3380224,2140.0
3400704,1780.0
3420160,1560.0
3440640,1860.0
3460096,1580.0
3480576,1580.0
3500032,1600.0
3520512,1380.0
3540992,1760.0
3560448,1680.0
3580928,2300.0
3600384,1600.0
3620864,1600.0
3640320,1340.0
3660800,2680.0
3680256,1680.0
3700736,1300.0
3720192,2020.0
3740672,3440.0
3760128,2160.0
3780608,2240.0
3800064,2280.0
3820544,1840.0
3840000,2360.0
3860480,1660.0
3880960,2520.0
3900416,3360.0
3920896,3120.0
3940352,1900.0
3960832,1900.0
3980288,2080.0
4000768,1480.0
4020224,1580.0
4040704,2620.0
4060160,1920.0
4080640,1660.0
4100096,1740.0
4120576,2080.0
4140032,1300.0
4160512,1640.0
4180992,1580.0
4200448,1840.0
4220928,2360.0
4240384,1920.0
4260864,1580.0
4280320,2180.0
4300800,1540.0
4320256,1660.0
4340736,1620.0
4360192,1840.0
4380672,2840.0
4400128,2400.0
4420608,2120.0
4440064,2140.0
4460544,2040.0
4480000,2360.0
4500480,1220.0
4520960,2660.0
4540416,2640.0
4560896,2160.0
4580352,1180.0
4600832,2380.0
4620288,2460.0
4640768,1440.0
4660224,1580.0
4680704,2660.0
4700160,2100.0
4720640,1740.0
4740096,1760.0
4760576,1720.0
4780032,1860.0
4800512,1380.0
4820992,1400.0
4840448,2460.0
4860928,2040.0
4880384,1660.0
4900864,3080.0
4920320,2660.0
4940800,1620.0
4960256,1920.0
4980736,1740.0
5000192,2360.0
