Step,Value
20480,0.0
40960,0.0
60416,80.0
80896,0.0
100352,0.0
120832,0.0
140288,0.0
160768,0.0
180224,0.0
200704,0.0
220160,0.0
240640,0.0
260096,0.0
280576,80.0
300032,40.0
320512,200.0
340992,40.0
360448,200.0
380928,40.0
400384,660.0
420864,40.0
440320,140.0
460800,140.0
480256,80.0
500736,320.0
520192,480.0
540672,240.0
560128,660.0
580608,160.0
600064,560.0
620544,80.0
640000,40.0
660480,400.0
680960,280.0
700416,400.0
720896,360.0
740352,120.0
760832,420.0
780288,320.0
800768,160.0
820224,1280.0
840704,700.0
860160,560.0
880640,460.0
900096,320.0
920576,680.0
940032,400.0
960512,700.0
980992,440.0
1000448,580.0
1020928,640.0
1040384,840.0
1060864,280.0
1080320,520.0
1100800,0.0
1120256,280.0
1140736,280.0
1160192,600.0
1180672,320.0
1200128,880.0
1220608,680.0
1240064,600.0
1260544,1240.0
1280000,1000.0
1300480,1000.0
1320960,1120.0
1340416,920.0
1360896,760.0
1380352,1300.0
1400832,680.0
1420288,720.0
1440768,920.0
1460224,2400.0
1480704,2580.0
1500160,1560.0
1520640,2320.0
1540096,1960.0
1560576,1960.0
1580032,1600.0
1600512,1780.0
1620992,1700.0
1640448,1700.0
1660928,2540.0
1680384,1840.0
1700864,3100.0
1720320,2540.0
1740800,2120.0
1760256,1580.0
1780736,2320.0
1800192,1980.0
1820672,2160.0
1840128,1480.0
1860608,2600.0
1880064,1700.0
1900544,2580.0
1920000,3660.0
1940480,2300.0
1960960,2900.0
1980416,2140.0
2000896,2720.0
2020352,2240.0
2040832,4580.0
2060288,2020.0
2080768,3060.0
2100224,2960.0
2120704,2240.0
2140160,1840.0
2160640,1960.0
2180096,3160.0
2200576,2460.0
2220032,3300.0
2240512,2900.0
2260992,2880.0
2280448,2600.0
2300928,3440.0
2320384,3040.0
2340864,2220.0
2360320,2520.0
2380800,3520.0
2400256,4520.0
2420736,2580.0
2440192,2740.0
2460672,2660.0
2480128,3620.0
2500608,2240.0
2520064,4060.0
2540544,3560.0
2560000,3320.0
2580480,3920.0
2600960,3120.0
2620416,2380.0
2640896,3520.0
2660352,2700.0
2680832,3040.0
2700288,5180.0
2720768,4280.0
2740224,3920.0
2760704,4620.0
2780160,3920.0
2800640,3660.0
2820096,3400.0
2840576,3300.0
2860032,2460.0
2880512,2500.0
2900992,3000.0
2920448,3560.0
2940928,4020.0
2960384,4380.0
2980864,4180.0
3000320,5260.0
3020800,4340.0
3040256,4640.0
3060736,5720.0
3080192,4200.0
3100672,5100.0
3120128,4740.0
3140608,6600.0
3160064,4320.0
3180544,5020.0
3200000,4560.0
3220480,4940.0
3240960,6820.0
3260416,4240.0
3280896,5380.0
3300352,5580.0
3320832,4360.0
3340288,6100.0
3360768,5680.0
3380224,5600.0
3400704,4500.0
3420160,7160.0
3440640,4340.0
3460096,5120.0
3480576,6280.0
3500032,5040.0
3520512,7200.0
3540992,4880.0
3560448,7260.0
3580928,5620.0
3600384,5540.0
3620864,6780.0
3640320,5760.0
3660800,5080.0
3680256,8900.0
3700736,7140.0
3720192,3780.0
3740672,4580.0
3760128,5540.0
3780608,5280.0
3800064,6360.0
3820544,6080.0
3840000,6720.0
3860480,6760.0
3880960,5580.0
3900416,6580.0
3920896,6100.0
3940352,5360.0
3960832,6800.0
3980288,6600.0
4000768,6780.0
4020224,7180.0
4040704,7980.0
4060160,7660.0
4080640,6960.0
4100096,5560.0
4120576,6720.0
4140032,6380.0
4160512,5720.0
4180992,7600.0
4200448,7380.0
4220928,6320.0
4240384,7280.0
4260864,9340.0
4280320,6060.0
4300800,6940.0
4320256,6780.0
4340736,5940.0
4360192,7520.0
4380672,5300.0
4400128,6480.0
4420608,8120.0
4440064,6680.0
4460544,7440.0
4480000,6400.0
4500480,8920.0
4520960,6500.0
4540416,5200.0
4560896,7820.0
4580352,6640.0
4600832,6720.0
4620288,6860.0
4640768,6460.0
4660224,7420.0
4680704,7260.0
4700160,8380.0
4720640,6280.0
4740096,6440.0
4760576,6760.0
4780032,6420.0
4800512,7160.0
4820992,11340.0
4840448,9260.0
4860928,5500.0
4880384,5140.0
4900864,7240.0
4920320,6300.0
4940800,6860.0
4960256,6700.0
4980736,5800.0
5000192,5860.0
