Step,Value
20480,250.0
40960,226.0
60416,304.0
80896,270.0
100352,256.0
120832,232.0
140288,288.0
160768,274.0
180224,304.0
200704,268.0
220160,302.0
240640,288.0
260096,300.0
280576,276.0
300032,324.0
320512,310.0
340992,280.0
360448,766.0
380928,244.0
400384,262.0
420864,248.0
440320,282.0
460800,282.0
480256,308.0
500736,290.0
520192,420.0
540672,470.0
560128,308.0
580608,344.0
600064,310.0
620544,334.0
640000,280.0
660480,288.0
680960,346.0
700416,412.0
720896,320.0
740352,352.0
760832,274.0
780288,412.0
800768,266.0
820224,282.0
840704,300.0
860160,254.0
880640,456.0
900096,340.0
920576,286.0
940032,486.0
960512,286.0
980992,306.0
1000448,306.0
1020928,328.0
1040384,340.0
1060864,356.0
1080320,320.0
1100800,370.0
1120256,340.0
1140736,290.0
1160192,276.0
1180672,310.0
1200128,298.0
1220608,310.0
1240064,318.0
1260544,344.0
1280000,352.0
1300480,324.0
1320960,328.0
1340416,434.0
1360896,490.0
1380352,382.0
1400832,336.0
1420288,284.0
1440768,366.0
1460224,300.0
1480704,326.0
1500160,328.0
1520640,282.0
1540096,318.0
1560576,376.0
1580032,440.0
1600512,318.0
1620992,400.0
1640448,448.0
1660928,372.0
1680384,516.0
1700864,632.0
1720320,530.0
1740800,426.0
1760256,404.0
1780736,388.0
1800192,404.0
1820672,438.0
1840128,354.0
1860608,406.0
1880064,332.0
1900544,320.0
1920000,336.0
1940480,302.0
1960960,382.0
1980416,324.0
2000896,288.0
2020352,350.0
2040832,354.0
2060288,422.0
2080768,274.0
2100224,316.0
2120704,294.0
2140160,278.0
2160640,368.0
2180096,330.0
2200576,276.0
2220032,388.0
2240512,342.0
2260992,246.0
2280448,334.0
2300928,330.0
2320384,306.0
2340864,506.0
2360320,412.0
2380800,322.0
2400256,382.0
2420736,432.0
2440192,362.0
2460672,328.0
2480128,344.0
2500608,348.0
2520064,500.0
2540544,326.0
2560000,412.0
2580480,386.0
2600960,294.0
2620416,348.0
2640896,360.0
2660352,458.0
2680832,376.0
2700288,390.0
2720768,370.0
2740224,358.0
2760704,338.0
2780160,324.0
2800640,404.0
2820096,344.0
2840576,382.0
2860032,602.0
2880512,360.0
2900992,444.0
2920448,390.0
2940928,360.0
2960384,378.0
2980864,534.0
3000320,342.0
3020800,368.0
3040256,398.0
3060736,396.0
3080192,534.0
3100672,400.0
3120128,418.0
3140608,468.0
3160064,348.0
3180544,416.0
3200000,388.0
3220480,376.0
3240960,560.0
3260416,394.0
3280896,360.0
3300352,550.0
3320832,392.0
3340288,464.0
3360768,412.0
3380224,510.0
3400704,420.0
3420160,612.0
3440640,534.0
3460096,448.0
3480576,392.0
3500032,340.0
3520512,412.0
3540992,540.0
3560448,594.0
3580928,486.0
3600384,388.0
3620864,566.0
3640320,408.0
3660800,440.0
3680256,580.0
3700736,504.0
3720192,936.0
3740672,588.0
3760128,392.0
3780608,456.0
3800064,442.0
3820544,478.0
3840000,440.0
3860480,422.0
3880960,622.0
3900416,534.0
3920896,508.0
3940352,566.0
3960832,478.0
3980288,564.0
4000768,740.0
4020224,494.0
4040704,494.0
4060160,636.0
4080640,682.0
4100096,548.0
4120576,470.0
4140032,676.0
4160512,482.0
4180992,634.0
4200448,502.0
4220928,810.0
4240384,486.0
4260864,882.0
4280320,442.0
4300800,630.0
4320256,528.0
4340736,594.0
4360192,604.0
4380672,536.0
4400128,528.0
4420608,488.0
4440064,516.0
4460544,594.0
4480000,484.0
4500480,514.0
4520960,732.0
4540416,522.0
4560896,506.0
4580352,774.0
4600832,578.0
4620288,652.0
4640768,638.0
4660224,610.0
4680704,554.0
4700160,570.0
4720640,766.0
4740096,586.0
4760576,924.0
4780032,648.0
4800512,772.0
4820992,922.0
4840448,824.0
4860928,684.0
4880384,690.0
4900864,632.0
4920320,836.0
4940800,728.0
4960256,652.0
4980736,690.0
5000192,682.0
