Step,Value
20480,310.79998779296875
40960,319.20001220703125
60416,277.20001220703125
80896,407.3999938964844
100352,319.20001220703125
120832,453.6000061035156
140288,310.79998779296875
160768,411.6000061035156
180224,373.79998779296875
200704,361.20001220703125
220160,281.3999938964844
240640,268.79998779296875
260096,441.0
280576,327.6000061035156
300032,403.20001220703125
320512,357.0
340992,411.6000061035156
360448,462.0
380928,424.20001220703125
400384,449.3999938964844
420864,581.5999755859375
440320,520.7999877929688
460800,449.3999938964844
480256,453.6000061035156
500736,529.2000122070312
520192,550.2000122070312
540672,625.7999877929688
560128,529.2000122070312
580608,596.4000244140625
600064,642.5999755859375
620544,625.7999877929688
640000,651.0
660480,676.2000122070312
680960,701.4000244140625
700416,491.3999938964844
720896,709.7999877929688
740352,751.7999877929688
760832,762.2000122070312
780288,772.7999877929688
800768,688.7999877929688
820224,684.5999755859375
840704,676.2000122070312
860160,672.0
880640,630.0
900096,718.2000122070312
920576,770.5999755859375
940032,730.7999877929688
960512,739.2000122070312
980992,777.0
1000448,785.4000244140625
1020928,739.2000122070312
1040384,772.7999877929688
1060864,945.0
1080320,781.2000122070312
1100800,793.7999877929688
1120256,806.4000244140625
1140736,787.4000244140625
1160192,766.4000244140625
1180672,881.5999755859375
1200128,804.2000122070312
1220608,722.2000122070312
1240064,824.7999877929688
1260544,1014.2000122070312
1280000,777.0
1300480,1095.800048828125
1320960,1105.800048828125
1340416,801.5999755859375
1360896,1139.199951171875
1380352,1123.0
1400832,1477.5999755859375
1420288,1242.5999755859375
1440768,925.5999755859375
1460224,1018.0
1480704,1152.199951171875
1500160,1109.800048828125
1520640,1345.5999755859375
1540096,1891.4000244140625
1560576,1732.0
1580032,1148.0
1600512,1218.0
1620992,1110.199951171875
1640448,1001.2000122070312
1660928,1024.0
1680384,2301.199951171875
1700864,1108.199951171875
1720320,1607.5999755859375
1740800,1089.199951171875
1760256,1431.0
1780736,1160.800048828125
1800192,1674.5999755859375
1820672,1198.4000244140625
1840128,2102.800048828125
1860608,1416.5999755859375
1880064,1296.199951171875
1900544,1752.199951171875
1920000,1068.4000244140625
1940480,1907.4000244140625
1960960,1393.4000244140625
1980416,1145.4000244140625
2000896,954.7999877929688
2020352,1131.4000244140625
2040832,1280.0
2060288,1513.0
2080768,1339.4000244140625
2100224,1514.800048828125
2120704,1695.5999755859375
2140160,1622.0
2160640,1794.199951171875
2180096,1840.800048828125
2200576,1876.5999755859375
2220032,1370.199951171875
2240512,1972.800048828125
2260992,2002.4000244140625
2280448,1677.0
2300928,1697.5999755859375
2320384,2244.800048828125
2340864,2095.800048828125
2360320,871.0
2380800,1607.0
2400256,1609.199951171875
2420736,1473.0
2440192,2136.39990234375
2460672,1628.5999755859375
2480128,2411.60009765625
2500608,1586.4000244140625
2520064,1727.0
2540544,2504.0
2560000,2910.199951171875
2580480,2557.800048828125
2600960,1987.199951171875
2620416,2772.0
2640896,2228.800048828125
2660352,2578.800048828125
2680832,2220.0
2700288,1894.800048828125
2720768,1712.199951171875
2740224,1842.4000244140625
2760704,2197.0
2780160,2245.199951171875
2800640,1363.5999755859375
2820096,2084.0
2840576,2482.39990234375
2860032,1321.199951171875
2880512,2609.199951171875
2900992,1896.4000244140625
2920448,2087.199951171875
2940928,2144.199951171875
2960384,2889.199951171875
2980864,2451.0
3000320,2873.800048828125
3020800,2315.60009765625
3040256,2474.39990234375
3060736,2280.39990234375
3080192,2883.0
3100672,3063.39990234375
3120128,2845.199951171875
3140608,2502.0
3160064,2295.800048828125
3180544,2528.0
3200000,3177.39990234375
