Step,Value
20480,260.0
40960,180.0
60416,200.0
80896,250.0
100352,170.0
120832,210.0
140288,420.0
160768,210.0
180224,180.0
200704,180.0
220160,200.0
240640,240.0
260096,170.0
280576,320.0
300032,220.0
320512,280.0
340992,240.0
360448,230.0
380928,200.0
400384,260.0
420864,210.0
440320,210.0
460800,220.0
480256,320.0
500736,250.0
520192,390.0
540672,270.0
560128,290.0
580608,240.0
600064,330.0
620544,320.0
640000,350.0
660480,380.0
680960,470.0
700416,400.0
720896,470.0
740352,220.0
760832,300.0
780288,530.0
800768,410.0
820224,410.0
840704,390.0
860160,320.0
880640,500.0
900096,330.0
920576,400.0
940032,470.0
960512,390.0
980992,480.0
1000448,490.0
1020928,590.0
1040384,620.0
1060864,700.0
1080320,730.0
1100800,610.0
1120256,510.0
1140736,660.0
1160192,630.0
1180672,690.0
1200128,700.0
1220608,760.0
1240064,420.0
1260544,580.0
1280000,720.0
1300480,540.0
1320960,700.0
1340416,810.0
1360896,900.0
1380352,680.0
1400832,990.0
1420288,830.0
1440768,670.0
1460224,730.0
1480704,730.0
1500160,850.0
1520640,820.0
1540096,680.0
1560576,970.0
1580032,1000.0
1600512,1010.0
1620992,1110.0
1640448,780.0
1660928,700.0
1680384,850.0
1700864,1170.0
1720320,1190.0
1740800,790.0
1760256,1000.0
1780736,1160.0
1800192,870.0
1820672,1110.0
1840128,780.0
1860608,870.0
1880064,1320.0
1900544,1140.0
1920000,1180.0
1940480,850.0
1960960,760.0
1980416,1350.0
2000896,1220.0
2020352,1380.0
2040832,990.0
2060288,1500.0
2080768,1050.0
2100224,1310.0
2120704,1500.0
2140160,1430.0
2160640,1300.0
2180096,1570.0
2200576,1100.0
2220032,1490.0
2240512,1580.0
2260992,1140.0
2280448,1180.0
2300928,1320.0
2320384,1470.0
2340864,1540.0
2360320,1540.0
2380800,1230.0
2400256,1360.0
2420736,1450.0
2440192,1630.0
2460672,1410.0
2480128,1160.0
2500608,1080.0
2520064,1620.0
2540544,1200.0
2560000,1580.0
2580480,1130.0
2600960,1400.0
2620416,1680.0
2640896,1550.0
2660352,1370.0
2680832,1530.0
2700288,1450.0
2720768,1690.0
2740224,1510.0
2760704,2010.0
2780160,2160.0
2800640,2510.0
2820096,1780.0
2840576,1230.0
2860032,2140.0
2880512,1730.0
2900992,1740.0
2920448,1900.0
2940928,1610.0
2960384,1970.0
2980864,2100.0
3000320,2080.0
3020800,1710.0
3040256,1600.0
3060736,1410.0
3080192,2250.0
3100672,1610.0
3120128,1960.0
3140608,2160.0
3160064,1630.0
3180544,1980.0
3200000,1920.0
3220480,2260.0
3240960,1770.0
3260416,2300.0
3280896,1440.0
3300352,2280.0
3320832,1760.0
3340288,1910.0
3360768,2310.0
3380224,1860.0
3400704,1920.0
3420160,2080.0
3440640,2050.0
3460096,2380.0
3480576,1590.0
3500032,1880.0
3520512,2070.0
3540992,1460.0
3560448,2190.0
3580928,2500.0
3600384,1520.0
3620864,1730.0
3640320,2090.0
3660800,1910.0
3680256,1590.0
3700736,2140.0
3720192,1240.0
3740672,2040.0
3760128,2120.0
3780608,2240.0
3800064,1890.0
3820544,2170.0
3840000,2050.0
3860480,1640.0
3880960,1710.0
3900416,1550.0
3920896,1720.0
3940352,2090.0
3960832,1830.0
3980288,1910.0
4000768,1800.0
4020224,2470.0
4040704,2120.0
4060160,1940.0
4080640,1350.0
4100096,1810.0
4120576,2220.0
4140032,1830.0
4160512,2000.0
4180992,2170.0
4200448,2150.0
4220928,1870.0
4240384,2370.0
4260864,1770.0
4280320,1840.0
4300800,1390.0
4320256,2110.0
4340736,1520.0
4360192,1970.0
4380672,2080.0
4400128,2230.0
4420608,2020.0
4440064,2060.0
4460544,2400.0
4480000,1970.0
4500480,1840.0
4520960,1970.0
4540416,2220.0
4560896,2100.0
4580352,2350.0
4600832,1870.0
4620288,2460.0
4640768,2420.0
4660224,2270.0
4680704,2100.0
4700160,2600.0
4720640,2210.0
4740096,2430.0
4760576,2380.0
4780032,2330.0
4800512,2290.0
4820992,2460.0
4840448,2640.0
4860928,1670.0
4880384,2230.0
4900864,1830.0
4920320,2280.0
4940800,2310.0
4960256,2550.0
4980736,2390.0
5000192,1790.0
