Step,Value
20480,26140.0
40960,19920.0
60416,17320.0
80896,26540.0
100352,28780.0
120832,30880.0
140288,24620.0
160768,26620.0
180224,32660.0
200704,24880.0
220160,34920.0
240640,21340.0
260096,32720.0
280576,29220.0
300032,25240.0
320512,24640.0
340992,29380.0
360448,21060.0
380928,25840.0
400384,27300.0
420864,25300.0
440320,24400.0
460800,19020.0
480256,29160.0
500736,25240.0
520192,34300.0
540672,32880.0
560128,27980.0
580608,34040.0
600064,27580.0
620544,30700.0
640000,25440.0
660480,36600.0
680960,36200.0
700416,27500.0
720896,33080.0
740352,34220.0
760832,29560.0
780288,22420.0
800768,27120.0
820224,37880.0
840704,37360.0
860160,31640.0
880640,32640.0
900096,34080.0
920576,35860.0
940032,34720.0
960512,35180.0
980992,37700.0
1000448,33200.0
1020928,44380.0
1040384,49200.0
1060864,33040.0
1080320,34540.0
1100800,41720.0
1120256,45600.0
1140736,59260.0
1160192,40560.0
1180672,49420.0
1200128,52320.0
1220608,53220.0
1240064,44900.0
1260544,49200.0
1280000,48540.0
1300480,62680.0
1320960,52600.0
1340416,60860.0
1360896,45340.0
1380352,58520.0
1400832,57820.0
1420288,64820.0
1440768,63580.0
1460224,62940.0
1480704,83400.0
1500160,71460.0
1520640,57740.0
1540096,71720.0
1560576,129420.0
1580032,112240.0
1600512,135780.0
1620992,173780.0
1640448,186080.0
1660928,261860.0
1680384,121660.0
1700864,251840.0
1720320,155240.0
1740800,250500.0
1760256,160780.0
1780736,523180.0
1800192,326080.0
1820672,223640.0
1840128,464480.0
1860608,736380.0
1880064,1067280.0
1900544,1856920.0
1920000,727680.0
1940480,1335100.0
1960960,707040.0
1980416,1315300.0
2000896,1907640.0
2020352,1002920.0
2040832,2522660.0
2060288,1476660.0
2080768,1369820.0
2100224,1344340.0
2120704,1369240.0
2140160,2134000.0
2160640,1367980.0
2180096,1922820.0
2200576,2535440.0
2220032,1936060.0
2240512,661220.0
2260992,3225840.0
2280448,2548340.0
2300928,1965640.0
2320384,1308440.0
2340864,3209240.0
2360320,2534040.0
2380800,1941400.0
2400256,1940180.0
2420736,3275700.0
2440192,2584720.0
2460672,3227060.0
2480128,1919220.0
2500608,2498540.0
2520064,3161540.0
2540544,2565180.0
2560000,3126140.0
2580480,2587840.0
2600960,3102440.0
2620416,3159680.0
2640896,3174880.0
2660352,3144620.0
2680832,3184240.0
2700288,3222840.0
2720768,2601700.0
2740224,3237560.0
2760704,3227320.0
2780160,3217760.0
2800640,3167400.0
2820096,3169180.0
2840576,3265120.0
2860032,3206120.0
2880512,3242920.0
2900992,3199440.0
2920448,3207760.0
2940928,3216020.0
2960384,3226800.0
2980864,2566320.0
3000320,3205060.0
3020800,3172500.0
3040256,2555700.0
3060736,3234100.0
3080192,2567220.0
3100672,2609280.0
3120128,2601820.0
3140608,3285940.0
3160064,3246060.0
3180544,2593120.0
3200000,1972280.0
3220480,3277480.0
3240960,2631380.0
3260416,3207860.0
3280896,2619160.0
3300352,3251720.0
3320832,1975920.0
3340288,2605540.0
3360768,2630720.0
3380224,1953900.0
3400704,3214040.0
3420160,3227260.0
3440640,1924760.0
3460096,3261400.0
3480576,2624880.0
3500032,3249360.0
3520512,2618380.0
3540992,2627620.0
3560448,3287860.0
3580928,2610780.0
3600384,2598360.0
3620864,2631360.0
3640320,1940560.0
3660800,2616320.0
3680256,2641360.0
3700736,3206020.0
3720192,2581700.0
3740672,2640260.0
3760128,2595620.0
3780608,3251780.0
3800064,3257340.0
3820544,3268080.0
3840000,3246580.0
3860480,2637700.0
3880960,3195220.0
3900416,2617760.0
3920896,2694020.0
3940352,1963120.0
3960832,2641160.0
3980288,2604240.0
4000768,1964500.0
4020224,2686980.0
4040704,1983420.0
4060160,1329560.0
4080640,3274000.0
4100096,2622440.0
4120576,3317300.0
4140032,2651540.0
4160512,2616400.0
4180992,1977760.0
4200448,3298480.0
4220928,2000260.0
4240384,2003940.0
4260864,3279220.0
4280320,1979440.0
4300800,3308880.0
4320256,2614780.0
4340736,3313300.0
4360192,3326000.0
4380672,3315300.0
4400128,1340400.0
4420608,2642180.0
4440064,2663020.0
4460544,1334820.0
4480000,2643980.0
4500480,1329200.0
4520960,1993680.0
4540416,2668520.0
4560896,2649620.0
4580352,2654420.0
4600832,3284260.0
4620288,3312560.0
4640768,3296620.0
4660224,2675920.0
4680704,1321640.0
4700160,3328660.0
4720640,3360400.0
4740096,1961400.0
4760576,2658240.0
4780032,3326120.0
4800512,2652440.0
4820992,2649660.0
4840448,683320.0
4860928,3323260.0
4880384,2651540.0
4900864,2693860.0
4920320,3291100.0
4940800,2667120.0
4960256,2652860.0
4980736,2016080.0
5000192,2000840.0
