Step,Value
20480,14.0
40960,18.0
60416,18.0
80896,14.0
100352,14.0
120832,10.0
140288,14.0
160768,10.0
180224,10.0
200704,20.0
220160,8.0
240640,20.0
260096,28.0
280576,22.0
300032,26.0
320512,24.0
340992,30.0
360448,18.0
380928,34.0
400384,40.0
420864,30.0
440320,22.0
460800,28.0
480256,28.0
500736,28.0
520192,48.0
540672,22.0
560128,24.0
580608,40.0
600064,28.0
620544,32.0
640000,34.0
660480,32.0
680960,26.0
700416,32.0
720896,52.0
740352,50.0
760832,68.0
780288,58.0
800768,56.0
820224,62.0
840704,38.0
860160,54.0
880640,48.0
900096,66.0
920576,88.0
940032,64.0
960512,72.0
980992,54.0
1000448,84.0
1020928,90.0
1040384,92.0
1060864,114.0
1080320,82.0
1100800,90.0
1120256,114.0
1140736,156.0
1160192,130.0
1180672,162.0
1200128,132.0
1220608,126.0
1240064,142.0
1260544,62.0
1280000,108.0
1300480,140.0
1320960,74.0
1340416,90.0
1360896,84.0
1380352,110.0
1400832,134.0
1420288,216.0
1440768,266.0
1460224,504.0
1480704,526.0
1500160,568.0
1520640,544.0
1540096,582.0
1560576,614.0
1580032,642.0
1600512,646.0
1620992,612.0
1640448,634.0
1660928,642.0
1680384,670.0
1700864,694.0
1720320,638.0
1740800,694.0
1760256,642.0
1780736,782.0
1800192,738.0
1820672,660.0
1840128,728.0
1860608,746.0
1880064,708.0
1900544,788.0
1920000,724.0
1940480,816.0
1960960,800.0
1980416,838.0
2000896,844.0
2020352,828.0
2040832,822.0
2060288,820.0
2080768,898.0
2100224,876.0
2120704,888.0
2140160,842.0
2160640,834.0
2180096,858.0
2200576,926.0
2220032,922.0
2240512,938.0
2260992,856.0
2280448,908.0
2300928,910.0
2320384,840.0
2340864,882.0
2360320,866.0
2380800,878.0
2400256,912.0
2420736,908.0
2440192,878.0
2460672,900.0
2480128,968.0
2500608,908.0
2520064,914.0
2540544,866.0
2560000,942.0
2580480,858.0
2600960,912.0
2620416,942.0
2640896,900.0
2660352,912.0
2680832,940.0
2700288,1000.0
2720768,942.0
2740224,980.0
2760704,958.0
2780160,972.0
2800640,968.0
2820096,980.0
2840576,958.0
2860032,1042.0
2880512,1074.0
2900992,1012.0
2920448,1052.0
2940928,974.0
2960384,978.0
2980864,1010.0
3000320,1004.0
3020800,1048.0
3040256,1060.0
3060736,1056.0
3080192,1008.0
3100672,984.0
3120128,994.0
3140608,932.0
3160064,1046.0
3180544,1020.0
3200000,1052.0
3220480,986.0
3240960,930.0
3260416,1010.0
3280896,994.0
3300352,1036.0
3320832,1050.0
3340288,936.0
3360768,1056.0
3380224,1048.0
3400704,988.0
3420160,1074.0
3440640,1100.0
3460096,1004.0
3480576,1136.0
3500032,1074.0
3520512,1110.0
3540992,1130.0
3560448,1088.0
3580928,1138.0
3600384,1126.0
3620864,1060.0
3640320,1112.0
3660800,1050.0
3680256,1078.0
3700736,1076.0
3720192,1086.0
3740672,1176.0
3760128,1120.0
3780608,1102.0
3800064,1104.0
3820544,1128.0
3840000,1162.0
3860480,1034.0
3880960,1116.0
3900416,1166.0
3920896,1108.0
3940352,1100.0
3960832,1028.0
3980288,990.0
4000768,1174.0
4020224,1124.0
4040704,1108.0
4060160,1046.0
4080640,1082.0
4100096,1168.0
4120576,1056.0
4140032,1132.0
4160512,1098.0
4180992,1150.0
4200448,1108.0
4220928,1086.0
4240384,1112.0
4260864,1128.0
4280320,1166.0
4300800,1134.0
4320256,1106.0
4340736,1198.0
4360192,1110.0
4380672,1136.0
4400128,1106.0
4420608,1158.0
4440064,1120.0
4460544,1046.0
4480000,1096.0
4500480,1078.0
4520960,1104.0
4540416,1084.0
4560896,1132.0
4580352,1086.0
4600832,1080.0
4620288,1188.0
4640768,1128.0
4660224,1170.0
4680704,1152.0
4700160,1168.0
4720640,1128.0
4740096,1140.0
4760576,1092.0
4780032,1144.0
4800512,1018.0
4820992,1032.0
4840448,1072.0
4860928,1194.0
4880384,1126.0
4900864,1162.0
4920320,1034.0
4940800,1196.0
4960256,1074.0
4980736,1154.0
5000192,1144.0
