Step,Value
20480,5400.0
40960,2600.0
60416,3800.0
80896,4400.0
100352,3200.0
120832,4600.0
140288,1600.0
160768,5400.0
180224,1800.0
200704,2600.0
220160,6600.0
240640,3800.0
260096,1600.0
280576,4000.0
300032,6200.0
320512,2600.0
340992,2600.0
360448,2600.0
380928,5000.0
400384,3000.0
420864,3200.0
440320,3000.0
460800,4200.0
480256,3800.0
500736,2000.0
520192,3400.0
540672,5000.0
560128,2600.0
580608,5800.0
600064,4000.0
620544,3400.0
640000,5200.0
660480,4800.0
680960,4000.0
700416,7800.0
720896,3400.0
740352,2600.0
760832,6400.0
780288,6200.0
800768,5200.0
820224,4400.0
840704,4800.0
860160,4200.0
880640,6400.0
900096,7200.0
920576,1800.0
940032,6600.0
960512,6600.0
980992,8000.0
1000448,8000.0
1020928,5200.0
1040384,6600.0
1060864,12400.0
1080320,7600.0
1100800,6600.0
1120256,10200.0
1140736,11600.0
1160192,8800.0
1180672,9200.0
1200128,11200.0
1220608,8400.0
1240064,8000.0
1260544,11600.0
1280000,11000.0
1300480,13000.0
1320960,11600.0
1340416,13000.0
1360896,11600.0
1380352,13600.0
1400832,14000.0
1420288,11400.0
1440768,14000.0
1460224,8600.0
1480704,10000.0
1500160,9800.0
1520640,9200.0
1540096,14200.0
1560576,12600.0
1580032,12800.0
1600512,10200.0
1620992,11200.0
1640448,14000.0
1660928,14000.0
1680384,10400.0
1700864,13800.0
1720320,12200.0
1740800,16400.0
1760256,8800.0
1780736,11800.0
1800192,11000.0
1820672,8200.0
1840128,13200.0
1860608,15000.0
1880064,10600.0
1900544,15000.0
1920000,6400.0
1940480,9200.0
1960960,11600.0
1980416,8400.0
2000896,7000.0
2020352,10600.0
2040832,10400.0
2060288,9800.0
2080768,7000.0
2100224,13800.0
2120704,14800.0
2140160,14000.0
2160640,13200.0
2180096,16800.0
2200576,14600.0
2220032,14400.0
2240512,11600.0
2260992,16000.0
2280448,14400.0
2300928,17600.0
2320384,16600.0
2340864,12200.0
2360320,13600.0
2380800,15400.0
2400256,12600.0
2420736,13400.0
2440192,13000.0
2460672,16200.0
2480128,16200.0
2500608,14600.0
2520064,12000.0
2540544,12800.0
2560000,15200.0
2580480,13400.0
2600960,14600.0
2620416,17400.0
2640896,14200.0
2660352,16600.0
2680832,17200.0
2700288,12600.0
2720768,12600.0
2740224,10800.0
2760704,16600.0
2780160,13400.0
2800640,13200.0
2820096,14800.0
2840576,16000.0
2860032,12000.0
2880512,11400.0
2900992,16000.0
2920448,18600.0
2940928,15000.0
2960384,20000.0
2980864,12400.0
3000320,14600.0
3020800,13000.0
3040256,13400.0
3060736,14400.0
3080192,14600.0
3100672,13400.0
3120128,12800.0
3140608,15000.0
3160064,13400.0
3180544,14800.0
3200000,17200.0
3220480,15800.0
3240960,14000.0
3260416,17800.0
3280896,14000.0
3300352,13800.0
3320832,15200.0
3340288,12200.0
3360768,12600.0
3380224,18400.0
3400704,15800.0
3420160,14600.0
3440640,14800.0
3460096,13200.0
3480576,15200.0
3500032,12600.0
3520512,14400.0
3540992,12000.0
3560448,16200.0
3580928,13800.0
3600384,14400.0
3620864,14400.0
3640320,20400.0
3660800,14200.0
3680256,18200.0
3700736,14000.0
3720192,16400.0
3740672,16000.0
3760128,15400.0
3780608,11200.0
3800064,10600.0
3820544,13400.0
3840000,19000.0
3860480,14600.0
3880960,14400.0
3900416,15600.0
3920896,12200.0
3940352,12400.0
3960832,14600.0
3980288,17600.0
4000768,13600.0
4020224,14400.0
4040704,15200.0
4060160,16400.0
4080640,16400.0
4100096,13800.0
4120576,12400.0
4140032,14800.0
4160512,14400.0
4180992,10800.0
4200448,11200.0
4220928,13600.0
4240384,13400.0
4260864,16400.0
4280320,13200.0
4300800,16000.0
4320256,11800.0
4340736,15400.0
4360192,18200.0
4380672,12200.0
4400128,12400.0
4420608,17800.0
4440064,16800.0
4460544,17400.0
4480000,13800.0
4500480,11000.0
4520960,17600.0
4540416,8000.0
4560896,18200.0
4580352,13400.0
4600832,19400.0
4620288,18000.0
4640768,20600.0
4660224,14600.0
4680704,15400.0
4700160,16600.0
4720640,14400.0
4740096,12600.0
4760576,13200.0
4780032,13800.0
4800512,17000.0
4820992,15000.0
4840448,11800.0
4860928,13000.0
4880384,15800.0
4900864,15000.0
4920320,16000.0
4940800,17200.0
4960256,15600.0
4980736,16200.0
5000192,17800.0
