Step,Value
20480,2982.800048828125
40960,2339.0
60416,2883.60009765625
80896,1728.0
100352,1616.199951171875
120832,1914.800048828125
140288,3517.0
160768,2020.0
180224,2887.39990234375
200704,2541.800048828125
220160,3006.199951171875
240640,2059.60009765625
260096,2042.800048828125
280576,2825.199951171875
300032,2764.0
320512,2843.199951171875
340992,2321.199951171875
360448,2718.39990234375
380928,2332.199951171875
400384,1591.5999755859375
420864,3152.800048828125
440320,1996.0
460800,2756.39990234375
480256,2967.0
500736,2414.199951171875
520192,2749.60009765625
540672,3416.39990234375
560128,3035.60009765625
580608,3525.199951171875
600064,4293.0
620544,1470.5999755859375
640000,2560.800048828125
660480,3341.39990234375
680960,3601.0
700416,2202.800048828125
720896,3745.800048828125
740352,3004.39990234375
760832,3638.800048828125
780288,3164.800048828125
800768,2349.0
820224,4482.7998046875
840704,2931.60009765625
860160,2857.39990234375
880640,2747.60009765625
900096,3245.800048828125
920576,4017.800048828125
940032,4232.60009765625
960512,1819.4000244140625
980992,2627.199951171875
1000448,3144.60009765625
1020928,3090.39990234375
1040384,4788.39990234375
1060864,3113.39990234375
1080320,4016.800048828125
1100800,2095.39990234375
1120256,2930.39990234375
1140736,2702.60009765625
1160192,2904.60009765625
1180672,2346.0
1200128,2038.0
1220608,1949.800048828125
1240064,3669.800048828125
1260544,3048.60009765625
1280000,1738.199951171875
1300480,3980.39990234375
1320960,2269.199951171875
1340416,2214.60009765625
1360896,2332.60009765625
1380352,3613.800048828125
1400832,2078.60009765625
1420288,3079.199951171875
1440768,1934.4000244140625
1460224,3276.0
1480704,2169.199951171875
1500160,2471.800048828125
1520640,2262.800048828125
1540096,3923.199951171875
1560576,2707.60009765625
1580032,3564.199951171875
1600512,3840.39990234375
1620992,4959.0
1640448,2099.60009765625
1660928,678.2000122070312
1680384,4962.0
1700864,3393.39990234375
1720320,4974.2001953125
1740800,3318.39990234375
1760256,3367.199951171875
1780736,2982.0
1800192,4024.199951171875
1820672,2275.39990234375
1840128,2842.199951171875
1860608,2688.60009765625
1880064,3053.199951171875
1900544,2632.800048828125
1920000,3086.800048828125
1940480,1804.0
1960960,2628.800048828125
1980416,2400.0
2000896,2349.0
2020352,3066.60009765625
2040832,2393.800048828125
2060288,1920.199951171875
2080768,2023.5999755859375
2100224,1597.5999755859375
2120704,3727.199951171875
2140160,2702.800048828125
2160640,2422.60009765625
2180096,2476.0
2200576,3150.60009765625
2220032,3458.0
2240512,2389.39990234375
2260992,2527.0
2280448,2742.60009765625
2300928,2878.0
2320384,3075.0
2340864,3054.199951171875
2360320,3600.800048828125
2380800,2581.800048828125
2400256,2438.60009765625
2420736,3411.800048828125
2440192,2901.60009765625
2460672,3087.0
2480128,2216.0
2500608,3326.60009765625
2520064,2399.199951171875
2540544,2617.60009765625
2560000,2122.199951171875
2580480,4388.0
2600960,2599.60009765625
2620416,2313.60009765625
2640896,2660.60009765625
2660352,4444.39990234375
2680832,2721.199951171875
2700288,3860.60009765625
2720768,4067.0
2740224,3795.0
2760704,3045.39990234375
2780160,3459.39990234375
2800640,3758.800048828125
2820096,3958.800048828125
2840576,2191.39990234375
2860032,3205.800048828125
2880512,5234.0
2900992,3248.60009765625
2920448,4316.39990234375
2940928,3735.800048828125
2960384,3475.199951171875
2980864,6386.39990234375
3000320,2903.0
3020800,1969.4000244140625
3040256,2268.0
3060736,3417.199951171875
3080192,2785.199951171875
3100672,3176.60009765625
3120128,2947.0
3140608,3030.0
3160064,2410.800048828125
3180544,3231.60009765625
3200000,2239.0
3220480,3323.800048828125
3240960,2949.60009765625
3260416,1867.5999755859375
3280896,2319.800048828125
3300352,1918.5999755859375
3320832,2517.39990234375
3340288,3993.60009765625
3360768,3137.800048828125
3380224,3284.800048828125
3400704,3451.60009765625
3420160,2981.800048828125
3440640,3023.39990234375
3460096,4405.2001953125
3480576,4439.0
3500032,4277.2001953125
3520512,2835.199951171875
3540992,4552.39990234375
3560448,3752.0
3580928,3929.800048828125
3600384,2963.800048828125
3620864,2576.800048828125
3640320,3918.0
3660800,4116.60009765625
3680256,4949.7998046875
3700736,2360.39990234375
3720192,3195.199951171875
3740672,2422.60009765625
3760128,4991.39990234375
3780608,2337.800048828125
3800064,3096.60009765625
3820544,2822.60009765625
3840000,3341.0
3860480,4152.2001953125
3880960,2994.800048828125
3900416,3118.60009765625
3920896,3391.0
3940352,3136.39990234375
3960832,2702.800048828125
3980288,3043.0
4000768,3512.0
4020224,3412.800048828125
4040704,3555.199951171875
4060160,3057.0
4080640,4749.0
4100096,3012.800048828125
4120576,3179.60009765625
4140032,2275.60009765625
4160512,4083.800048828125
4180992,3014.0
4200448,3488.60009765625
4220928,2424.800048828125
4240384,1784.199951171875
4260864,2789.800048828125
4280320,4100.60009765625
4300800,2892.800048828125
4320256,3618.39990234375
4340736,3089.199951171875
4360192,3803.0
4380672,2299.39990234375
4400128,3401.39990234375
4420608,2987.60009765625
4440064,3560.0
4460544,2533.800048828125
4480000,4787.0
4500480,2970.60009765625
4520960,2182.39990234375
4540416,3996.39990234375
4560896,4469.39990234375
4580352,3142.39990234375
4600832,2968.800048828125
4620288,2864.800048828125
4640768,2999.39990234375
4660224,3473.800048828125
4680704,2968.39990234375
4700160,5055.60009765625
4720640,3471.39990234375
4740096,3350.60009765625
4760576,3432.39990234375
4780032,1896.0
4800512,2659.39990234375
4820992,5545.60009765625
4840448,2604.0
4860928,4243.0
4880384,3446.39990234375
4900864,4431.2001953125
4920320,4648.7998046875
4940800,4126.60009765625
4960256,3460.0
4980736,3215.0
5000192,2280.800048828125
