Step,Value
20480,11860.0
40960,10820.0
60416,10620.0
80896,11000.0
100352,11660.0
120832,10960.0
140288,13680.0
160768,21360.0
180224,15080.0
200704,13340.0
220160,17000.0
240640,21840.0
260096,21240.0
280576,24220.0
300032,13220.0
320512,24200.0
340992,19340.0
360448,22640.0
380928,26420.0
400384,27800.0
420864,32180.0
440320,26420.0
460800,23780.0
480256,29740.0
500736,21540.0
520192,31580.0
540672,24620.0
560128,28280.0
580608,47160.0
600064,31060.0
620544,27660.0
640000,24220.0
660480,30720.0
680960,28700.0
700416,33560.0
720896,29320.0
740352,29640.0
760832,29460.0
780288,33020.0
800768,30340.0
820224,37240.0
840704,34440.0
860160,29260.0
880640,29420.0
900096,31700.0
920576,38840.0
940032,34260.0
960512,36720.0
980992,33940.0
1000448,30360.0
1020928,41000.0
1040384,37380.0
1060864,39540.0
1080320,42100.0
1100800,36140.0
1120256,22900.0
1140736,43460.0
1160192,34260.0
1180672,45260.0
1200128,52780.0
1220608,48620.0
1240064,35820.0
1260544,38500.0
1280000,31300.0
1300480,34200.0
1320960,39260.0
1340416,54400.0
1360896,55740.0
1380352,47260.0
1400832,50280.0
1420288,51340.0
1440768,43380.0
1460224,45620.0
1480704,42880.0
1500160,38340.0
1520640,44020.0
1540096,45600.0
1560576,42060.0
1580032,72440.0
1600512,58900.0
1620992,66300.0
1640448,50420.0
1660928,38100.0
1680384,49940.0
1700864,47180.0
1720320,47620.0
1740800,52420.0
1760256,44740.0
1780736,64300.0
1800192,42780.0
1820672,66220.0
1840128,29340.0
1860608,17560.0
1880064,72980.0
1900544,56560.0
1920000,42520.0
1940480,65960.0
1960960,69520.0
1980416,42700.0
2000896,61120.0
2020352,41220.0
2040832,70480.0
2060288,33640.0
2080768,38620.0
2100224,67820.0
2120704,38580.0
2140160,77420.0
2160640,54520.0
2180096,62520.0
2200576,45960.0
2220032,81820.0
2240512,54440.0
2260992,61280.0
2280448,65900.0
2300928,69820.0
2320384,74120.0
2340864,62920.0
2360320,76940.0
2380800,44980.0
2400256,87340.0
2420736,69000.0
2440192,76760.0
2460672,63020.0
2480128,102800.0
2500608,67580.0
2520064,38720.0
2540544,55580.0
2560000,90600.0
2580480,53160.0
2600960,28040.0
2620416,74820.0
2640896,72720.0
2660352,69140.0
2680832,59480.0
2700288,58760.0
2720768,77640.0
2740224,71300.0
2760704,55980.0
2780160,81200.0
2800640,76140.0
2820096,51760.0
2840576,94080.0
2860032,69020.0
2880512,68020.0
2900992,50500.0
2920448,85480.0
2940928,63160.0
2960384,55820.0
2980864,78800.0
3000320,72520.0
3020800,98820.0
3040256,66240.0
3060736,50060.0
3080192,91720.0
3100672,73940.0
3120128,76700.0
3140608,79720.0
3160064,58340.0
3180544,61460.0
3200000,94580.0
3220480,79280.0
3240960,86760.0
3260416,99280.0
3280896,72640.0
3300352,81980.0
3320832,84060.0
3340288,79080.0
3360768,44820.0
3380224,81020.0
3400704,86980.0
3420160,81260.0
3440640,74640.0
3460096,82240.0
3480576,65260.0
3500032,88960.0
3520512,50920.0
3540992,87080.0
3560448,70060.0
3580928,67840.0
3600384,81560.0
3620864,90260.0
3640320,91460.0
3660800,89500.0
3680256,88040.0
3700736,78640.0
3720192,86780.0
3740672,85840.0
3760128,91480.0
3780608,100480.0
3800064,76320.0
3820544,75600.0
3840000,64580.0
3860480,82640.0
3880960,60920.0
3900416,81980.0
3920896,57480.0
3940352,86460.0
3960832,91600.0
3980288,79660.0
4000768,76380.0
4020224,57580.0
4040704,41700.0
4060160,72320.0
4080640,64560.0
4100096,55880.0
4120576,67160.0
4140032,102540.0
4160512,79700.0
4180992,72540.0
4200448,72760.0
4220928,94940.0
4240384,93000.0
4260864,92480.0
4280320,98000.0
4300800,78000.0
4320256,80460.0
4340736,60560.0
4360192,77720.0
4380672,51300.0
4400128,79380.0
4420608,83000.0
4440064,83400.0
4460544,61120.0
4480000,77000.0
4500480,59400.0
4520960,76720.0
4540416,62720.0
4560896,91140.0
4580352,78460.0
4600832,88180.0
4620288,81500.0
4640768,93840.0
4660224,89220.0
4680704,86060.0
4700160,75940.0
4720640,103900.0
4740096,96980.0
4760576,91820.0
4780032,103420.0
4800512,71200.0
4820992,95340.0
4840448,79740.0
4860928,91600.0
4880384,88760.0
4900864,87020.0
4920320,95960.0
4940800,77520.0
4960256,88760.0
4980736,101800.0
5000192,100260.0
