Step,Value
20480,193.0
40960,246.0
60416,216.0
80896,135.0
100352,148.0
120832,222.0
140288,204.0
160768,170.0
180224,245.0
200704,168.0
220160,286.0
240640,242.0
260096,107.0
280576,287.0
300032,259.0
320512,157.0
340992,237.0
360448,290.0
380928,161.0
400384,294.0
420864,215.0
440320,414.0
460800,367.0
480256,721.0
500736,658.0
520192,516.0
540672,448.0
560128,969.0
580608,209.0
600064,297.0
620544,580.0
640000,771.0
660480,486.0
680960,424.0
700416,1504.0
720896,732.0
740352,1188.0
760832,1158.0
780288,1015.0
800768,1388.0
820224,1246.0
840704,858.0
860160,836.0
880640,1507.0
900096,976.0
920576,884.0
940032,497.0
960512,1396.0
980992,1416.0
1000448,938.0
1020928,1352.0
1040384,1956.0
1060864,1653.0
1080320,2370.0
1100800,2284.0
1120256,1799.0
1140736,2372.0
1160192,1670.0
1180672,1971.0
1200128,2242.0
1220608,3046.0
1240064,1242.0
1260544,1825.0
1280000,2767.0
1300480,1819.0
1320960,1742.0
1340416,3162.0
1360896,3206.0
1380352,3313.0
1400832,2429.0
1420288,3560.0
1440768,4957.0
1460224,3014.0
1480704,2963.0
1500160,2652.0
1520640,1827.0
1540096,1900.0
1560576,3415.0
1580032,4435.0
1600512,3556.0
1620992,4046.0
1640448,2373.0
1660928,4390.0
1680384,3047.0
1700864,3262.0
1720320,3377.0
1740800,4032.0
1760256,3474.0
1780736,4016.0
1800192,3062.0
1820672,4177.0
1840128,2190.0
1860608,2538.0
1880064,3894.0
1900544,4859.0
1920000,2633.0
1940480,4232.0
1960960,5566.0
1980416,2072.0
2000896,4817.0
2020352,4606.0
2040832,4580.0
2060288,2386.0
2080768,4895.0
2100224,5586.0
2120704,4808.0
2140160,3896.0
2160640,5544.0
2180096,5404.0
2200576,3082.0
2220032,5896.0
2240512,3281.0
2260992,5278.0
2280448,4209.0
2300928,4730.0
2320384,3346.0
2340864,6724.0
2360320,5648.0
2380800,5373.0
2400256,5813.0
2420736,5647.0
2440192,6053.0
2460672,5184.0
2480128,5720.0
2500608,4059.0
2520064,7006.0
2540544,7601.0
2560000,6578.0
2580480,6059.0
2600960,6468.0
2620416,5439.0
2640896,7103.0
2660352,6828.0
2680832,5001.0
2700288,4593.0
2720768,5424.0
2740224,3544.0
2760704,4029.0
2780160,5508.0
2800640,4978.0
2820096,4854.0
2840576,6083.0
2860032,5568.0
2880512,5152.0
2900992,4167.0
2920448,3840.0
2940928,5860.0
2960384,4710.0
2980864,5537.0
3000320,3732.0
3020800,5398.0
3040256,6081.0
3060736,4062.0
3080192,5341.0
3100672,5762.0
3120128,7115.0
3140608,5557.0
3160064,4443.0
3180544,5724.0
3200000,5222.0
3220480,7561.0
3240960,8192.0
3260416,6058.0
3280896,6066.0
3300352,4898.0
3320832,5283.0
3340288,3544.0
3360768,6670.0
3380224,7079.0
3400704,5341.0
3420160,5901.0
3440640,4149.0
3460096,6683.0
3480576,5436.0
3500032,7212.0
3520512,4653.0
3540992,6457.0
3560448,4746.0
3580928,5068.0
3600384,5857.0
3620864,5114.0
3640320,3567.0
3660800,3272.0
3680256,3270.0
3700736,2646.0
3720192,4517.0
3740672,4183.0
3760128,3540.0
3780608,2126.0
3800064,4941.0
3820544,1520.0
3840000,1308.0
3860480,4981.0
3880960,5683.0
3900416,4102.0
3920896,4577.0
3940352,4294.0
3960832,5126.0
3980288,7830.0
4000768,5265.0
4020224,7263.0
4040704,6266.0
4060160,5838.0
4080640,6230.0
4100096,5428.0
4120576,3858.0
4140032,6812.0
4160512,9011.0
4180992,7259.0
4200448,6395.0
4220928,5975.0
4240384,7677.0
4260864,7256.0
4280320,8080.0
4300800,7301.0
4320256,5532.0
4340736,4956.0
4360192,4358.0
4380672,4928.0
4400128,5259.0
4420608,7502.0
4440064,7159.0
4460544,4925.0
4480000,4989.0
4500480,7047.0
4520960,5364.0
4540416,8865.0
4560896,5173.0
4580352,6115.0
4600832,5728.0
4620288,5977.0
4640768,8432.0
4660224,7063.0
4680704,6617.0
4700160,4194.0
4720640,7409.0
4740096,7223.0
4760576,4130.0
4780032,6977.0
4800512,7199.0
4820992,7011.0
4840448,6041.0
4860928,7116.0
4880384,6417.0
4900864,7825.0
4920320,7154.0
4940800,5178.0
4960256,5414.0
4980736,6720.0
5000192,5021.0
