Step,Value
20480,-19.600000381469727
40960,-16.799999237060547
60416,-18.799999237060547
80896,-17.600000381469727
100352,-18.799999237060547
120832,-18.0
140288,-18.399999618530273
160768,-20.799999237060547
180224,-20.0
200704,-18.0
220160,-20.799999237060547
240640,-17.600000381469727
260096,-20.399999618530273
280576,-16.799999237060547
300032,-19.200000762939453
320512,-18.399999618530273
340992,-17.600000381469727
360448,-18.0
380928,-18.0
400384,-18.799999237060547
420864,-18.399999618530273
440320,-15.600000381469727
460800,-19.200000762939453
480256,-19.200000762939453
500736,-18.799999237060547
520192,-18.0
540672,-18.0
560128,-18.399999618530273
580608,-20.0
600064,-15.600000381469727
620544,-15.199999809265137
640000,-19.200000762939453
660480,-18.0
680960,-14.800000190734863
700416,-16.0
720896,-16.399999618530273
740352,-19.200000762939453
760832,-17.200000762939453
780288,-17.600000381469727
800768,-17.600000381469727
820224,-17.600000381469727
840704,-17.600000381469727
860160,-14.800000190734863
880640,-18.0
900096,-15.600000381469727
920576,-20.0
940032,-14.800000190734863
960512,-19.600000381469727
980992,-18.0
1000448,-17.200000762939453
1020928,-17.600000381469727
1040384,-18.799999237060547
1060864,-17.600000381469727
1080320,-16.399999618530273
1100800,-16.799999237060547
1120256,-14.800000190734863
1140736,-17.600000381469727
1160192,-14.399999618530273
1180672,-15.199999809265137
1200128,-16.799999237060547
1220608,-18.399999618530273
1240064,-17.200000762939453
1260544,-15.600000381469727
1280000,-16.399999618530273
1300480,-17.600000381469727
1320960,-16.799999237060547
1340416,-18.399999618530273
1360896,-17.200000762939453
1380352,-18.399999618530273
1400832,-16.399999618530273
1420288,-13.600000381469727
1440768,-17.600000381469727
1460224,-14.0
1480704,-12.399999618530273
1500160,-16.399999618530273
1520640,-14.0
1540096,-16.0
1560576,-16.399999618530273
1580032,-14.399999618530273
1600512,-13.199999809265137
1620992,-15.199999809265137
1640448,-17.200000762939453
1660928,-16.799999237060547
1680384,-13.199999809265137
1700864,-16.0
1720320,-11.199999809265137
1740800,-14.0
1760256,-15.600000381469727
1780736,-14.800000190734863
1800192,-14.399999618530273
1820672,-16.799999237060547
1840128,-16.0
1860608,-16.399999618530273
1880064,-16.0
1900544,-13.600000381469727
1920000,-14.800000190734863
1940480,-13.199999809265137
1960960,-13.600000381469727
1980416,-18.399999618530273
2000896,-19.200000762939453
2020352,-17.600000381469727
2040832,-14.800000190734863
2060288,-16.0
2080768,-16.799999237060547
2100224,-18.399999618530273
2120704,-15.600000381469727
2140160,-12.800000190734863
2160640,-16.799999237060547
2180096,-13.600000381469727
2200576,-18.0
2220032,-13.199999809265137
2240512,-15.600000381469727
2260992,-14.0
2280448,-14.0
2300928,-10.399999618530273
2320384,-13.600000381469727
2340864,-14.800000190734863
2360320,-14.800000190734863
2380800,-13.600000381469727
2400256,-10.399999618530273
2420736,-14.399999618530273
2440192,-11.600000381469727
2460672,-12.399999618530273
2480128,-12.800000190734863
2500608,-14.0
2520064,-16.0
2540544,-12.800000190734863
2560000,-13.600000381469727
2580480,-14.399999618530273
2600960,-12.399999618530273
2620416,-17.600000381469727
2640896,-16.0
2660352,-17.200000762939453
2680832,-16.399999618530273
2700288,-14.399999618530273
2720768,-15.600000381469727
2740224,-12.399999618530273
2760704,-11.600000381469727
2780160,-12.800000190734863
2800640,-11.600000381469727
2820096,-13.199999809265137
2840576,-15.600000381469727
2860032,-16.0
2880512,-14.399999618530273
2900992,-16.399999618530273
2920448,-16.399999618530273
2940928,-16.399999618530273
2960384,-14.0
2980864,-14.0
3000320,-16.399999618530273
3020800,-13.199999809265137
3040256,-18.0
3060736,-17.200000762939453
3080192,-16.0
3100672,-16.0
3120128,-15.600000381469727
3140608,-18.399999618530273
3160064,-15.199999809265137
3180544,-14.800000190734863
3200000,-17.200000762939453
3220480,-15.199999809265137
3240960,-12.399999618530273
3260416,-16.399999618530273
3280896,-14.800000190734863
3300352,-16.799999237060547
3320832,-11.199999809265137
3340288,-11.600000381469727
3360768,-16.399999618530273
3380224,-16.0
3400704,-17.200000762939453
3420160,-16.0
3440640,-14.399999618530273
3460096,-16.399999618530273
3480576,-13.600000381469727
3500032,-14.800000190734863
3520512,-16.399999618530273
3540992,-12.0
3560448,-14.399999618530273
3580928,-16.0
3600384,-14.0
3620864,-14.399999618530273
3640320,-12.399999618530273
3660800,-12.0
3680256,-16.799999237060547
3700736,-14.0
3720192,-17.200000762939453
3740672,-14.0
3760128,-13.199999809265137
3780608,-16.799999237060547
3800064,-12.0
3820544,-12.0
3840000,-13.600000381469727
3860480,-14.399999618530273
3880960,-16.399999618530273
3900416,-13.600000381469727
