Step,Value
20480,132.0
40960,114.0
60416,126.0
80896,182.0
100352,160.0
120832,204.0
140288,152.0
160768,174.0
180224,172.0
200704,184.0
220160,176.0
240640,230.0
260096,218.0
280576,212.0
300032,212.0
320512,220.0
340992,218.0
360448,186.0
380928,210.0
400384,204.0
420864,238.0
440320,228.0
460800,226.0
480256,240.0
500736,240.0
520192,248.0
540672,240.0
560128,254.0
580608,250.0
600064,244.0
620544,254.0
640000,254.0
660480,260.0
680960,226.0
700416,238.0
720896,254.0
740352,254.0
760832,258.0
780288,260.0
800768,258.0
820224,254.0
840704,250.0
860160,240.0
880640,260.0
900096,250.0
920576,254.0
940032,248.0
960512,262.0
980992,260.0
1000448,260.0
1020928,260.0
1040384,260.0
1060864,252.0
1080320,258.0
1100800,260.0
1120256,260.0
1140736,248.0
1160192,248.0
1180672,262.0
1200128,258.0
1220608,256.0
1240064,260.0
1260544,260.0
1280000,258.0
1300480,258.0
1320960,256.0
1340416,256.0
1360896,256.0
1380352,258.0
1400832,256.0
1420288,258.0
1440768,260.0
1460224,260.0
1480704,260.0
1500160,260.0
1520640,256.0
1540096,260.0
1560576,260.0
1580032,260.0
1600512,260.0
1620992,258.0
1640448,260.0
1660928,260.0
1680384,256.0
1700864,256.0
1720320,258.0
1740800,258.0
1760256,260.0
1780736,260.0
1800192,260.0
1820672,260.0
1840128,260.0
1860608,258.0
1880064,260.0
1900544,256.0
1920000,256.0
1940480,266.0
1960960,262.0
1980416,262.0
2000896,256.0
2020352,262.0
2040832,260.0
2060288,244.0
2080768,256.0
2100224,256.0
2120704,256.0
2140160,258.0
2160640,260.0
2180096,260.0
2200576,260.0
2220032,258.0
2240512,254.0
2260992,258.0
2280448,258.0
2300928,258.0
2320384,260.0
2340864,260.0
2360320,256.0
2380800,258.0
2400256,254.0
2420736,264.0
2440192,264.0
2460672,264.0
2480128,256.0
2500608,262.0
2520064,256.0
2540544,264.0
2560000,250.0
2580480,262.0
2600960,262.0
2620416,260.0
2640896,260.0
2660352,264.0
2680832,254.0
2700288,260.0
2720768,266.0
2740224,266.0
2760704,260.0
2780160,250.0
2800640,264.0
2820096,262.0
2840576,268.0
2860032,268.0
2880512,268.0
2900992,264.0
2920448,266.0
2940928,266.0
2960384,270.0
2980864,266.0
3000320,260.0
3020800,270.0
3040256,264.0
3060736,268.0
3080192,268.0
3100672,268.0
3120128,262.0
3140608,270.0
3160064,264.0
3180544,262.0
3200000,266.0
3220480,266.0
3240960,264.0
3260416,268.0
3280896,270.0
3300352,262.0
3320832,268.0
3340288,258.0
3360768,268.0
3380224,266.0
3400704,266.0
3420160,266.0
3440640,264.0
3460096,268.0
3480576,266.0
3500032,266.0
3520512,266.0
3540992,266.0
3560448,270.0
3580928,276.0
3600384,270.0
3620864,270.0
3640320,266.0
3660800,252.0
3680256,270.0
3700736,262.0
3720192,266.0
3740672,258.0
3760128,268.0
3780608,260.0
3800064,260.0
3820544,264.0
3840000,264.0
3860480,264.0
3880960,260.0
3900416,264.0
3920896,262.0
3940352,276.0
3960832,266.0
3980288,254.0
4000768,256.0
4020224,258.0
4040704,270.0
4060160,260.0
4080640,260.0
4100096,272.0
4120576,254.0
4140032,256.0
4160512,262.0
4180992,262.0
4200448,264.0
4220928,260.0
4240384,268.0
4260864,272.0
4280320,260.0
4300800,266.0
4320256,254.0
4340736,274.0
4360192,254.0
4380672,258.0
4400128,258.0
4420608,268.0
4440064,256.0
4460544,252.0
4480000,262.0
4500480,248.0
4520960,252.0
4540416,260.0
4560896,262.0
4580352,244.0
4600832,258.0
4620288,264.0
4640768,258.0
4660224,262.0
4680704,248.0
4700160,250.0
4720640,246.0
4740096,252.0
4760576,262.0
4780032,256.0
4800512,270.0
4820992,250.0
4840448,254.0
4860928,260.0
4880384,252.0
4900864,252.0
4920320,256.0
4940800,254.0
4960256,254.0
4980736,268.0
5000192,250.0
