Step,Value
20480,102.0
40960,86.0
60416,144.0
80896,164.0
100352,150.0
120832,164.0
140288,192.0
160768,182.0
180224,166.0
200704,204.0
220160,230.0
240640,214.0
260096,234.0
280576,218.0
300032,208.0
320512,232.0
340992,214.0
360448,210.0
380928,210.0
400384,216.0
420864,232.0
440320,234.0
460800,228.0
480256,230.0
500736,242.0
520192,236.0
540672,240.0
560128,258.0
580608,234.0
600064,250.0
620544,262.0
640000,252.0
660480,260.0
680960,244.0
700416,242.0
720896,254.0
740352,250.0
760832,256.0
780288,258.0
800768,254.0
820224,260.0
840704,270.0
860160,258.0
880640,264.0
900096,264.0
920576,264.0
940032,266.0
960512,270.0
980992,244.0
1000448,258.0
1020928,256.0
1040384,260.0
1060864,270.0
1080320,274.0
1100800,270.0
1120256,264.0
1140736,270.0
1160192,270.0
1180672,266.0
1200128,266.0
1220608,270.0
1240064,272.0
1260544,264.0
1280000,270.0
1300480,270.0
1320960,268.0
1340416,266.0
1360896,252.0
1380352,266.0
1400832,264.0
1420288,270.0
1440768,262.0
1460224,270.0
1480704,266.0
1500160,270.0
1520640,270.0
1540096,266.0
1560576,270.0
1580032,270.0
1600512,264.0
1620992,270.0
1640448,256.0
1660928,270.0
1680384,270.0
1700864,270.0
1720320,270.0
1740800,260.0
1760256,270.0
1780736,270.0
1800192,260.0
1820672,270.0
1840128,270.0
1860608,268.0
1880064,270.0
1900544,270.0
1920000,262.0
1940480,266.0
1960960,270.0
1980416,270.0
2000896,268.0
2020352,270.0
2040832,270.0
2060288,270.0
2080768,270.0
2100224,270.0
2120704,270.0
2140160,270.0
2160640,270.0
2180096,270.0
2200576,270.0
2220032,270.0
2240512,270.0
2260992,270.0
2280448,270.0
2300928,272.0
2320384,258.0
2340864,270.0
2360320,270.0
2380800,270.0
2400256,272.0
2420736,270.0
2440192,270.0
2460672,270.0
2480128,270.0
2500608,270.0
2520064,274.0
2540544,270.0
2560000,268.0
2580480,270.0
2600960,270.0
2620416,274.0
2640896,270.0
2660352,270.0
2680832,270.0
2700288,270.0
2720768,268.0
2740224,274.0
2760704,272.0
2780160,272.0
2800640,276.0
2820096,274.0
2840576,268.0
2860032,276.0
2880512,280.0
2900992,276.0
2920448,280.0
2940928,274.0
2960384,276.0
2980864,280.0
3000320,278.0
3020800,270.0
3040256,268.0
3060736,274.0
3080192,278.0
3100672,272.0
3120128,272.0
3140608,286.0
3160064,280.0
3180544,284.0
3200000,278.0
3220480,278.0
3240960,278.0
3260416,280.0
3280896,278.0
3300352,280.0
3320832,278.0
3340288,276.0
3360768,276.0
3380224,276.0
3400704,278.0
3420160,276.0
3440640,276.0
3460096,278.0
3480576,272.0
3500032,276.0
3520512,280.0
3540992,278.0
3560448,280.0
3580928,280.0
3600384,284.0
3620864,280.0
3640320,280.0
3660800,280.0
3680256,278.0
3700736,280.0
3720192,280.0
3740672,270.0
3760128,282.0
3780608,278.0
3800064,272.0
3820544,282.0
3840000,278.0
3860480,278.0
3880960,278.0
3900416,280.0
3920896,282.0
3940352,280.0
3960832,284.0
3980288,280.0
4000768,278.0
4020224,284.0
4040704,276.0
4060160,288.0
4080640,278.0
4100096,280.0
4120576,276.0
4140032,284.0
4160512,274.0
4180992,278.0
4200448,278.0
4220928,278.0
4240384,278.0
4260864,278.0
4280320,282.0
4300800,278.0
4320256,284.0
4340736,272.0
4360192,276.0
4380672,280.0
4400128,278.0
4420608,286.0
4440064,276.0
4460544,290.0
4480000,284.0
4500480,278.0
4520960,278.0
4540416,280.0
4560896,282.0
4580352,280.0
4600832,286.0
4620288,280.0
4640768,278.0
4660224,284.0
4680704,282.0
4700160,280.0
4720640,280.0
4740096,272.0
4760576,280.0
4780032,284.0
4800512,282.0
4820992,278.0
4840448,284.0
4860928,278.0
4880384,280.0
4900864,280.0
4920320,280.0
4940800,280.0
4960256,282.0
4980736,282.0
5000192,278.0
